uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
b1355ed5-d152-4156-82a3-252ac0b130f7,384066729,2026-07-22 12:05:05-06:00,2026-07-22,-105.6591391997,39.6779644,2950.0,,6.0,13.0,1.8,9.9,,,Hydnellum caeruleum,"Idaho Springs, CO 80452, USA",1,
77cf2364-7804-4223-b30d-77d8c18bc6c6,343932289,2025-07-19 10:07:39-06:00,2025-07-19,-105.1091778333,38.0588305,2742.0,,18.0,35.0,0.3,8.2,,1011.5,Hydnellum caeruleum,"Pike and San Isabel National Forests, Rye, CO, US",1,
81c6f959-8f65-4801-8bc0-70784774d105,310053263,2025-08-28 12:37:27-06:00,2025-08-28,-105.7925438505,35.7944857884,3365.0,,13.0,28.0,0.0,10.2,,1025.8,Hydnellum caeruleum,"Santa Fe National Forest, Tererro, NM, US",1,
431954a4-933b-45ee-8dc9-09ec246274a6,264741717,2017-07-29 11:30:00-06:00,2017-07-29,-105.832825586,40.2668279858,2678.0,,12.4,19.3,,1.6,,,Hydnellum caeruleum,"Grand County, CO, USA",2,
6accd76a-0655-4eaa-9121-673e1be8784c,242758877,2024-09-18 15:58:00-06:00,2024-09-18,-107.14380156,38.8661172668,2975.0,,-1.1,20.6,0.0,8.1,,1015.5,Hydnellum caeruleum,"Gunnison County, US-CO, US",1,
39daca75-bd22-427b-a155-68b205105ec4,240257751,2024-09-06 17:59:00-06:00,2024-09-06,-105.768722865,39.773128591,2911.0,,-3.6,13.4,0.0,9.4,,1028.6,Hydnellum caeruleum,"Clear Creek County, CO, USA",1,
ad0ee914-710b-464f-add5-4d9fb4475182,240255551,2024-09-06 13:35:21-06:00,2024-09-06,-105.7562920304,35.7724201883,3373.0,,10.0,26.1,0.0,11.8,,1023.7,Hydnellum caeruleum,"Santa Fe National Forest, Tererro, NM, US",2,
d950c59e-e733-484b-81f3-47854a881b08,238979747,2024-08-29 12:33:00-06:00,2024-08-29,-105.7981638889,35.8014722222,3269.0,,15.6,28.9,0.0,12.1,,1014.3,Hydnellum caeruleum,"Santa Fe County, NM, USA",1,
8b6c4e23-6db9-446d-a8ef-da3345aa92ca,238348650,2024-08-26 16:28:57-06:00,2024-08-26,-105.4618538749,36.7890117725,3589.0,,13.3,24.4,,10.2,,1026.4,Hydnellum caeruleum,"Taos County, US-NM, US",2,
d6a61b60-655b-4f4c-a14a-1c919d458f57,237420212,2024-08-22 15:14:15-06:00,2024-08-22,-105.6906438613,39.9072049545,3594.0,,3.6,11.4,9.5,9.6,,1022.9,Hydnellum caeruleum,"Colorado, US",2,
ca8b0b84-1cd0-4a0c-bfde-0c68722ba60e,237190737,2024-08-21 11:04:52-06:00,2024-08-21,-105.8159557997,39.6910026997,3029.0,,2.7,14.6,4.9,12.3,,1022.8,Hydnellum caeruleum,"Keystone, CO 80435, USA",1,
736c9ea0-7368-42a6-8993-e94947edc1ee,235457302,2024-08-11 10:30:00-06:00,2024-08-11,-105.8006603763,35.8052225481,3282.0,,18.9,31.1,,15.6,,1014.4,Hydnellum caeruleum,"Santa Fe National Forest, Tererro, NM, US",2,
