uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
a0df5df7-f158-4562-81bf-b5ebd4fe5840,324685568,2018-08-28,2018-08-28,-105.5255548283,40.1943993308,2598.0,,12.0,22.0,,3.9,,,Hydnellum suaveolens,"Allenspark, CO, USA",1
ddd7a40d-c89d-4320-b966-211c1a451e46,324088963,2022-08-19 11:28:29-06:00,2022-08-19,-107.8265833333,37.8540916667,3047.0,,10.0,17.0,7.5,3.4,,1030.0,Hydnellum suaveolens,"San Miguel County, US-CO, US",1
2d48a428-ddb3-4fcc-a645-2b61bf506c29,320513354,2025-10-12 10:43:09-06:00,2025-10-12,-105.5681711997,39.5099749997,2872.0,,-7.5,0.0,2.7,20.1,,1011.0,Hydnellum suaveolens,"Bailey, CO 80421, USA",1
d6fbb4f8-66e0-47a0-b778-50d0885b7faf,310896825,2025-09-01 15:51:20-06:00,2025-09-01,-105.79889588,35.80219148,3335.0,,12.0,27.0,0.0,12.5,,1029.0,Hydnellum suaveolens,"Santa Fe County, US-NM, US",1
16f16c8b-e7ad-4e88-93be-1f6a1f82a352,310896601,2025-09-01 14:35:29-06:00,2025-09-01,-105.79625559,35.79522883,3265.0,,12.0,27.0,0.0,12.5,,1029.0,Hydnellum suaveolens,"Santa Fe County, US-NM, US",1
b16e2dea-b38c-4eda-9b53-bcc0c7e24028,309414625,2025-08-26 14:53:28-06:00,2025-08-26,-104.9484912,38.7422752,3052.0,,13.0,15.0,3.2,9.6,,1027.7,Hydnellum suaveolens,"Manitou Springs, CO 80829, USA",2
32df4c44-48a6-4f24-af30-62d86494eef4,307662774,2025-08-19 14:05:11-06:00,2025-08-19,-105.4834063383,40.3021107867,2736.0,,14.8,34.7,0.0,6.5,,1026.3,Hydnellum suaveolens,"Rocky Mountain National Park, Larimer County, US-CO, US",2
7fa4150e-32e7-4f34-bde0-c475501f4dc5,305212381,2025-08-08,2025-08-08,-105.7777850702,39.7983193575,3454.0,,5.0,14.7,0.0,18.7,,1017.0,Hydnellum suaveolens,"Empire, CO 80438, USA",2
5db08c89-cfe9-416f-82b0-6cd219416e04,303529397,2025-08-03 11:11:56-06:00,2025-08-03,-105.4275133333,39.69062,2606.0,,2.0,13.3,1.8,13.2,,1022.3,Hydnellum suaveolens,"Evergreen, CO, US",1
d11e5695-f100-4b2c-96eb-fea2952047ff,301755836,2025-07-27 16:33:31-06:00,2025-07-27,-105.5685572167,39.6374567366,3104.0,,3.0,16.7,0.0,10.7,,1021.3,Hydnellum suaveolens,"Colorado, US",1
e8af85e7-b85e-46e1-8736-44e8a7cd0faf,300807842,2025-07-24 11:02:36-06:00,2025-07-24,-105.539202593,39.586788078,2959.0,,0.6,13.4,9.8,9.6,,1022.8,Hydnellum suaveolens,"Colorado, US",1
820cf2c8-9b9c-4159-b1d6-02ac7ad63d6f,300389733,2025-07-22 10:56:24-06:00,2025-07-22,-105.6077483013,39.8492722276,3111.0,,3.9,14.7,11.4,11.1,,1017.4,Hydnellum suaveolens,"Colorado, US",1
a655776e-a9e2-4952-8e66-3e4db29b72a0,248546722,2024-08-03 13:53:41-06:00,2024-08-03,-105.1317027778,37.9671055556,3246.0,,18.8,33.3,0.0,19.5,,1015.9,Hydnellum suaveolens,"Rye, CO 81069, USA",1
9fd44f84-dc72-46d5-8a09-f03ddccb2a58,244431057,2024-09-17 10:08:34-06:00,2024-09-17,-105.457278,39.680795,2760.0,,-1.8,10.0,4.6,16.1,,1012.4,Hydnellum suaveolens,"Clear Creek County, US-CO, US",1
4023acd9-bf74-4753-8ab2-00178c0af5d2,241913276,2024-09-11 14:53:37-06:00,2024-09-11,-105.1523459797,38.0300683158,3063.0,,14.6,30.5,0.0,15.5,,1007.4,Hydnellum suaveolens,"Custer County, US-CO, US",1
d3bece41-897a-4075-a4d2-e95d277cab98,240405156,2024-08-28 11:54:00-06:00,2024-08-28,-106.4595805556,39.2504694444,3243.0,,3.9,21.7,0.0,9.4,,1015.8,Hydnellum suaveolens,"Lake County, CO, USA",1
