uuid,inat_id,timestamp,date,lon,lat,olc,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
5afaacf0-d8d2-47af-bf86-8f0517b9fc1c,299911928,2024-08-24 17:21:34-06:00,2024-08-24,-106.6385416667,40.2766833333,85GM79G6+,2784.0,,11.5,25.0,0.0,9.2,,1024.8,Hydnum repandum,"Oak Creek, CO, US",1
6f866cb9-5552-4ccc-b6a3-979176f05a89,269388336,2024-08-25 14:42:32-06:00,2024-08-25,-105.6525767648,39.8995713508,85FPV8XW+,2866.0,,1.5,12.8,5.8,10.8,,1025.0,Hydnum repandum,"South Boulder Creek Trail, Black Hawk, CO, US",1
a0994645-dd61-4f77-a267-97c33bc9463a,239234070,2024-09-01 09:59:01-06:00,2024-09-01,-107.9236964284,37.7914634135,859JQ3RG+,3194.0,,11.0,22.0,,4.4,,,Hydnum repandum,"Colorado, US",2
7ef37c82-fb32-4dcd-8edc-f1c3a6490b9c,237753566,2024-08-24 12:02:11-06:00,2024-08-24,-110.8086118663,40.6030019124,85GFJ53R+,3158.0,,,,,,,,Hydnum repandum,"Utah, US",1
efa22465-6d0a-4ed1-a46a-9db8a1824f55,236642880,2024-08-18 18:02:00-06:00,2024-08-18,-107.901785827,39.1915060036,85FJ53RX+,2154.0,,13.9,29.4,,11.4,,1019.0,Hydnum repandum,"Colorado, US",1
43530a25-de9d-4aef-a12c-6736ca9f81ae,202359947,2023-08-26 13:30:00-06:00,2023-08-26,-105.3883255473,39.5224160277,85FPGJC6+,2791.0,,2.6,12.6,8.1,8.7,,1025.8,Hydnum repandum,"Colorado, US",1
c4c47b31-a6f4-458f-8ca8-ec71844f13a4,177461383,2023-08-08 15:50:11-06:00,2023-08-08,-105.4862883819,39.7745921955,85FPQGF7+,2621.0,,-0.4,13.3,0.5,15.9,,1017.2,Hydnum repandum,"Colorado, US",1
a5a80342-8a8c-4cab-afde-bcbe56e2002d,135441823,2022-09-07 14:08:58-06:00,2022-09-07,-105.80352284,39.48161463,85FPF5JW+,3008.0,,5.8,17.7,0.3,4.3,,1024.9,Hydnum repandum,"Park County, US-CO, US",1
55dcc583-ccec-4a4e-9455-6f9e0d718070,129615085,2022-08-05 17:18:18-06:00,2022-08-05,-105.38440178,39.56496218,85FPHJ78+,2580.0,,5.9,16.7,10.5,6.1,,1020.2,Hydnum repandum,"Shadow Mountain, CO, USA",1
613ddcf4-2fba-4580-a8a0-eeb87c26c162,91262711,2021-08-13 09:48:59-06:00,2021-08-13,-105.7506716667,39.8446083333,85FPR6VX+,2918.0,,7.7,27.3,0.0,6.7,,1032.1,Hydnum repandum,"Arapaho & Roosevelt National Forests Pawnee National Grassland, Granby, CO, US",1
