uuid,inat_id,timestamp,date,lon,lat,olc,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
2b6746c2-b3f4-4932-8d0b-89f9ea32348b,259101712,2025-01-20 13:09:57-08:00,2025-01-20,-122.2907025275,45.3217317258,84QV8PC5+,247.0,,2.2,7.2,0.0,29.1,,1033.1,Hygrocybe coccinea,"Eagle Fern Park, Eagle Creek, OR, US",2
2dcefefd-7336-492d-93f8-fd4b79f381a1,248180451,2024-10-19 14:22:13-07:00,2024-10-19,-121.9404883333,45.3029333333,84QW8335+,472.0,,12.2,22.8,,5.8,,1023.4,Hygrocybe coccinea,"Zigzag Ranger Station, Government Camp, OR, US",1
e64c1408-67c5-4b2f-a184-8cba0535bd49,102373619,2021-12-02 13:00:09+00:00,2021-12-02,-122.26583,45.4015783333,84QVCP2M+,237.0,,7.2,13.3,0.0,5.8,,1025.4,Hygrocybe coccinea,"Sandy, OR, US",1
c604cf84-b531-4e07-b42b-4be48a16306e,68222970,2020-12-31 19:43:02+00:00,2020-12-31,-122.2583272171,45.3958078841,84QV9PWR+,302.0,,8.3,11.7,,16.0,,1019.7,Hygrocybe coccinea,"Meinig Memorial Park, Sandy, OR, US",1
36faa08c-7f29-47e6-a886-927d52d6c4aa,286397028,2025-06-02 14:16:29-06:00,2025-06-02,-105.297255,40.70468,85GPPP33+,1970.0,,10.6,26.7,5.6,14.7,,1006.6,Hygrocybe coccinea,"Greyrock Trail, Bellvue, CO, US",1
90ff3f7e-6523-44b5-bb7b-ad72b33960d6,340256112,2026-01-15 14:33:00-08:00,2026-01-15,-122.789950413,45.5712357994,84QVH6C6+,327.0,,1.0,14.0,0.0,2.8,,1029.8,Hygrocybe coccinea,"NW Skyline Blvd, Portland, OR, US",2
76cc936b-b845-4db4-890b-d53429bf0a4c,334283917,2026-01-10 16:31:01-08:00,2026-01-10,-122.7076346997,45.5192091997,84QVG79R+,163.0,,1.7,10.6,0.0,7.2,,1031.4,Hygrocybe coccinea,"SW Rose Garden Way & Sherwood, Portland, OR 97205, USA",1
41bbfc3d-b908-4bee-b279-eef24fd30159,332362535,2025-12-27 15:04:53-08:00,2025-12-27,-122.8885175475,45.2173796736,84QV6486+,55.0,,3.0,8.0,0.3,3.9,,1026.7,Hygrocybe coccinea,"Oregon, US",1
37e5ed12-392f-4e34-bbf6-83d9fb9c4444,286417423,2023-12-04 15:01:46-08:00,2023-12-04,-122.6286866667,45.4815033333,84QVF9JC+,41.0,,13.3,19.4,1.5,16.9,,1016.6,Hygrocybe coccinea,"Portland, OR, US",1
38545cc6-b5e2-4e82-8e8f-778ceeee9a2c,194756531,2023-12-24 10:31:22-08:00,2023-12-24,-122.83732139,45.38822891,84QV95Q7+,45.0,,-0.6,6.7,,5.8,,1021.8,Hygrocybe coccinea,"Bull Mountain, Tigard, OR, USA",1
87990df8-df85-448a-9c28-e6914d6d4486,194072012,2023-12-14 16:09:16-08:00,2023-12-14,-122.6947825734,45.5006119112,84QVG824+,166.0,,5.6,11.1,0.3,7.9,,1021.5,Hygrocybe coccinea,"Marquam Nature Park, Portland, OR, US",1
738911bd-bbb5-48f1-9d72-86e201edd214,102839405,2021-12-06 13:04:42+00:00,2021-12-06,-122.6297780441,45.4815858121,84QVF9JC+,39.0,,4.4,8.9,17.3,12.2,,1019.4,Hygrocybe coccinea,"Reed College, Portland, OR, US",1
ada02f82-cfb5-44db-9d03-306674f3d6e6,69214198,2021-02-06 14:30:00+00:00,2021-02-06,-122.6932705944,45.5019332073,84QVG824+,191.0,,3.3,8.9,0.8,13.7,,1023.2,Hygrocybe coccinea,"Marquam Nature Park, Portland, OR, US",1
9b4e6115-bc49-449b-87de-cf4cb0f39108,65239511,2014-12-21,2014-12-21,-122.6755,45.43765,84QVC8QF+,91.0,,10.0,15.0,2.3,10.8,,1016.3,Hygrocybe coccinea,"Tryon Creek State Natural Area (Tryon Creek State Park), Multnomah and Clackamas Cos., Oregon, USA",1
73c99e8e-a3af-47f4-9443-11113ff3444d,37808350,2020-01-20 15:15:44-08:00,2020-01-20,-122.74993,45.5569,84QVH742+,194.0,,5.0,8.3,0.0,11.3,,1013.0,Hygrocybe coccinea,"Forest Park, Portland, OR, US",1
ba55f4d1-8c18-4fd9-823b-4c13b2139b6e,36153082,2019-11-25 13:31:40+00:00,2019-11-25,-122.6974526819,45.4973009675,84QVF8W3+,241.0,,5.0,10.6,1.3,8.6,,1022.1,Hygrocybe coccinea,"Marquam Nature Park, Portland, OR, US",1
