uuid,inat_id,timestamp,date,lon,lat,olc,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
05001916-837b-497a-9a2b-f478aeccc645,369705525,2026-06-06 17:55:22-06:00,2026-06-06,-105.6600033333,39.5159416667,85FPG88Q+,3264.0,,6.0,12.0,1.0,6.7,,,Hygrocybe conica,"Grant, CO, US",1
7b2b0cc8-5a3a-4c50-b228-8318504e7b7e,351872034,2025-07-20 09:37:00-06:00,2025-07-20,-103.9411166667,44.3512083333,85PR9325+,1578.0,,16.0,26.0,0.0,8.8,,1014.4,Hygrocybe conica,"Lawrence County, SD, USA",1
1a8692a3-6876-4dcc-a588-dad19d5ac95e,303263802,2025-08-02 16:08:09-06:00,2025-08-02,-105.1100722,39.2687497,85FP7V9Q+,2786.0,,11.1,28.9,0.4,12.9,,1020.0,Hygrocybe conica,"Douglas County, US-CO, US",1
5fe8499c-2dfd-41c4-a2a6-043843ff7844,297402365,2025-07-12 10:46:12-06:00,2025-07-12,-103.740005,44.1889616667,85PR57Q5+,1865.0,,10.0,27.0,0.0,8.4,,1019.0,Hygrocybe conica,"Lead, SD, US",1
8b40d92c-9c5b-4666-b7c4-6adcf36ebd62,290465573,2025-06-17 11:14:47-06:00,2025-06-17,-105.4843675812,40.7874058793,85GPQGP8+,2387.0,,7.9,17.4,2.5,12.0,,1012.7,Hygrocybe conica,"Girlscout Rd, Red Feather Lakes, CO, US",1
09aa15b5-1d84-45ca-946d-fd4e47ca1e77,289922408,2025-06-15 13:19:02-06:00,2025-06-15,-104.8222808838,38.7346611023,85CQP5MH+,1870.0,,17.0,25.0,0.2,13.9,,1024.2,Hygrocybe conica,Colorado Springs,1
0b55c8db-3e77-4357-beb5-e845d9fbbb0b,287340013,2025-06-06 10:33:00-06:00,2025-06-06,-103.402671814,44.0534896851,85PR3H3W+,1259.0,,7.0,20.0,0.0,10.6,,1015.8,Hygrocybe conica,Rapid City,1
aa646653-2c99-4f0e-94db-f3ead30c7d24,268135429,2023-08-13 10:33:08-06:00,2023-08-13,-103.4866104126,43.8645896912,85MRVG77+,1695.0,,8.9,17.2,,13.7,,1019.2,Hygrocybe conica,Keystone,1
4f4fc4f0-b3a4-4f68-97b9-626385acc899,235957040,2024-08-07 10:08:00-06:00,2024-08-07,-105.7999194444,35.7976138889,857PQ6X2+,3238.0,,17.2,34.4,0.0,16.8,,1012.0,Hygrocybe conica,"Santa Fe County, NM, USA",1
5794288d-25d2-41ee-b170-69298699d5b7,232183767,2024-07-27 11:50:08-06:00,2024-07-27,-105.7045133333,35.8176716667,857PR79W+,2866.0,,13.9,31.1,,13.5,,1009.5,Hygrocybe conica,"Santa Fe National Forest, Tererro, NM, US",2
