uuid,inat_id,timestamp,date,lon,lat,olc,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
7542bae7-bcb8-4824-8838-ccf422d28b69,193082073,2023-11-23 13:14:00-08:00,2023-11-23,-121.9394095463,45.2988260441,84QW73X6+,484.0,,1.7,13.3,0.0,3.2,,1027.3,Hygrophorus chrysodon,"Clackamas County, OR, USA",1
71f8b7e0-307e-40d6-881a-ec46d797ed36,188223003,2023-10-19 10:58:35-07:00,2023-10-19,-121.6799359583,45.2826264594,84QW78MC+,1228.0,,9.2,24.5,0.0,5.8,,1017.2,Hygrophorus chrysodon,"Barlow Creek, Mount Hood Parkdale, OR, US",1
6006c95a-d6b3-44db-a77d-ee05bfb8cc71,102140019,2021-11-28 08:23:57-08:00,2021-11-28,-121.55535,45.5206916667,84QWGCCV+,585.0,,8.9,18.3,0.0,13.4,,1020.6,Hygrophorus chrysodon,"Mount Hood Parkdale, OR, US",2
2bd65c45-148a-480f-912c-70369846af87,35552602,2019-11-10 13:25:21+00:00,2019-11-10,-121.8716659546,45.300239563,84QW842H+,707.0,,10.6,13.9,1.1,3.3,,1024.6,Hygrophorus chrysodon,"Zigzag, OR 97049, USA",1
ab205adc-5064-468c-bab8-03f3b864d354,315609376,2025-09-21 13:19:34-06:00,2025-09-21,-106.3854153997,35.8918652997,857MVJR7+,2813.0,,13.0,26.0,0.0,8.9,,1022.8,Hygrophorus chrysodon,"Los Alamos County, NM, USA",1
f6006c2a-87ed-4c69-a69e-1e3196b044c4,314034482,2025-09-14 11:39:20-06:00,2025-09-14,-105.8345777778,35.7466944444,857PP5W8+,2709.0,,7.0,24.0,0.0,10.0,,1021.5,Hygrophorus chrysodon,"Santa Fe, NM 87501, USA",1
8599002c-9171-4356-af17-b4ea0117cfc9,291819411,2024-08-23 09:05:32-06:00,2024-08-23,-107.6645058766,37.8119403505,859JR86P+,2841.0,,11.0,20.0,4.0,7.7,,1028.7,Hygrophorus chrysodon,"Silverton, CO 81433, USA",1
77aa5c6e-daed-4bb6-b478-2d35e90107d7,239249466,2024-09-01 12:08:06-06:00,2024-09-01,-107.1654195,38.8583716667,85CJVR5M+,2738.0,,,,,7.4,,1023.6,Hygrophorus chrysodon,"Grand Mesa Uncompahgre and Gunnison National Forests, Somerset, CO, US",1
e9693264-dc49-4ede-9ab5-f9ad299cf622,236669093,2024-08-17 14:30:22-06:00,2024-08-17,-107.904415,37.816864,859JR38W+,3196.0,,12.0,23.0,4.9,9.4,,1034.5,Hygrophorus chrysodon,"Grand Mesa Uncompahgre and Gunnison National Forests, Telluride, CO, US",1
7ce2a5fc-8771-4639-a86a-c781185d7723,175882289,2023-06-26 14:42:47-06:00,2023-06-26,-105.4877383333,42.2583383333,85JP7G56+,2297.0,,,,,,,,Hygrophorus chrysodon,"Medicine Bow National Forest, Albany County, WY, USA",1
c991e898-bf1c-4639-a15b-2e51d77e3bda,168432515,2023-06-18 19:21:16-06:00,2023-06-18,-105.3338234997,40.5686522,85GPHM98+,2025.0,,10.0,28.3,0.1,11.5,,1006.1,Hygrophorus chrysodon,"Bellvue, CO 80512, USA",1
a1ff360d-b1e5-452b-9a40-b9b4b99d6e68,134095712,2022-08-28,2022-08-28,-106.4268,39.2848,85FM7HMF+,3184.0,,2.8,17.8,,10.1,,1012.7,Hygrophorus chrysodon,"Colorado. Lake Co., San Isabel National Forest, CR 9, Turquoise Lake Rd, near Bear Creek.",2
127c0cbc-5ebc-44fe-96e3-74e8d54ef709,132191678,2022-08-24 13:02:36-06:00,2022-08-24,-106.7026762001,40.3688960055,85GM979W+,2924.0,,7.5,27.7,0.0,5.3,,1024.3,Hygrophorus chrysodon,"Colorado, US",1
a24a21bd-06f5-4a9a-ace1-5c74e5e51b05,131937738,2022-08-22 11:49:47-06:00,2022-08-22,-106.0688465753,39.4931337683,85FMFWVJ+,3075.0,,7.0,16.0,8.9,7.2,,1038.3,Hygrophorus chrysodon,"White River National Forest, Breckenridge, CO, US",1
642eea68-07d1-40dd-b850-b8ed7083622f,131635222,2022-08-20 12:31:25-06:00,2022-08-20,-107.9473219,37.7995619,859JQ3X3+,3192.0,,10.0,17.0,13.8,5.1,,1029.5,Hygrophorus chrysodon,"Dolores, CO 81323, USA",2
a656aa7b-1dca-452f-a9a5-f654157d8395,131617543,2022-08-20 12:25:32-06:00,2022-08-20,-106.0096708407,39.4571948505,85FMFX4R+,3278.0,,7.2,14.4,,9.0,,1016.3,Hygrophorus chrysodon,"White River National Forest, Breckenridge, CO, US",1
fd3c4fe9-98e5-41bd-80d4-af0d648489f4,131246457,2022-08-17 11:54:14-06:00,2022-08-17,-106.38948,39.619745,85FMJJ96+,3136.0,,8.0,18.0,0.0,7.2,,1039.7,Hygrophorus chrysodon,"White River National Forest, Basalt, CO, US",1
4913cff2-f300-4d66-a893-8318984ac6fc,91124235,2021-08-13 15:09:00-04:00,2021-08-13,-105.973654,39.937107,85FPW2PG+,3036.0,,7.7,27.3,0.0,6.7,,1032.1,Hygrophorus chrysodon,"Grand County, CO, USA",2
ed52755e-7dbe-47d0-873f-bf0c75756a34,7463319,2017-08-12 10:46:44-06:00,2017-08-12,-105.5297098365,40.2222379751,85GP6FCC+,2584.0,,13.6,28.3,,4.6,,,Hygrophorus chrysodon,"12650 Peak To Peak Hwy, Allenspark, CO, US",1
