uuid,inat_id,timestamp,date,lon,lat,olc,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
8def2b81-585b-4aa3-8fbc-68b694a2cfa4,35189192,2019-11-01 16:59:56-07:00,2019-11-01,-122.1188201904,45.2305297852,84QV6VJJ+,947.0,,6.1,12.8,0.0,32.6,,1028.1,Hygrophorus erubescens,"Estacada, OR 97023, USA",1
66060092-8963-4a6c-b50f-a7eb0449e54f,320513938,2025-10-12 10:51:41-06:00,2025-10-12,-105.5682580997,39.5096667997,85FPGC5J+,2872.0,,-7.5,0.0,2.7,20.1,,1011.0,Hygrophorus erubescens,"Bailey, CO 80421, USA",1
c7849c59-28a8-418e-a7c6-5b36964d8c32,309414209,2025-08-26 14:29:47-06:00,2025-08-26,-104.9500735997,38.7415135997,85CQP2RX+,3032.0,,13.0,15.0,3.2,9.6,,1027.7,Hygrophorus erubescens,"Manitou Springs, CO 80829, USA",1
c0ac9e40-4f87-4a34-b827-2d9adafb0b9d,304606477,2025-08-07 13:58:10-06:00,2025-08-07,-104.9917533333,39.1081,85FQ4255+,2702.0,,14.5,34.0,0.0,18.4,,1013.4,Hygrophorus erubescens,"Pike and San Isabel National Forests, Woodland Park, CO, US",2
c50dbeb8-125a-4e82-8444-6e303328a266,244927376,2024-09-29 12:45:37-06:00,2024-09-29,-106.026562109,39.4218295754,85FMCXCF+,3332.0,,2.8,22.2,0.0,7.8,,1018.4,Hygrophorus erubescens,"Colorado, US",1
2bd4b450-64d5-41b3-b8eb-aa4699962613,240771599,2024-09-08 13:32:08-06:00,2024-09-08,-105.908523,39.890928,85FPV3RR+,2909.0,,-1.0,12.6,2.8,9.4,,1022.4,Hygrophorus erubescens,"Fraser, CO 80442, USA",1
680fcd83-6ab4-43fa-b2f3-f7959d3f25f5,239343733,2024-08-30 12:12:49-06:00,2024-08-30,-107.2876283333,39.7485416667,85FJPPX6+,3258.0,,5.6,28.3,,7.4,,1018.6,Hygrophorus erubescens,"White River National Forest, Gypsum, CO, US",1
fd99af9e-90cc-4573-999b-d817c9ffdbac,239341751,2024-08-30 12:34:13-06:00,2024-08-30,-107.2881083333,39.748445,85FJPPX6+,3258.0,,5.6,28.3,,7.4,,1018.6,Hygrophorus erubescens,"White River National Forest, Gypsum, CO, US",1
538d4f86-5232-4842-ab5d-2335f36030cf,237585181,2024-08-23 17:52:50-06:00,2024-08-23,-105.4164633333,39.2719716667,85FP7HCM+,2966.0,,5.3,18.5,0.3,14.2,,1017.9,Hygrophorus erubescens,"Pike and San Isabel National Forests, Hartsel, CO, US",1
608f90df-c1df-4df2-a5d6-1a43bfe78618,235967374,2024-08-07 12:09:00-06:00,2024-08-07,-105.7950361111,35.7970805556,857PQ6W3+,3368.0,,17.2,34.4,0.0,16.8,,1012.0,Hygrophorus erubescens,"Santa Fe County, NM, USA",1
