uuid,inat_id,timestamp,date,lon,lat,olc,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
90e67292-f639-4cba-9fde-22c68051eb19,308554464,2025-08-22 09:41:00-06:00,2025-08-22,-105.838775,35.72757778,857PP5H6+,2548.0,,15.0,31.7,0.0,11.2,,1014.3,Hygrophorus fragrans,"Santa Fe, New Mexico, United States",1
01c94329-de40-4338-a79b-3f0734a0a948,307374507,2025-08-12 13:57:30-06:00,2025-08-12,-107.8732972222,37.8076805556,859JR45G+,3144.0,,10.0,24.0,0.0,6.7,,1031.4,Hygrophorus fragrans,"Ophir, CO 81426, USA",1
c6d66746-d0f4-4aff-883c-db77b52b23e1,237023950,2024-08-20 16:43:40-06:00,2024-08-20,-107.9974883333,39.0059083333,85FJ2243+,2967.0,,16.5,34.3,0.0,10.5,,1016.9,Hygrophorus fragrans,"Grand Mesa Uncompahgre and Gunnison National Forests, Cedaredge, CO, US",3
1949ef3e-0ea6-4c49-af1a-9d4c0c4a3c1f,236402488,2024-08-17 10:53:34-06:00,2024-08-17,-107.85443,37.8843833333,859JV4MW+,3338.0,,12.0,23.0,4.9,9.4,,1034.5,Hygrophorus fragrans,"Grand Mesa Uncompahgre and Gunnison National Forests, Ophir, CO, US",2
372391ce-39a3-49e6-83c2-4d3c18fc65f0,231341420,2024-07-23 15:39:59-06:00,2024-07-23,-107.6144783333,38.959555,85CJX95P+,2382.0,,15.6,34.9,0.0,10.0,,1014.6,Hygrophorus fragrans,"Grand Mesa Uncompahgre and Gunnison National Forests, Paonia, CO, US",2
05f00bb0-6a76-4778-a2f5-62b7ecdf1e42,146378359,2022-09-15 13:17:57-06:00,2022-09-15,-105.5788366667,39.9831716667,85FPXCMC+,3046.0,,-1.6,8.5,0.7,11.3,,1018.9,Hygrophorus fragrans,"Nederland, CO, US",2
a942be28-650a-4b31-8761-9a70e4d987e3,135828886,2022-08-24 09:10:45-06:00,2022-08-24,-106.964113007,37.1625225647,859M527P+,2281.0,,10.0,24.0,0.1,8.3,,1028.0,Hygrophorus fragrans,United States,2
cc4725e3-ccdd-4cdc-b4fe-8669840dcac9,135790173,2022-09-17 13:38:45-06:00,2022-09-17,-105.559785,40.0386549722,85GP2CQR+,3168.0,,12.0,26.0,1.7,7.1,,1015.2,Hygrophorus fragrans,"Boulder County, US-CO, US",6
071dddc2-173a-41bb-bf2a-71852b031684,133299420,2022-08-21 17:49:16-06:00,2022-08-21,-107.9475166667,37.7995916667,859JQ3X2+,3192.0,,9.0,17.0,1.7,4.5,,1031.4,Hygrophorus fragrans,"San Juan National Forest - Headquarters, Dolores, CO, US",2
7ec6d316-9893-4565-953b-ed6d9754eaa5,132217883,2022-08-24 11:41:10-06:00,2022-08-24,-105.7682963997,39.8279459,85FPR6HJ+,3186.0,,0.8,12.1,2.9,6.2,,1022.5,Hygrophorus fragrans,"Winter Park, CO 80482, USA",2
6c022a1c-57ed-41cb-afa5-20198871eb9c,132191836,2022-08-24 13:00:53-06:00,2022-08-24,-106.6666414133,40.3546634734,85GM983M+,3022.0,,7.5,27.7,0.0,5.3,,1024.3,Hygrophorus fragrans,"Colorado, US",2
e4633356-7578-4075-9284-4af6f1b81303,131222477,2022-08-17 09:24:03-06:00,2022-08-17,-107.83355,37.9335966667,859JW5M8+,3170.0,,11.0,18.0,5.0,4.6,,1033.1,Hygrophorus fragrans,"Grand Mesa Uncompahgre and Gunnison National Forests, Mountain Village, CO, US",5
