uuid,inat_id,timestamp,date,lon,lat,olc,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
2311c2bd-8b58-4096-b84e-f29001e1bbee,373280145,2026-06-17 11:28:05-07:00,2026-06-17,-121.752812657,44.5368640351,84PWG6PW+,1439.0,,7.0,30.0,0.0,6.8,,,Hygrophorus goetzei,"Oregon, US",1
3ca6749b-aa41-4307-add8-f65e25b92311,230605212,2024-07-20 12:04:29-07:00,2024-07-20,-121.7502485754,45.351882331,84QW962X+,1663.0,,14.9,38.4,0.0,7.1,,1016.5,Hygrophorus goetzei,"Clackamas County, US-OR, US",3
48f40337-2ccd-4b13-a0bf-209d9afded27,218548378,2024-05-26 12:02:52-07:00,2024-05-26,-121.7070780412,45.2830653269,84QW77MV+,1126.0,,7.1,19.4,0.0,14.5,,1018.7,Hygrophorus goetzei,"Mt. Hood Park Division Recreation Area, Government Camp, OR, US",3
05ccb440-4750-4037-a300-c6f964b70089,144654142,2022-07-19 06:48:00-07:00,2022-07-19,-121.5247872913,45.3429249152,84QW8FVG+,1970.0,,13.3,34.5,0.0,6.5,,1014.8,Hygrophorus goetzei,"Hood River County, OR, USA",3
634875a2-809c-48eb-9487-66c318e59eea,130320611,2022-08-06 18:02:00-07:00,2022-08-06,-121.7564072642,45.3568350987,84QW964V+,1659.0,,14.5,32.9,0.0,4.6,,1015.3,Hygrophorus goetzei,"Clackamas County, OR, USA",2
a2620f51-e6db-4ad4-a84d-6e60ccae6ffc,127446483,2022-07-09 12:53:25-07:00,2022-07-09,-121.5333550096,45.3516754819,84QW9F28+,1826.0,,13.6,26.3,0.0,10.5,,1019.8,Hygrophorus goetzei,"Forest Service U.S. Department of Agriculture, Mount Hood Parkdale, OR, US",3
6a22cf72-b8d1-4e23-abe3-6bc9997f93c3,125713997,2022-07-10 10:38:46-07:00,2022-07-10,-121.64543,45.3612116667,84QW9963+,1911.0,,13.5,27.3,0.0,12.0,,1024.0,Hygrophorus goetzei,"Mount Hood Wilderness, Parkdale, OR, US",1
ced7e498-5d3d-4f16-85e8-d891646cbefb,125650595,2022-07-09 12:52:00-07:00,2022-07-09,-121.5280464236,45.3442449768,84QW8FVC+,1898.0,,13.6,26.3,0.0,10.5,,1019.8,Hygrophorus goetzei,"Hood River County, OR, USA",2
4db5224c-50f7-43fb-8945-cb6a113e3502,124065986,2022-06-29 15:18:26-07:00,2022-06-29,-121.5334033333,45.25285,84QW7F38+,1651.0,,13.0,24.6,0.0,13.0,,1019.3,Hygrophorus goetzei,"Forest Service U.S. Department of Agriculture, Maupin, OR, US",3
70368c27-1888-45c9-8de6-1d534b629aa5,51153877,2020-06-26 10:47:48-07:00,2020-06-26,-121.8891176108,44.6061998393,84PWJ446+,1508.0,,,,,,,,Hygrophorus goetzei,"Willamette National Forest, Idanha, OR, US",1
6a54e534-ce46-4fa3-a309-4df7d738c75c,49375058,2020-06-11 15:09:00-07:00,2020-06-11,-121.6663938783,45.2176382809,84QW689M+,1611.0,,,,,,,,Hygrophorus goetzei,"Frog Lake Butte, Wasco County, OR, USA",2
e8c94e55-e352-4203-9779-f020a9ee1caf,28634161,2019-07-08 17:35:22-07:00,2019-07-08,-121.7654825002,44.826029723,84PWR6GM+,1988.0,,,,,,,,Hygrophorus goetzei,"Marion County, OR, USA",2
d515f4e4-545c-4fa1-a044-f6fd00a5d0e8,28634039,2019-07-08 17:31:40-07:00,2019-07-08,-121.7681543157,44.8250706887,84PWR6GJ+,1962.0,,,,,,,,Hygrophorus goetzei,"Marion County, OR, USA",2
b2dfec85-68aa-4b8c-8d06-3e5528cbf76e,28072087,2019-07-01 15:10:48-07:00,2019-07-01,-121.7616721888,45.306267267,84QW864Q+,1200.0,,,,,,,,Hygrophorus goetzei,"Oregon, US",2
01bb6b8b-407f-4c21-b421-93bf936e5e5e,27279759,2019-06-18,2019-06-18,-121.81,45.31605,84QW858R+,916.0,,,,,,,,Hygrophorus goetzei,"SW Mount Hood, Clackamas Co., Oregon, USA",3
ceee3d81-0b54-4c84-a357-e9f7f6a81c98,26471124,2019-06-05 12:03:33-07:00,2019-06-05,-121.5422895903,45.2666554955,84QW7F85+,1595.0,,12.8,24.4,0.0,16.4,,1014.5,Hygrophorus goetzei,"Mt. Hood National Forest, Mount Hood Parkdale, OR, US",1
395b0097-5b3c-45fc-8666-12e8494c2480,26420353,2019-06-04 09:19:22-07:00,2019-06-04,-121.5476875802,45.2577965381,84QW7F52+,1425.0,,13.3,27.8,0.0,25.3,,1016.6,Hygrophorus goetzei,"97037, Maupin, OR, US",2
933fbd13-ab83-4df1-8b21-5294c6092b3f,7088318,2017-07-15 11:50:33-07:00,2017-07-15,-121.5240053522,45.3417958186,84QW8FRG+,1970.0,,20.0,30.0,0.0,26.0,,1017.1,Hygrophorus goetzei,"Mt. Hood National Forest, Mount Hood Parkdale, OR, US",3
6f7358c3-1178-43d8-b734-51345943f86f,292018021,2025-06-22 13:31:43-07:00,2025-06-22,-121.9999628844,44.297013913,84PW72W2+,1018.0,,,,,,,,Hygrophorus goetzei,"Oregon, US",1
700b722a-6675-41f3-bace-f6eec9793a22,232072883,2024-07-17 12:06:00-07:00,2024-07-17,-121.8311611111,44.49065,84PWF5R9+,1715.0,,,,,,,,Hygrophorus goetzei,"Jefferson County, OR, USA",5
