uuid,inat_id,timestamp,date,lon,lat,olc,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
6970a2c6-ccb4-48f9-be0a-0d4856476884,281961823,2025-05-17 14:05:50-07:00,2025-05-17,-121.5324808917,45.4014303228,84QWCF29+,1425.0,,10.0,17.0,0.6,2.9,,1012.5,Hygrophorus purpurascens,"Oregon, US",1
b376d09b-ca66-4dc5-8dc8-f6dad3d80796,221478142,2024-06-08 14:07:04-07:00,2024-06-08,-121.5323146194,45.2307110083,84QW6FJ9+,1405.0,,12.3,27.9,0.0,8.6,,1011.3,Hygrophorus purpurascens,"Maupin, OR 97037, USA",1
d08344bb-c398-42c0-9282-2453db757d49,218829586,2024-05-26 19:29:38-07:00,2024-05-26,-121.5137466782,45.4535591901,84QWFF3P+,1228.0,,7.1,19.4,0.0,14.5,,1018.7,Hygrophorus purpurascens,"Mt. Hood National Forest, Mount Hood Parkdale, OR, US",1
1f4384fd-0640-4b43-abc9-713cfa8229d3,217080916,2024-05-18 15:26:45-07:00,2024-05-18,-121.630875,45.4591,84QWF959+,864.0,,5.5,15.7,0.1,16.6,,1018.0,Hygrophorus purpurascens,"Mt. Hood National Forest, Mount Hood Parkdale, OR, US",1
ce7fee0f-9510-483b-8280-50f67f3cd625,144463242,2022-05-17 15:39:00-07:00,2022-05-17,-121.5120043883,45.0450598456,84QW2FWQ+,806.0,,,,,,,,Hygrophorus purpurascens,"Oregon, US",1
5b08fc83-52f5-4295-852b-9556275ec440,116873154,2022-05-12,2022-05-12,-121.5772,45.1159,84QW4C8F+,1001.0,,,,,,,,Hygrophorus purpurascens,"McCubbins Gulch, Barlow Ranger District, Mount Hood National Forest, Wasco Co., Oregon, USA",1
814bb5c6-721e-4c34-a700-200e03720449,79713288,2021-05-15 18:54:08-07:00,2021-05-15,-121.4740916667,45.350025,84QW9G2G+,1432.0,,13.9,31.1,0.0,17.4,,1013.7,Hygrophorus purpurascens,"Mt. Hood National Forest, Dufur, OR, US",3
214e4150-42e7-4eaf-9e50-41867af4dd12,79380071,2021-05-16 13:33:54-07:00,2021-05-16,-121.477821,45.433942,84QWCGMC+,1170.0,,12.8,32.2,0.0,17.5,,1010.4,Hygrophorus purpurascens,"Dufur, OR 97021, USA",2
f95f7425-f47d-48f6-a5be-36168c5877ec,75189622,2021-04-24 12:18:19-07:00,2021-04-24,-121.4382064017,45.1837492515,84QW5HM6+,807.0,,,,,,,,Hygrophorus purpurascens,"Mt. Hood National Forest, Maupin, OR, US",1
21cf84e9-a9a7-4c90-bd3e-8c000b41a1e6,65244618,2019-05-23,2019-05-23,-121.428,45.3976,84QW9HXC+,1087.0,,12.2,28.3,,17.3,,1012.1,Hygrophorus purpurascens,"Barlow Ranger District, Mount Hood National Forest, Hood River and Wasco Cos., Oregon, USA",1
45216cac-1cb8-4796-bed3-c4a9f426d149,65244509,2019-05-16,2019-05-16,-121.4773,45.197,84QW5GWF+,1015.0,,,,,,,,Hygrophorus purpurascens,"Rock Creek OHV Riding Area, Barlow Ranger District, Mount Hood National Forest, Wasco Co., Oregon, USA",1
44ca7303-f4fb-4deb-995b-9bda6364545b,65239209,2014-10-03,2014-10-03,-121.7,45.3515,84QW9822+,2309.0,,,,,,,,Hygrophorus purpurascens,"Mount Hood, Mount Hood National Forest, Oregon, USA",1
0f78b0b0-62ca-420d-b931-cd38a09ee414,65236500,2013-06-01,2013-06-01,-121.5405,45.38065,84QW9FJ5+,1565.0,,9.4,26.7,0.0,13.9,,1019.1,Hygrophorus purpurascens,"NF Road 4410 aka Lookout Mountain Rd., Hood River Ranger District and Barlow Ranger District, Mount Hood National Forest, Hood River Co., Oregon, USA",2
64c3dbf5-af79-428d-8314-c5d982ca9f8c,57662949,2020-05-22 19:08:05-07:00,2020-05-22,-121.4959149722,45.137058,84QW4GP3+,1021.0,,,,,,,,Hygrophorus purpurascens,"Maupin, OR 97037, USA",1
f94a952e-10ba-4393-9d71-971e4b59d5bf,45731056,2020-05-06 13:51:25-07:00,2020-05-06,-121.5147095998,45.1191736857,84QW4F9P+,995.0,,,,,,,,Hygrophorus purpurascens,"Mt. Hood National Forest, Maupin, OR, US",1
e7f96deb-a95e-48df-be4e-972025cfcef9,32627557,2019-09-11 12:05:00-07:00,2019-09-11,-121.7451157867,45.2711276064,84QW77C3+,1245.0,,,,,,,,Hygrophorus purpurascens,"Clackamas County, OR, USA",1
c6a238ae-e201-4be9-a922-8453998cbec2,17481487,2018-10-12 14:04:44-07:00,2018-10-12,-121.9561882433,44.6560160456,84PWM24V+,765.0,,,,,,,,Hygrophorus purpurascens,"Willamette National Forest, Idanha, OR, US",3
b5fde17b-0b3c-48ef-b81b-d6ea786463f6,6743577,2017-06-18 09:06:16-07:00,2017-06-18,-121.6949791887,45.2242959896,84QW68F4+,1207.0,,,,,,,,Hygrophorus purpurascens,"Mt. Hood National Forest, Maupin, OR, US",1
