uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
0038ae32-36d9-45d3-83da-6eb7a0295814,187819646,2023-10-14 16:54:02-07:00,2023-10-14,-122.1092611667,45.3638033333,457.0,,13.3,17.8,,6.7,,1016.6,Hypholoma dispersum,"E Terra Fern Dr, Sandy, OR, US",2,
25d39608-798f-4c7d-ac72-443878781cac,100453657,2021-11-06 08:48:33-07:00,2021-11-06,-121.9391466667,45.2700416667,559.0,,6.1,11.1,,12.6,,1015.8,Hypholoma dispersum,"Mount Hood National Forest, Welches, OR, US",2,
5f7f73f7-93b9-41c1-a4c1-fe0589f20983,63460639,2020-10-24 14:15:39-07:00,2020-10-24,-121.9103696467,45.3120407244,646.0,,6.7,14.4,,17.2,,1020.2,Hypholoma dispersum,"Oregon, US",1,
64e847d2-934b-4745-b2a9-d7bf255a639c,61751508,2020-10-03 11:59:58-07:00,2020-10-03,-121.8629506108,45.5061194853,1211.0,,12.8,25.0,0.0,1.9,,1017.8,Hypholoma dispersum,"Oregon, US",1,
053bea71-fd04-4756-959d-8f6f39e4fef2,191224252,2023-11-15 11:26:09-08:00,2023-11-15,-122.3060499997,45.2108825997,405.0,,6.1,11.7,,4.7,,1013.7,Hypholoma dispersum,"Estacada, OR 97023, USA",1,84QV6M6V+
f96f8302-8b35-45dc-8207-ee21e95800e1,321322830,2025-10-15 15:54:21-07:00,2025-10-15,-122.8427701645,45.4987147359,64.0,,2.0,18.0,0.0,3.9,,1018.3,Hypholoma dispersum,"Beaverton, OR, US",1,84QVF5X4+
5520645f-4a24-4d2d-b435-39bef6f7dad0,250526038,2024-11-04 11:23:33-08:00,2024-11-04,-122.659905,44.88942,390.0,,7.8,15.0,0.8,14.8,,1023.3,Hypholoma dispersum,"North Fork Silver Creek, Sublimity, OR, US",1,84PVV8QR+
56e5180b-c8af-4848-b6d6-5bd0f9ec16f3,191855473,2023-11-23 08:46:18-08:00,2023-11-23,-122.7072777863,45.5160077827,197.0,,3.3,11.7,0.0,9.4,,1027.6,Hypholoma dispersum,"SW Alder St, Portland, OR, US",1,84QVG78V+
ed904bcf-a832-443e-9b20-8fddc45c3f43,144868841,2022-12-21 13:30:39-08:00,2022-12-21,-122.6585833333,44.887845003,390.0,,-3.2,6.7,0.0,12.6,,1027.7,Hypholoma dispersum,"Silver Falls State Park, Silverton, OR, US",2,84PVV8QR+
4ff592e2-1e39-4777-a62f-fa9dbc2cbb5e,101492028,2021-10-29 09:52:59-07:00,2021-10-29,-121.880167,45.81897,301.0,,,,,,,,Hypholoma dispersum,"Carson, WA 98610, USA",1,84QWR499+
60b223a7-ace4-4210-a11a-65fb23c7c926,101277501,2021-11-11 14:48:18-08:00,2021-11-11,-122.0323416667,44.29337,690.0,,,,,,,,Hypholoma dispersum,"Willamette National Forest, Foster, OR, US",1,84PV7XV9+
3478d83f-3e64-4426-bcff-d16e4533de84,18506467,2018-10-12,2018-10-12,-122.074062,44.535402,1104.0,,,,,,,,Hypholoma dispersum,"Linn County, OR, USA",3,84PVGWPG+
