uuid,inat_id,timestamp,date,lon,lat,olc,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
c0947e73-6f8e-4896-912a-1578c6128dce,290755382,2025-05-30 14:26:00-07:00,2025-05-30,-121.7908916916,45.0325336637,84QW26M5+,1288.0,,,,,,,,Hypomyces aurantius,"Clackamas County, OR, USA",1
35222195-ec62-44af-b8f1-7476d321940e,227916885,2023-12-14 18:21:00-08:00,2023-12-14,-122.2266523284,45.3087134998,84QV8Q5F+,383.0,,8.3,10.6,,28.7,,1021.4,Hypomyces aurantius,"Clackamas County, OR, USA",1
6a5936db-6e20-4809-a36c-ec8e978c1ace,193084739,2023-11-23 13:48:00-08:00,2023-11-23,-121.9397824677,45.2970614838,84QW73W6+,469.0,,1.7,13.3,0.0,3.2,,1027.3,Hypomyces aurantius,"Clackamas County, OR, USA",1
6e472636-9dcc-44f6-909e-64b349a15525,44657071,2020-05-01 12:25:00-07:00,2020-05-01,-121.826638038,45.3204743026,84QW85CF+,862.0,,,,,,,,Hypomyces aurantius,"Clackamas County, OR, USA",3
1ca686cc-95ca-4af2-9bf9-60a929950dbb,27476751,2019-06-02 15:12:48-07:00,2019-06-02,-121.58058,45.1432333333,84QW4CV9+,961.0,,,,,,,,Hypomyces aurantius,"Mt. Hood National Forest, Maupin, OR, US",2
61664c0f-8733-4a45-873b-a537c3453f9f,330882810,2025-12-15 11:54:45-08:00,2025-12-15,-122.5718601625,45.4832785986,84QVFCMH+,67.0,,9.0,16.0,0.8,17.2,,1016.6,Hypomyces aurantius,"Oregon, US",1
1481e5d6-a0c7-420a-a0ac-1f296572543c,329877019,2025-12-06 15:43:20-08:00,2025-12-06,-122.4421996944,45.530941,84QVGHJ5+,62.0,,9.0,13.0,9.5,12.9,,1019.8,Hypomyces aurantius,"Fairview, OR 97024, USA",1
b1899c27-73a3-4c15-b48e-9f63a876ac8d,178433617,2023-04-16 15:40:16-07:00,2023-04-16,-122.8203133333,45.6030466667,84QVJ53H+,214.0,,6.1,10.6,,13.5,,1016.2,Hypomyces aurantius,"Forest Park, Portland, OR, US",1
1a565500-adee-45e5-b648-cd2c438e5a78,148392000,2023-02-08 12:18:53-08:00,2023-02-08,-122.6841281113,45.4442410226,84QVC8V8+,68.0,,2.8,12.2,0.0,5.0,,1032.3,Hypomyces aurantius,"Tryon Creek State Natural Area, Portland, OR, US",1
0e2c7b8f-d1ca-44f0-b674-c36052253201,78668910,2021-05-13 14:43:59-07:00,2021-05-13,-122.0574385983,44.2371104122,84PV6WPV+,593.0,,,,,,,,Hypomyces aurantius,"Lane County, US-OR, US",2
66d6aa9d-1a27-4065-a2a4-60ff2512cde9,74339804,2021-04-17 18:19:09-07:00,2021-04-17,-122.7620753646,45.64769079,84QVJ6XQ+,22.0,,5.6,27.8,0.0,4.2,,1020.7,Hypomyces aurantius,"St. Johns, Portland, OR, USA",1
bce2572e-baca-4e93-aa9d-ee15d983f6dd,64120927,2020-11-02 14:42:33-10:00,2020-11-02,-122.7971784398,45.6068422925,84QVJ643+,111.0,,1.7,19.4,0.0,3.9,,1019.5,Hypomyces aurantius,"Northwest Portland, Portland, OR, USA",1
