uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
05d0aab7-7d4a-483b-b1c9-5e5aa885f22e,390976897,2026-08-13 15:10:48-06:00,2026-08-13,-107.8821989722,37.832348,2966.0,,10.0,17.0,1.8,2.9,,,Hypomyces luteovirens,"Ophir, CO 81426, USA",1
5f711a64-fd66-41ed-a0e8-f6d5dd2a36be,308712556,2025-08-20 20:05:10-06:00,2025-08-20,-105.51384596,39.84536881,2792.0,,0.7,16.0,0.0,12.5,,1024.8,Hypomyces luteovirens,"Gilpin County, US-CO, US",3
3a06adbb-c7d4-4ee0-980a-3d9695c4dc50,308568660,2025-08-20 20:09:28-06:00,2025-08-20,-105.5137983997,39.8453599997,2792.0,,0.7,16.0,0.0,12.5,,1024.8,Hypomyces luteovirens,"Black Hawk, CO 80422, USA",2
f58bc22f-a509-4920-963b-e380ff33cf70,308359883,2025-08-22 15:26:01-06:00,2025-08-22,-104.8896902096,38.7015684429,2355.0,,16.0,28.0,1.1,18.0,,1027.6,Hypomyces luteovirens,"Colorado, US",1
b79bc2b0-0706-4fa7-a36d-dea810590440,307976981,2025-08-20 20:06:14-06:00,2025-08-20,-105.5138466667,39.8453666667,2792.0,,0.7,16.0,0.0,12.5,,1024.8,Hypomyces luteovirens,"Black Hawk, CO, US",1
feb7ab6e-81de-47e7-912b-902ed79be9fa,254582063,2017-08-13 10:28:00-06:00,2017-08-13,-104.9636814424,38.6425974815,2774.0,,12.4,26.8,,7.1,,1014.2,Hypomyces luteovirens,"Colorado, US",1
b9b5f839-a1bb-403d-8e23-410ca36ac4f3,239724829,2024-09-02 19:12:40-06:00,2024-09-02,-105.6926283333,39.49358,2811.0,,,,,,,,Hypomyces luteovirens,"Pike and San Isabel National Forests, Bailey, CO, US",1
5bc0405b-2387-4eaa-bc8b-25c256d3b665,236098229,2024-08-15 17:12:03-06:00,2024-08-15,-107.8803466667,37.833845,2930.0,,9.0,23.0,0.0,9.0,,1032.8,Hypomyces luteovirens,"Grand Mesa Uncompahgre and Gunnison National Forests, Ophir, CO, US",1
dcb7d58d-70eb-45de-ad18-9358f410961c,235993746,2024-08-15 11:59:20-06:00,2024-08-15,-107.8265263858,37.8566132364,3014.0,,9.0,23.0,0.0,9.0,,1032.8,Hypomyces luteovirens,"San Miguel County, US-CO, US",2
93a6ec4c-02bb-4daf-9be9-1b98011c2ceb,235936020,2024-08-15 10:50:39-06:00,2024-08-15,-105.7111167535,39.5949864574,3558.0,,-0.6,12.8,4.0,13.5,,1022.8,Hypomyces luteovirens,"Keystone, CO 80435, USA",2
