uuid,inat_id,timestamp,date,lon,lat,olc,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
7144f0c2-6584-487e-aaf6-594365121473,326177361,2025-11-10 08:30:33-08:00,2025-11-10,-122.6463916667,44.8917966667,84PVV9R3+,406.0,,5.6,15.0,0.0,5.1,,1024.0,Hypomyces microspermus,"Silver Falls State Park, Sublimity, OR, US",1
18838095-5a84-4a10-87e2-b75b51239b9a,189910727,2023-11-03 13:05:43-07:00,2023-11-03,-122.7280366667,45.5270466667,84QVG7GC+,178.0,,8.3,16.1,12.7,9.0,,1018.7,Hypomyces microspermus,"Macleay Park, Portland, OR, US",1
fd553532-2eb9-46c7-bc0f-098efb9c2ffd,101647342,2021-11-21 12:14:03+00:00,2021-11-21,-122.6817102844,45.4438662368,84QVC8V9+,77.0,,1.1,7.8,0.0,3.6,,1028.5,Hypomyces microspermus,"Tryon Creek State Natural Area, Portland, OR, US",1
103c4265-9d47-4eb3-87f9-9450749f560f,101645046,2021-11-21 11:50:45+00:00,2021-11-21,-122.6804025845,45.4424330296,84QVC8R9+,75.0,,1.1,7.8,0.0,3.6,,1028.5,Hypomyces microspermus,"Tryon Creek State Natural Area, Portland, OR, US",1
3b5dd575-f82a-4ccb-8a37-0c58592cfdf5,99415113,2021-10-25 12:58:22-07:00,2021-10-25,-122.7350216667,45.5409,84QVG7R7+,275.0,,11.7,14.4,,15.3,,1000.0,Hypomyces microspermus,"Forest Park Conservancy, Portland, OR, US",1
5726ccae-59ad-41ae-8f95-a18d3ac329b3,64120118,2020-11-02 15:08:56-10:00,2020-11-02,-122.7991562337,45.6053835959,84QVJ642+,123.0,,1.7,19.4,0.0,3.9,,1019.5,Hypomyces microspermus,"Northwest Portland, Portland, OR, USA",2
b51f669e-7631-4060-ae17-fb868f9c7a8f,64116192,2020-11-02 16:40:35-10:00,2020-11-02,-122.8003072366,45.5998988948,84QVH5XX+,271.0,,1.7,19.4,0.0,3.9,,1019.5,Hypomyces microspermus,"Northwest Portland, Portland, OR, USA",1
29f5ba83-ad7b-4734-8f7d-ac223b141034,63866661,2020-10-13 15:00:00-10:00,2020-10-13,-122.7148722222,45.5173111111,84QVG78P+,239.0,,11.7,18.3,4.8,15.5,,1017.5,Hypomyces microspermus,"Southwest Portland, Portland, OR, USA",1
c2b6d51f-d62b-456d-85a7-51b53b32d11d,36280056,2019-11-29 15:42:48-10:00,2019-11-29,-122.7562737362,45.605278529,84QVJ64V+,35.0,,-3.3,6.7,0.0,4.4,,1011.4,Hypomyces microspermus,"Pier Park, Portland, OR, US",1
df50d7fc-6929-47a2-bffb-7de1a30d99d2,36083249,2019-11-22 15:52:48-10:00,2019-11-22,-122.762475,45.55173,84QVH62Q+,303.0,,-1.7,10.0,,1.1,,1024.4,Hypomyces microspermus,"Wildwood Trail, Portland, OR, US",1
