uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
072fd735-cf5b-4ea7-81ba-23b9ee97e3b5,313671201,2025-09-13 14:53:17-06:00,2025-09-13,-106.3947533,35.8964514997,2844.0,,12.0,16.0,2.0,7.4,,1022.8,Hypsizygus tessulatus,"Los Alamos County, NM, USA",1,
054355c6-5c2d-41b7-9834-00a33d538508,327070033,2025-10-10 15:59:59-07:00,2025-10-10,-121.574105,45.3368116667,1116.0,,8.0,15.0,0.5,1.9,,,Hypsizygus tessulatus,"Robin Hood Ramp Ski Trail, Mount Hood Parkdale, OR, US",1,
e9684d73-287a-4934-b576-b28592a6db97,322528912,2025-10-22 13:37:48-07:00,2025-10-22,-121.8324813992,45.3068380199,780.0,,2.0,17.0,0.0,1.5,,1017.7,Hypsizygus tessulatus,"Rhododendron, OR 97049, USA",1,
094404c2-d8ab-4bad-ae79-5f3d696b16e3,321525073,2025-10-17 13:03:01-07:00,2025-10-17,-121.5777583333,45.404695,1015.0,,7.0,16.0,0.0,4.4,,1019.4,Hypsizygus tessulatus,"Mt. Hood Park Division Recreation Area, Mount Hood Parkdale, OR, US",2,
9673703b-b3db-405d-a9e9-438ecc058f86,251255254,2024-11-10 12:56:01-08:00,2024-11-10,-121.880455,45.31005,636.0,,6.9,10.3,5.7,5.0,,1014.6,Hypsizygus tessulatus,"Mt. Hood Park Division Recreation Area, Rhododendron, OR, US",1,
414df4fe-a20a-49b1-9d0c-686ff52d1523,249703787,2024-10-29 11:36:08-07:00,2024-10-29,-121.8704789133,45.3788871691,626.0,,3.1,11.8,0.1,10.0,,1018.8,Hypsizygus tessulatus,"Clackamas County, US-OR, US",1,
59adf302-40a3-44f6-af41-a8ddea2e0e32,328943140,2025-11-29 15:36:06-08:00,2025-11-29,-122.7648216667,45.648945,5.0,,6.0,11.0,0.0,9.6,,1021.5,Hypsizygus tessulatus,"Kelley Point, Portland, OR, US",1,84QVJ6XP+
d5cdc62d-9975-4eae-bab5-cf6c1870fd89,328446398,2025-11-25 10:42:04-08:00,2025-11-25,-122.7896283333,45.5863916667,239.0,,4.0,8.0,0.3,5.7,,1025.3,Hypsizygus tessulatus,"Forest Park Conservancy, Portland, OR, US",1,84QVH6P6+
b0a37daf-4bb1-4d19-9b28-a9c1cb5cc2b3,325829225,2025-11-09 15:11:58-08:00,2025-11-09,-122.7650694444,45.6457361111,20.0,,4.0,16.1,0.0,4.6,,1022.7,Hypsizygus tessulatus,"St. Johns, Portland, OR, USA",1,84QVJ6WM+
3c34bc48-c428-4038-a7b7-26f3efb2133e,325441230,2025-11-07 11:41:29-08:00,2025-11-07,-121.6956770048,45.9109963008,921.0,,5.0,12.0,0.0,3.2,,1022.1,Hypsizygus tessulatus,"Cook, WA 98605, USA",2,84QWW863+
42863ad4-84dd-4a71-a870-890f0640e143,249568067,2024-10-26 15:09:13-07:00,2024-10-26,-121.937805,45.950595,500.0,,5.7,16.9,0.0,4.4,,1016.6,Hypsizygus tessulatus,"Skamania County, WA, USA",1,84QWX326+
d7724511-f489-48d8-ab8d-7ff7626c5c87,248332054,2024-10-16 12:55:17-07:00,2024-10-16,-121.7091413587,45.9150078158,925.0,,8.6,14.1,0.7,12.2,,1015.4,Hypsizygus tessulatus,"Cook, WA 98605, USA",1,84QWW78R+
0ca1b879-bd16-439b-b493-304696964008,247583895,2024-10-15 14:46:06-07:00,2024-10-15,-122.3994023997,45.5119333,105.0,,15.0,19.4,,3.2,,1018.1,Hypsizygus tessulatus,"Northeast, Gresham, OR, USA",1,84QVGJ62+
69fda03e-9657-4696-829d-390234432f23,165560519,2023-05-27 11:21:00-07:00,2023-05-27,-122.673865,45.628028,24.0,,13.3,23.3,0.0,8.5,,1016.1,Hypsizygus tessulatus,Around Lewis and Clark State Park,1,84QVJ8HG+
80176c74-31c6-445c-bc54-a01c71ec0940,139810561,2022-10-23 15:51:54-07:00,2022-10-23,-122.73812105,45.68708921,6.0,,7.8,15.0,0.0,3.5,,1020.0,Hypsizygus tessulatus,"Vancouver, WA 98660, USA",1,84QVM7P6+
f65ffc35-ed23-4601-ad38-7edc2384df79,102720274,2021-10-31 11:20:36-07:00,2021-10-31,-122.7312,45.5283583333,164.0,,10.6,16.1,0.0,19.8,,1015.6,Hypsizygus tessulatus,"NW Cornell Rd, Portland, OR, US",1,84QVG7H9+
