uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
dd02fb9f-bd9e-420e-a81a-24eb98ddce8a,306120917,2023-10-13 16:38:46-06:00,2023-10-13,-105.0168,40.5555283333,1490.0,,2.8,12.8,,27.3,,1019.6,Hypsizygus ulmarius,"Wilcox Trail, Fort Collins, CO, US",1
77d19f8c-7356-4df8-b5a4-7619f0caffd8,295227316,2025-06-13 15:41:55-06:00,2025-06-13,-103.352826722,44.1689188752,1196.0,,14.0,25.0,0.0,13.0,,1013.2,Hypsizygus ulmarius,"Summerset, SD 57718, USA",1
517c7af2-e873-4019-b767-3a6065584353,294617197,2025-05-27 22:51:54-06:00,2025-05-27,-105.0851427117,40.5988282415,1520.0,,8.3,17.2,0.0,8.4,,1017.7,Hypsizygus ulmarius,"W Poudre Trail, Fort Collins, CO, US",1
a7b0a7de-bf02-4c2e-9524-01cdbce1ad5d,247353484,2024-10-13 16:39:02-06:00,2024-10-13,-105.0866611667,40.6018216667,1520.0,,7.2,20.6,0.0,7.7,,1023.3,Hypsizygus ulmarius,"McMurry Natural Area, Fort Collins, CO, US",1
81458808-3787-4a4b-be6f-af2ceeb46b03,221567354,2024-06-07 09:27:21-06:00,2024-06-07,-102.2043788882,43.2631625934,1054.0,,10.0,30.0,0.0,9.7,,1008.8,Hypsizygus ulmarius,"Oglala Lakota County, US-SD, US",1
f7b5601f-d375-4ef7-9736-84cc37bac422,221117292,2024-06-07 09:51:27-06:00,2024-06-07,-103.3556997032,44.0452235286,1110.0,,13.0,29.0,0.2,17.7,,1011.5,Hypsizygus ulmarius,"Black Hills National Forest, Rapid City, SD, US",2
139373a4-afb2-4e8c-bfef-d29d0ade0c35,216169581,2024-05-16 13:24:36-06:00,2024-05-16,-105.02696494,40.56142296,1493.0,,6.1,24.4,0.0,8.8,,1009.5,Hypsizygus ulmarius,"Fort Collins, CO 80525, USA",1
5eb6ff25-8304-4155-9868-32d2ce33d9bb,193311648,2023-06-13,2023-06-13,-103.4760574705,42.6529809342,1158.0,,9.4,25.0,0.0,4.9,,1011.9,Hypsizygus ulmarius,"Dawes County, NE, USA",1
cf8a4798-4e7c-46cf-b978-8a4b1e296d62,193305570,2023-06-12,2023-06-12,-103.0107210141,42.7115404685,1170.0,,12.8,22.2,0.0,11.8,,1015.3,Hypsizygus ulmarius,"Dawes County, NE, USA",1
1e580226-b0be-4453-b666-1df8e4b33818,193305567,2023-06-12,2023-06-12,-103.0109945994,42.7117461212,1170.0,,12.8,22.2,0.0,11.8,,1015.3,Hypsizygus ulmarius,"Dawes County, NE, USA",1
c3bbc0b9-96c8-4858-a547-6960194439e0,193305566,2023-06-12,2023-06-12,-103.0109060865,42.7120004112,1170.0,,12.8,22.2,0.0,11.8,,1015.3,Hypsizygus ulmarius,"Dawes County, NE, USA",1
ae7e413e-4cc4-4d9d-a924-e64a6c29f525,193305565,2023-06-12,2023-06-12,-103.0109355908,42.7118346696,1170.0,,12.8,22.2,0.0,11.8,,1015.3,Hypsizygus ulmarius,"Dawes County, NE, USA",1
b0704c09-212e-431b-9562-0f1995986d30,189009287,2023-10-26 09:26:01-05:00,2023-10-26,-101.055845,39.4042633333,961.0,,2.2,14.4,0.3,17.5,,1010.8,Hypsizygus ulmarius,"Morgan, KS 67701, USA",2
7ff8a50a-f02e-45b9-a479-1e5fd9d38647,179629280,2011-10-02 10:40:10-06:00,2011-10-02,-104.9506666667,39.744,1618.0,,12.0,28.0,,11.9,,1015.3,Hypsizygus ulmarius,"City Park, Denver, CO, US",1
