uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
1d5fa5f4-7622-4374-bb8b-ec59429c96e6,312390514,2025-09-07 18:02:17-06:00,2025-09-07,-104.8421475209,38.6998073167,2050.0,,14.0,23.0,1.8,9.6,,1025.2,Infundibulicybe gibba,"Colorado, US",1,
bbc76c71-ff03-4ced-ae51-6f05d03a9803,311026867,2025-07-26 10:19:00-06:00,2025-07-26,-104.9039385111,38.81792027,2280.0,,17.0,31.0,0.0,10.7,,1022.0,Infundibulicybe gibba,"Colorado Springs, CO, USA",1,
51cddda7-01ca-4eee-97b6-9cae00905197,238351271,2024-08-27 09:36:38-06:00,2024-08-27,-107.3833305,38.1503642,3149.0,,,,,,,,Infundibulicybe gibba,"Grand Mesa Uncompahgre and Gunnison National Forests, Cimarron, CO, US",3,
362911a2-7ed6-4461-92bb-c75a6d53c867,237003851,2024-08-19 11:17:43-06:00,2024-08-19,-105.373223138,39.500790441,2570.0,,17.2,29.4,,12.0,,1017.6,Infundibulicybe gibba,"Staunton State Park, Pine, CO, US",3,
760b3b6f-4a84-4204-9c50-049247875d11,236194328,2024-08-16 12:27:41-06:00,2024-08-16,-105.7102252359,39.4893991034,3041.0,,1.0,15.2,0.7,14.3,,1021.3,Infundibulicybe gibba,"Colorado, US",1,
a7731712-93ea-4297-b1ed-7dd3e7305d06,235970278,2024-08-15 12:37:33-06:00,2024-08-15,-105.2453035843,39.4639825771,2307.0,,15.6,27.8,,10.9,,1016.1,Infundibulicybe gibba,"Jefferson County, US-CO, US",2,
a922aba4-69a6-446a-8156-9ff1f70f66b8,235969936,2024-08-15 12:22:32-06:00,2024-08-15,-105.2452122579,39.4639459424,2307.0,,15.6,27.8,,10.9,,1016.1,Infundibulicybe gibba,"Jefferson County, US-CO, US",2,
732dbdfd-a5ae-46e2-8f21-3b0f69905644,235776465,2024-08-14 12:03:06-06:00,2024-08-14,-105.2438079392,39.4643669305,2307.0,,15.0,30.6,,10.1,,1014.1,Infundibulicybe gibba,"Jefferson County, US-CO, US",3,
c7848316-123f-4984-a4e1-c6eca564d799,235766648,2024-08-14 11:12:05-06:00,2024-08-14,-107.9073404242,37.8961895408,2531.0,,9.0,20.0,0.1,7.9,,1032.4,Infundibulicybe gibba,"San Miguel County, US-CO, US",3,
412c8ec9-066c-4212-8ba4-3f61e40bfc6e,235023635,2024-08-10 17:41:25-06:00,2024-08-10,-106.5728083333,35.77388,2625.0,,15.5,22.0,,6.4,,1029.9,Infundibulicybe gibba,"Santa Fe National Forest, Jemez Springs, NM, US",1,
3f4e2607-f35a-4403-b362-038475a60685,233844141,2024-08-04 12:57:40-06:00,2024-08-04,-106.6123264,35.9100159997,2568.0,,18.0,31.7,0.0,6.8,,1025.8,Infundibulicybe gibba,"Jemez Springs, NM 87025, USA",1,
521ff364-1b9c-47b6-b39a-7d93c70edea8,232096599,2024-07-25 14:47:16-06:00,2024-07-25,-105.3450200997,36.4328112,2832.0,,4.1,23.8,1.6,3.3,,1035.0,Infundibulicybe gibba,"Taos, NM 87571, USA",1,
