uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
b443f766-ff3a-4fa4-9d73-63b14c0bb078,239562632,2024-09-02 17:07:18-06:00,2024-09-02,-105.6776458975,39.5321140803,3315.0,,,,,,,,Lacrymaria lacrymabunda,"Colorado, US",2,
fe77a68f-8a72-4a5a-a913-78a4bbe323cc,178098317,2023-08-12 10:33:36-06:00,2023-08-12,-105.5368583333,40.0318083333,2911.0,,17.0,28.0,0.0,8.5,,1019.7,Lacrymaria lacrymabunda,"County Road 116, Ward, CO, US",4,
34608c1b-8c11-467d-9853-52cdd903ca0a,131415409,2022-08-18 19:15:18-06:00,2022-08-18,-107.8863299702,37.8850866897,2965.0,,9.0,23.0,0.6,6.6,,1032.2,Lacrymaria lacrymabunda,"Mountain Village, CO 81435, USA",2,
752275eb-a3dd-466d-afec-d201292fd011,7001458,2016-08-12,2016-08-12,-107.505,37.4471,2426.0,,9.4,28.3,0.0,11.8,,1016.1,Lacrymaria lacrymabunda,"Pine River Campground, Bayfield, Colorado, USA",1,
0fc8ea2b-4214-4f13-b35e-664d53002e8f,83448392,2021-05-20 04:58:49-07:00,2021-05-20,-121.802209653,45.7289312766,140.0,,,,,,,,Lacrymaria lacrymabunda,"Carson, WA, USA",1,
66f54a66-90bd-45a1-b6f6-e92b01fdf9a6,326441801,2025-11-13 11:28:16-08:00,2025-11-13,-122.7878068015,45.3868427342,44.0,,11.0,15.0,4.8,5.8,,1005.2,Lacrymaria lacrymabunda,"Sherwood - Tualatin North, Sherwood, OR, USA",1,84QV96P6+
09f2e9a1-8ee7-46fe-80c1-354b771ab1f4,319853249,2025-10-09 12:12:04-07:00,2025-10-09,-122.8315883333,45.502395,78.0,,3.3,16.1,0.6,2.1,,1013.1,Lacrymaria lacrymabunda,"Beaverton, OR, US",1,84QVG529+
947e002a-611a-4356-baf0-29b041331efd,314300853,2025-09-09 17:37:04-07:00,2025-09-09,-122.6867349722,45.513302,54.0,,18.0,26.0,0.4,10.3,,1013.0,Lacrymaria lacrymabunda,"Portland Downtown, Portland, OR, USA",1,84QVG877+
3c0ca6ef-0f2e-43c7-883e-8b4dcac9fe17,248321590,2024-10-20 11:58:25-07:00,2024-10-20,-122.8531033333,45.4256966667,100.0,,8.3,18.3,,4.7,,1015.3,Lacrymaria lacrymabunda,"SW Friendly Ln, Tigard, OR, US",1,84QVC4GW+
56ebb86a-d2c2-47e5-b71b-441d8e072f92,216934569,2024-05-14 15:14:44-07:00,2024-05-14,-122.4481283333,45.6317416667,72.0,,11.1,26.1,0.0,6.5,,1019.8,Lacrymaria lacrymabunda,"Lacamas Heritage Trail, Camas, WA, US",1,84QVJHJ2+
b76f5f6d-af74-4412-996e-4d7f6623ab61,188220494,2023-10-19 12:42:00-07:00,2023-10-19,-122.8712792176,45.4524883813,236.0,,7.2,22.2,0.0,2.4,,1017.7,Lacrymaria lacrymabunda,"Washington County, OR, USA",1,84QVF42H+
f16d0f13-71a5-457f-94a5-736ff360d9a2,187744577,2020-05-02 19:09:00-07:00,2020-05-02,-122.6043813781,45.4729423032,80.0,,9.4,14.4,5.3,14.4,,1013.4,Lacrymaria lacrymabunda,"Green Thumb, Portland, OR, US",1,84QVF9FW+
0cda2422-7504-4028-b386-caa4852c0132,183294117,2023-09-13 11:51:33-07:00,2023-09-13,-122.8228710675,45.4275711452,124.0,,11.7,27.2,0.0,6.8,,1019.5,Lacrymaria lacrymabunda,"SW Fern St, Tigard, OR, US",1,84QVC5HG+
c6aa552c-cd98-4e5f-b0ad-5b91f3d38569,179770412,2023-08-22 18:52:02-07:00,2023-08-22,-122.5115716667,45.4520616667,170.0,,15.6,25.6,0.0,2.9,,1016.7,Lacrymaria lacrymabunda,"SE Spy Glass Dr, Happy Valley, OR, US",1,84QVFF2Q+
d0aedade-1d03-40ab-9d56-23cb1f460044,161150558,2023-05-11 15:55:40-07:00,2023-05-11,-122.4394177643,45.5992236158,184.0,,11.1,26.7,0.0,4.3,,1019.0,Lacrymaria lacrymabunda,"NW Dahlia Ct, Camas, WA, US",1,84QVHHX6+
72928ca5-1ffe-494f-9f49-d8ebddbac6d9,137694884,2022-10-05 16:14:50-07:00,2022-10-05,-122.4275610346,45.5622068453,17.0,,11.7,20.0,0.0,3.0,,1020.1,Lacrymaria lacrymabunda,United States,1,84QVHH6C+
53c8e5bf-50fa-4a3f-bf33-5f271199f801,136983502,2022-09-29 18:46:38-07:00,2022-09-29,-122.4917144775,45.5936889648,61.0,,15.0,21.7,3.3,7.9,,1019.9,Lacrymaria lacrymabunda,Vancouver,1,84QVHGV5+
27b97ccf-ac47-494b-9460-1dc47f97702a,136744441,2022-09-27 14:48:57-07:00,2022-09-27,-122.672159,45.572195,55.0,,13.3,28.3,0.0,5.0,,1012.6,Lacrymaria lacrymabunda,"Piedmont, Portland, OR, USA",1,84QVH8CH+
c9402d8d-f5f0-4cb2-86b1-e119e1c228ee,136234700,2022-09-23 18:15:55-07:00,2022-09-23,-122.8630664645,45.5092235406,59.0,,4.4,22.8,0.0,3.8,,1020.9,Lacrymaria lacrymabunda,"Oregon, US",1,84QVG45P+
4b4f97f8-8ed3-44f3-9334-c0afaa71f843,121509045,2022-06-12 16:41:31-07:00,2022-06-12,-122.6132888794,45.4529647827,49.0,,11.7,16.1,1.3,13.3,,1012.0,Lacrymaria lacrymabunda,Milwaukie,1,84QVF93P+
63ffa71f-b4db-42fa-b72b-35e9aeb392c5,97402609,2021-10-06 15:05:00-07:00,2021-10-06,-122.8397963614,45.4987876903,70.0,,6.7,14.4,,9.3,,1019.9,Lacrymaria lacrymabunda,"Cooper Mountain - Aloha North, Beaverton, OR, USA",1,84QVF5X6+
88d1f35b-17a6-4127-8c59-c32edc15ea1b,97102888,2021-09-29 15:28:30-07:00,2021-09-29,-122.6492861286,45.5602944845,71.0,,10.0,20.0,0.0,11.2,,1020.4,Lacrymaria lacrymabunda,"NE 15th & Sumner, Portland, OR 97211, USA",1,84QVH962+
fb93afed-0692-40c4-b2cf-ca6dfb3c2e2c,92270541,2021-08-23 11:54:35-07:00,2021-08-23,-122.7928390503,45.4018135071,53.0,,8.3,23.3,0.0,8.0,,1016.1,Lacrymaria lacrymabunda,Portland,1,84QVC624+
12b02342-a24e-4e68-a83f-0c6824c24818,77555592,2021-05-05 17:34:29-07:00,2021-05-05,-122.8312637758,45.5027024827,78.0,,4.4,27.2,0.0,4.1,,1014.4,Lacrymaria lacrymabunda,"Beaverton, OR, US",1,84QVG539+
39cf50f1-e773-4062-bd4c-33952286e4f3,77091166,2021-05-03 09:06:00-05:00,2021-05-03,-122.9261555556,45.300525,96.0,,8.3,17.2,0.9,4.3,,1023.0,Lacrymaria lacrymabunda,"Newberg, OR 97132, USA",1,84QV832F+
8334bf9f-636a-4420-9a2c-3dd86f0cd85b,62691907,2020-05-21,2020-05-21,-122.7777555585,45.4351901631,54.0,,8.9,14.4,,9.0,,1018.4,Lacrymaria lacrymabunda,"Bull Mountain, Tigard, OR, USA",1,84QVC6PC+
4c827aee-9f86-4aac-b08f-dc6f1a479d23,25989679,2018-08-08,2018-08-08,-122.655,45.5425,54.0,,17.8,35.0,0.0,6.5,,1011.8,Lacrymaria lacrymabunda,"Portland, Multnomah Co., Oregon, USA",1,84QVG8VW+
