uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
afcc7cb1-2b5a-4488-9149-b16da390d352,387096360,2026-07-29 13:14:28-06:00,2026-07-29,-107.7703333333,37.7104033333,3194.0,,12.0,25.0,10.3,4.2,,,Lactarius badiosanguineus,"San Juan National Forest - Headquarters, Silverton, CO, US",1
93863d61-1c99-4b33-a724-febdf1b9b9e9,382705652,2026-07-18 11:02:25-06:00,2026-07-18,-104.9770984354,38.7977606542,3548.0,,20.3,29.6,0.0,4.5,,,Lactarius badiosanguineus,"Colorado, US",1
a33a3592-8746-4eff-bb1a-4b2abf0c3d15,382094769,2026-07-15 10:36:00-06:00,2026-07-15,-105.8179904415,35.7933071774,3023.0,,17.2,29.4,0.9,9.7,,,Lactarius badiosanguineus,"New Mexico, US",2
036e4106-4651-49db-a7eb-80c0e4ed5acb,326835952,2025-08-15 11:13:28-06:00,2025-08-15,-105.0984111667,38.8840133333,3222.0,,14.6,31.8,0.0,13.0,,1010.9,Lactarius badiosanguineus,"Pike and San Isabel National Forests, Woodland Park, CO, US",1
52b15c17-8e5a-436d-9696-c4d4e8f1cc06,321300256,2025-10-05 11:39:06-06:00,2025-10-05,-105.5834883333,39.9850916667,3031.0,,-6.7,3.0,6.8,15.6,,1014.3,Lactarius badiosanguineus,"Nederland, CO, US",4
8c0041f3-e7bf-42fc-a21a-6869a1e8dea5,311356029,2025-08-20 11:53:40-06:00,2025-08-20,-105.7865099609,39.8099399602,3399.0,,0.7,16.0,0.0,12.5,,1024.8,Lactarius badiosanguineus,"Winter Park, CO 80482, USA",1
537df841-5867-4723-b797-672b8a7078b5,310296746,2025-08-30 10:39:20-06:00,2025-08-30,-105.4997323997,39.6909514,3162.0,,-1.4,7.2,1.5,11.0,,1025.0,Lactarius badiosanguineus,"Idaho Springs, CO 80452, USA",1
7b4b1b60-36fe-49c7-8633-f50ad1227d2a,309417523,2025-08-26 14:59:44-06:00,2025-08-26,-104.94339052,38.73730247,3027.0,,13.0,15.0,3.2,9.6,,1027.7,Lactarius badiosanguineus,"Teller County, US-CO, US",1
ae74497f-a6f2-4b05-b325-5e0da1aaa0ef,309414397,2025-08-26 14:32:29-06:00,2025-08-26,-104.9498006,38.7419258997,3052.0,,13.0,15.0,3.2,9.6,,1027.7,Lactarius badiosanguineus,"Manitou Springs, CO 80829, USA",1
9d23003a-f1b7-4b8e-88b5-208b36f03496,308895666,2025-08-24 12:35:14-06:00,2025-08-24,-105.1199583333,38.8709716667,3105.0,,14.0,24.0,0.8,9.7,,1026.2,Lactarius badiosanguineus,"Pike and San Isabel National Forests, Cripple Creek, CO, US",1
e48a6284-cb56-4431-bf68-9e6a8df1828b,307717585,2025-08-16 11:46:49-06:00,2025-08-16,-107.8487866667,37.7955166667,3300.0,,11.0,21.0,2.7,5.8,,1032.0,Lactarius badiosanguineus,"Ophir, CO, US",1
00f8cf84-7f47-4d15-a749-fc2b1f368664,307365900,2025-08-16 11:03:58-06:00,2025-08-16,-107.8481472222,37.7953333333,3300.0,,11.0,21.0,2.7,5.8,,1032.0,Lactarius badiosanguineus,"Ophir, CO 81426, USA",2
cf1e3597-4a7a-49fc-9e99-8bb8334838d7,305372318,2025-08-08 18:51:56-06:00,2025-08-08,-105.6629537545,39.8811501138,3455.0,,5.0,14.7,0.0,18.7,,1017.0,Lactarius badiosanguineus,"Colorado, US",2
ce9c6ad4-aae4-4dd5-b332-1d9bb8ace0a5,304592568,2025-08-06 14:20:19-06:00,2025-08-06,-105.0348979701,39.0999560479,2823.0,,16.4,33.9,0.0,15.0,,1015.4,Lactarius badiosanguineus,"Teller County, US-CO, US",2
288a319c-b49e-42a1-8e08-57c73256f31d,304592540,2025-08-06 14:18:48-06:00,2025-08-06,-105.0348979701,39.0999560479,2823.0,,16.4,33.9,0.0,15.0,,1015.4,Lactarius badiosanguineus,"Teller County, US-CO, US",2
fb6b0642-ffae-4e77-a08a-4bdf8e0fb543,301720822,2025-07-27 12:09:33-06:00,2025-07-27,-105.0905150731,38.071757573,2719.0,,18.0,37.0,0.0,8.5,,1012.2,Lactarius badiosanguineus,"Colorado, US",1
