uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
b2dc63b2-7604-4f79-97d9-508bfbf8fc31,388639700,2026-08-05 11:15:44-06:00,2026-08-05,-105.7192692997,39.6082991,3389.0,,5.0,16.0,0.0,18.5,,,Lactarius olympianus,"Dillon, CO 80435, USA",1,
641130d6-9639-4c13-8d9a-60865af79a72,310696449,2025-08-31 17:41:33-06:00,2025-08-31,-107.0356722032,38.8805254106,3208.0,,4.0,24.0,0.0,5.3,,1031.2,Lactarius olympianus,"Gunnison County, US-CO, US",1,
fb58b9f6-48be-490e-a58b-1d7aec6743b0,307799408,2025-08-20 12:35:41-06:00,2025-08-20,-105.7811782997,39.8096966,3330.0,,0.7,16.0,0.0,12.5,,1024.8,Lactarius olympianus,"Winter Park, CO 80482, USA",1,
872a5435-f929-4ee0-ba6f-5dbffd4d6e28,239873841,2024-09-04 11:16:00-06:00,2024-09-04,-105.7872482389,39.8094526741,3399.0,,0.9,12.8,6.8,9.1,,1025.2,Lactarius olympianus,"Winter Park, CO 80482, USA",2,
805ec0fc-7fa8-463c-a9d7-db74eac9904b,393693443,2026-08-16 11:25:05-06:00,2026-08-16,-105.9221962094,39.678211443,3760.0,,4.0,11.0,1.8,7.2,,,Lactarius olympianus,"Dillon, CO 80435, USA",2,
1cc21414-c112-459a-b077-0947e99929f5,183798750,2023-09-17 15:45:31-06:00,2023-09-17,-105.961780488,39.6045212226,2825.0,,-0.6,10.4,0.0,10.6,,1022.6,Lactarius olympianus,"Colorado, US",1,
7f6ee0a2-aef1-4c32-b25d-122c99cbe21c,182124589,2023-09-06 13:23:24-06:00,2023-09-06,-105.7329478646,39.8220456167,3581.0,,-1.1,14.3,0.0,14.7,,1020.1,Lactarius olympianus,"Colorado, US",1,
19af68c7-e6b7-43e2-934a-05c04617ed20,180769226,2023-08-27 09:57:26-06:00,2023-08-27,-106.2485583333,39.5310033333,3503.0,,10.0,18.0,2.5,11.3,,1040.6,Lactarius olympianus,"White River National Forest, Frisco, CO, US",2,
61b474f6-2aa3-4ab6-bc54-23f372dee4fe,178801302,2023-08-16 14:29:35-06:00,2023-08-16,-107.8351505423,37.8993777646,3397.0,,12.0,26.0,7.0,6.9,,1034.9,Lactarius olympianus,"Colorado, US",1,
584656b9-fa0c-48bd-8306-da5410cdfa04,178115583,2023-08-12 21:43:28-06:00,2023-08-12,-105.5355901464,40.0321431546,2911.0,,17.0,28.0,0.0,8.5,,1019.7,Lactarius olympianus,"County Road 116, Ward, CO, US",5,
