uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
16af21c5-fd60-4618-b13e-280a6b1b9044,321286328,2025-08-29 12:00:12-06:00,2025-08-29,-105.776141882,39.8224875145,3341.0,,-0.8,10.0,4.8,10.1,,1023.3,Lactarius repraesentaneus,"Winter Park, CO, US",1,
b5c0ec02-8e15-411c-934d-17e3010ef891,309154075,2025-08-25 20:13:28-06:00,2025-08-25,-105.7784823587,39.8185812673,3515.0,,0.9,11.3,8.4,9.3,,1023.9,Lactarius repraesentaneus,"Winter Park, CO, US",1,
48e94b55-b53e-47e6-90cb-82da4908228a,308512268,2025-08-22 12:34:59-06:00,2025-08-22,-104.9605633333,38.7599333333,3157.0,,16.0,28.0,1.1,18.0,,1027.6,Lactarius repraesentaneus,"Forest Service Road 379, Victor, CO, US",3,
9cf01ecf-6841-4dd3-ad47-55b865d583f2,308292660,2025-08-19 18:41:24-06:00,2025-08-19,-105.5045211858,39.6439024748,2559.0,,5.0,13.0,0.0,10.9,,1025.7,Lactarius repraesentaneus,"Colorado, US",1,
77dd1382-cbbf-45bf-b67c-daf3427a41da,239648830,2024-09-02 13:40:20-06:00,2024-09-02,-105.5052193254,40.0911279331,2844.0,,13.0,32.0,,6.1,,,Lactarius repraesentaneus,"Ward, CO 80481, USA",1,
8d860499-5794-471d-8086-f108aa029ad7,237965012,2024-08-25 13:41:19-06:00,2024-08-25,-105.5560428,40.0696805997,3239.0,,15.0,31.0,0.2,6.2,,1015.3,Lactarius repraesentaneus,"Nederland, CO 80466, USA",1,
d5a1a752-d978-4e31-91af-7ff50d61aae8,236400652,2024-08-16 15:11:06-06:00,2024-08-16,-105.8027006527,35.800927359,3288.0,,16.7,34.4,,11.2,,1012.5,Lactarius repraesentaneus,"Santa Fe National Forest, Tererro, NM, US",2,
1ea9321b-b8e4-4a9e-a524-48fe0ea79aee,231976157,2024-07-26 22:14:32-06:00,2024-07-26,-104.9146651104,38.7834477237,2453.0,,19.0,30.0,0.5,12.4,,1022.3,Lactarius repraesentaneus,"Colorado, US",1,
5c882891-9fe8-4207-a9d0-d7f45e50b7ad,178113216,2023-08-12 13:51:35-06:00,2023-08-12,-105.57692,40.0472666667,3327.0,,7.6,22.4,1.2,6.2,,1029.1,Lactarius repraesentaneus,"Ward, CO, US",2,
92358c14-8632-4ad0-8dc5-8b2d04d7b465,178075776,2023-08-12 13:43:40-06:00,2023-08-12,-105.5763659746,40.0472765886,3327.0,,7.6,22.4,1.2,6.2,,1029.1,Lactarius repraesentaneus,"Boulder County, US-CO, US",3,
810e6c31-7780-45fe-87e6-b70ee0ece8fd,135789753,2022-09-17 12:52:08-06:00,2022-09-17,-105.573429,40.0435259722,3282.0,,12.0,26.0,1.7,7.1,,1015.2,Lactarius repraesentaneus,"Boulder County, US-CO, US",5,
20bdbabd-b001-4330-9f27-297201749739,134256653,2022-09-08 09:58:23-06:00,2022-09-08,-105.7096388889,39.6336416667,3176.0,,3.6,16.6,2.9,7.2,,1017.6,Lactarius repraesentaneus,"Idaho Springs, CO 80452, USA",2,
5cf45bc9-55fb-4876-83d1-86c3bd59f715,132889536,2022-08-29 12:45:13-06:00,2022-08-29,-105.5710943227,40.0418271238,3275.0,,15.0,30.0,0.0,4.4,,1021.5,Lactarius repraesentaneus,"Boulder County, US-CO, US",6,
03708a70-e0f9-4570-a5b1-39baa50586bd,132723418,2022-08-28 14:53:14-06:00,2022-08-28,-106.1483305,39.4381366667,3413.0,,2.8,17.8,,10.1,,1012.7,Lactarius repraesentaneus,"White River National Forest, Breckenridge, CO, US",1,
f79e5717-1742-43af-9c71-432f36cf51ca,132217212,2022-08-24 10:52:38-06:00,2022-08-24,-105.7694381,39.828169,3198.0,,0.8,12.1,2.9,6.2,,1022.5,Lactarius repraesentaneus,"Winter Park, CO 80482, USA",1,
28d05167-25bc-4810-86bb-3ee4efed0201,94470218,2021-09-11 10:48:42+00:00,2021-09-11,-105.0148777778,38.7618833333,3246.0,,17.4,36.0,0.0,15.1,,1013.1,Lactarius repraesentaneus,"Cascade, CO 80809, USA",2,
94b125fa-b632-462c-90a4-e0c74451234e,93779819,2021-09-05 12:46:49+00:00,2021-09-05,-105.78603067,39.80962604,3399.0,,2.2,24.0,0.0,8.3,,1028.6,Lactarius repraesentaneus,"Winter Park, CO 80482, USA",1,
ae0d4601-0dee-4fd8-8c37-64f68a289192,91342456,2021-08-15 13:46:10-06:00,2021-08-15,-105.87078922,39.63064293,3567.0,,12.0,18.0,2.1,15.5,,1040.3,Lactarius repraesentaneus,"Summit County, US-CO, US",1,
e486ab0f-c646-42b0-a423-0134845adfbb,242695660,2024-09-18 11:26:16-07:00,2024-09-18,-121.7523633333,45.3094416667,1248.0,,13.5,21.8,0.0,13.5,,1013.5,Lactarius repraesentaneus,"Mt. Hood Park Division Recreation Area, Government Camp, OR, US",1,
eb3a6229-ce5f-4467-8506-b1c33cd89725,94682692,2021-09-12 13:57:00-07:00,2021-09-12,-121.6658892026,45.3615837444,1972.0,,15.0,28.3,0.0,18.8,,1016.4,Lactarius repraesentaneus,"Oregon, US",1,
1f550b60-cbc7-41e6-850a-29d5807e5201,244086912,2024-09-22 11:47:37-07:00,2024-09-22,-121.8720783333,44.5698716667,1223.0,,,,,,,,Lactarius repraesentaneus,"Willamette National Forest, Idanha, OR, US",1,84PWH49H+
