uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
2334df47-70dd-42f2-8d3d-3a5c0656a96b,380500405,2026-07-11 11:10:01-06:00,2026-07-11,-105.7988883333,35.7933666667,3198.0,,18.9,33.9,0.0,11.7,,,Lactarius rufus,"NM-475, Tererro, NM, US",1
2d9acf1a-0c92-44cc-91a3-b732c48f608f,378511344,2026-06-30 13:23:00-06:00,2026-06-30,-105.9871404732,35.6362857962,2047.0,,15.6,31.1,0.0,10.7,,,Lactarius rufus,"New Mexico, US",1
ac359696-6ad3-42ea-9dc0-00eb5df0aa04,327562233,2025-09-13,2024-07-23,-103.6258906871,44.0482673082,1640.0,,12.2,30.0,0.0,7.8,,1016.9,Lactarius rufus,"Rochford, SD 57745, USA",2
34c1cdb5-d455-42e9-9178-885dcbd7fb6c,315935850,2025-09-22 12:39:14-06:00,2025-09-22,-105.8079574246,39.4833078813,3015.0,,-2.6,8.6,4.3,11.7,,1017.1,Lactarius rufus,"Park County, US-CO, US",2
6734435b-b870-4df7-ac7c-0ef5ed4f3c33,314258555,2025-09-07 11:45:00-06:00,2025-09-07,-105.38371509,36.5654028517,3311.0,,3.0,22.0,0.3,13.5,,1031.1,Lactarius rufus,"Taos County, NM, USA",1
3cb9286d-43a8-47f1-99a5-f9b629b464a6,239874413,2024-09-04 11:34:29-06:00,2024-09-04,-105.7874898,39.8095161,3399.0,,0.9,12.8,6.8,9.1,,1025.2,Lactarius rufus,"Winter Park, CO 80482, USA",1
4c35c994-beff-4df4-93f3-94dd82eae020,182957393,2023-09-02 16:07:46-06:00,2023-09-02,-106.324555,41.33127,3202.0,,10.0,27.0,0.0,18.6,,1027.0,Lactarius rufus,"WY-130, Encampment, WY, US",1
223f3355-94a4-4ccd-b5c1-e1b38bd99572,181152313,2023-08-31 13:14:52-06:00,2023-08-31,-105.648545,40.3120083333,2949.0,,5.8,27.1,0.0,6.6,,1025.6,Lactarius rufus,"Rocky Mountain National Park, Estes Park, CO, US",1
112bc5ba-b650-403d-a71c-89558727bf94,181140477,2023-08-31 14:33:54-06:00,2023-08-31,-105.6517866667,39.898845,2854.0,,3.4,15.8,0.6,12.1,,1016.6,Lactarius rufus,"S Boulder Creek, Black Hawk, CO, US",1
9b63fe03-2742-4045-9dc6-dd53ae5e9138,181105327,2023-08-30 12:40:00-06:00,2023-08-30,-105.0595936647,37.9230426382,3390.0,,11.9,31.5,0.0,15.8,,1014.2,Lactarius rufus,"Custer County, CO, USA",1
51774019-6d0e-4566-b6fd-e654660282ec,180076780,2023-08-24 15:23:00-06:00,2023-08-24,-105.7570798945,39.8325907489,2965.0,,5.2,13.6,16.3,7.5,,1022.4,Lactarius rufus,"Grand County, CO, USA",1
6c7bca99-024e-45cf-831b-c7bf1690fb31,134100940,2022-08-28,2022-08-28,-106.4137,39.2682,3138.0,,2.8,17.8,,10.1,,1012.7,Lactarius rufus,"Colorado. Lake Co., San Isabel National Forest, CR 4, south side of Turquoise Lake.",1
6cb27389-25f8-4709-9a38-0a100c4a872d,243376418,2024-09-20 14:14:58-07:00,2024-09-20,-121.681755,45.272245,1157.0,,10.8,19.5,0.0,16.6,,1017.7,Lactarius rufus,"Mt. Hood Park Division Recreation Area, Mount Hood Parkdale, OR, US",1
3680c409-d39a-4516-9fc7-7b7dab77c810,139167672,2022-10-15 16:23:47-07:00,2022-10-15,-121.7365204956,45.2793208014,1121.0,,10.2,24.3,0.0,5.6,,1016.2,Lactarius rufus,"Mt. Hood Park Division Recreation Area, Government Camp, OR, US",2
e4e975b6-e887-47c0-9c8a-57d09ffbf96b,136460737,2022-09-25 10:55:40-07:00,2022-09-25,-121.6221715963,45.3187586341,1324.0,,12.3,28.2,0.0,5.4,,1020.4,Lactarius rufus,"Mt. Hood Park Division Recreation Area, Mount Hood Parkdale, OR, US",1
4167d00f-729c-4b21-92d9-879729a8832d,136363758,2022-09-24 08:00:12-07:00,2022-09-24,-121.6040033333,45.414075,1181.0,,9.7,26.5,0.0,3.8,,1021.1,Lactarius rufus,"Mt. Hood National Forest, Mount Hood Parkdale, OR, US",1
