uuid,inat_id,timestamp,date,lon,lat,olc,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
50290968-b973-48a1-bd68-7a93cedd168a,394405656,2026-08-12 17:24:51-07:00,2026-08-12,-121.8564732194,45.4883800718,84QWF4QV+,1310.0,,17.0,27.0,0.0,2.4,,,Laetiporus conifericola,"Hood River County, US-OR, US",1
90654c67-5f80-45df-82c1-99b8478cc9e3,384614439,2013-10-11 11:08:00-07:00,2013-10-11,-122.0903631,45.5309522,84QVGWJ5+,1212.0,,9.4,14.4,0.0,0.7,,1019.7,Laetiporus conifericola,"Larch Mountain, Oregon 97014, USA",1
570df1ef-a318-4c0b-ac1a-69d50703660d,384032896,2026-07-22 09:35:44-07:00,2026-07-22,-121.837890625,45.3816642761,84QW95J6+,734.0,,17.0,36.0,0.2,1.9,,1011.0,Laetiporus conifericola,"Clackamas County, US-OR, US",1
7d5ab95a-bba5-4a3e-bf19-c9828c74f395,370831074,2025-09-18 11:15:18-07:00,2025-09-18,-122.11345,45.5529966667,84QVHV3P+,714.0,,14.0,26.0,0.0,4.5,,1016.0,Laetiporus conifericola,"Corbett, OR, US",1
bea34b32-d74b-43c3-adf6-1aed669625ea,343700401,2025-09-06 11:19:45-07:00,2025-09-06,-121.7621593337,45.3656472303,84QW968Q+,1447.0,,17.7,27.5,0.0,10.0,,1011.6,Laetiporus conifericola,"Pacific Crest Trail, Government Camp, OR, US",2
b2c2bca2-cb8e-470a-9490-017d1ba417bb,343676826,2025-08-31 15:12:41-07:00,2025-08-31,-121.6911866667,45.2275966667,84QW68H5+,1295.0,,,,,,,,Laetiporus conifericola,"Wasco County, US-OR, US",1
d17cec4e-528b-4391-bc9b-84a27a0a7398,332101287,2025-09-24 10:00:42-07:00,2025-09-24,-121.7550334842,45.3459918543,84QW86WV+,1635.0,,7.0,30.0,0.0,1.5,,1016.7,Laetiporus conifericola,"Pacific Crest Trail, Rhododendron, OR, US",1
92663702-becb-420c-9d0e-bd5753fe892a,328161800,2015-09-27,2015-09-27,-121.8170838932,45.6488637047,84QWJ5XM+,464.0,,5.6,22.2,0.0,4.3,,1018.6,Laetiporus conifericola,"Hood River County, OR, USA",1
2a3cbbaf-caba-4b25-919b-99c97f3b653f,326389457,2025-11-08 12:38:07-08:00,2025-11-08,-121.842955,45.53638,84QWG5P4+,1307.0,,2.0,11.0,0.0,1.0,,1025.4,Laetiporus conifericola,"Pacific Crest Trail, Cascade Locks, OR, US",1
86163ca9-77f6-45cb-9a46-729e1cf34d7a,325636542,2025-11-08 09:59:51-08:00,2025-11-08,-122.0958945,45.3263866667,84QV8WG3+,829.0,,4.0,14.3,0.0,25.5,,1020.7,Laetiporus conifericola,"Sandy, OR, US",1
684ff4e6-9754-4cf6-8211-c976a6f342f2,323464933,2025-10-08,2025-10-08,-122.177143,45.520642,84QVGRCF+,501.0,,11.7,16.1,0.0,3.0,,1010.8,Laetiporus conifericola,"Multnomah County, US-OR, US",2
9c358490-b4e0-4c18-b8b2-8e0cf74de145,322998899,2025-10-23 13:52:54-07:00,2025-10-23,-121.640872772,45.3065626205,84QW8945+,1491.0,,7.0,17.0,0.0,0.9,,1019.9,Laetiporus conifericola,"Mount Hood Parkdale, OR, US",1
3db64477-d639-4d1a-92f9-6bf77355a8d9,321763293,2025-10-16 16:37:39-07:00,2025-10-16,-122.1197055,45.4032216667,84QVCV3J+,350.0,,4.0,17.0,0.0,2.2,,1022.5,Laetiporus conifericola,"Audubon Society Of Portland Sanctuaries, Sandy, OR, US",1
5cc72f5f-f646-4c3a-89f3-ef7eb36f2615,321171787,2025-10-15 16:29:55-07:00,2025-10-15,-121.8171921372,45.4986764339,84QWF5XM+,1012.0,,0.0,17.0,0.0,1.5,,1019.6,Laetiporus conifericola,"Hood River County, US-OR, US",1
