uuid,inat_id,timestamp,date,lon,lat,olc,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
ef2f5181-2a7b-4651-aa4b-a14f9ab527ce,307172705,2025-08-17 15:23:00-07:00,2025-08-17,-122.2270039224,45.3076805573,84QV8Q5F+,370.0,,16.1,25.6,0.0,2.7,,1015.7,Laetiporus gilbertsonii,"Clackamas County, OR, USA",3
b8aa0a71-08b3-4856-bfd6-a9da4e6a5363,30967712,2019-08-16 14:48:02-07:00,2019-08-16,-122.2906298564,45.3217194044,84QV8PC5+,247.0,,16.1,24.4,0.0,7.3,,1019.8,Laetiporus gilbertsonii,"Clackamas County, US-OR, US",1
bdc27ec7-e024-4706-a74d-be9d29fe93f6,325225114,2025-10-28 10:09:57-07:00,2025-10-28,-122.6436783333,45.5152033333,84QVG984+,43.0,,7.0,14.0,0.3,14.1,,1022.6,Laetiporus gilbertsonii,"SE Taylor St, Portland, OR, US",2
91306b35-5e9f-42f3-b782-4f7eea5b04b7,320335029,2025-10-11 13:38:48-07:00,2025-10-11,-122.6372375488,45.5197677612,84QVG997+,49.0,,11.0,14.0,0.9,8.7,,1014.1,Laetiporus gilbertsonii,Portland,1
6ff24db4-4b80-420a-9e93-d7fa2e955514,318320162,2025-10-02 18:51:09-07:00,2025-10-02,-122.6647068189,45.5427615485,84QVG8VP+,59.0,,12.0,18.0,0.4,8.5,,1017.5,Laetiporus gilbertsonii,"NE Graham St, Portland, OR, US",1
735390cb-ad64-4a60-87e1-5e6fe1b121b4,316189177,2025-09-23 18:30:49-07:00,2025-09-23,-122.589012146,45.5521888733,84QVHC26+,64.0,,12.0,31.0,0.0,8.2,,1015.8,Laetiporus gilbertsonii,"Multnomah County, US-OR, US",1
0318e76c-e2e3-4d2b-8cc9-26bd8c3ef255,244218902,2024-09-26 16:27:28-07:00,2024-09-26,-122.5864734036,45.4788983195,84QVFCH7+,77.0,,11.1,22.2,0.0,7.2,,1016.5,Laetiporus gilbertsonii,"SE Martins St, Portland, OR, US",3
398164c0-0adb-41e3-be1e-099e02f2333c,239449541,2024-09-02 11:39:15-07:00,2024-09-02,-122.5634693542,45.4802634381,84QVFCJP+,64.0,,15.6,21.1,0.8,5.4,,1015.7,Laetiporus gilbertsonii,"SE Ramona St, Portland, OR, US",2
e67d46c1-de4d-410b-93f1-9467658a9bf7,195407349,2023-09-04 12:55:04-07:00,2023-09-04,-122.6205291715,45.5513951252,84QVH92H+,81.0,,15.0,20.0,0.0,5.4,,1018.0,Laetiporus gilbertsonii,"NE 42nd Ave, Portland, OR, US",1
6bcab7c0-0730-4102-8106-d1176c13c543,190886852,2023-09-22 19:04:04-07:00,2023-09-22,-122.6417440921,45.4711390238,84QVF9C5+,19.0,,10.6,26.1,0.0,6.8,,1015.0,Laetiporus gilbertsonii,"Location: 45.471139, -122.641744",1
b55ecc6b-bd84-4140-bf0b-c0c3a78e799e,189013719,2023-10-23 15:28:00-07:00,2023-10-23,-121.3179583333,45.7142972222,84QWPM7J+,156.0,,11.7,16.7,0.0,28.0,,1014.3,Laetiporus gilbertsonii,"Klickitat County, WA, USA",1
d5b005c9-bcac-45f7-8bc9-ef19a90d84ff,187785881,2023-10-16 01:20:01-07:00,2023-10-16,-122.8853683333,45.2522580556,84QV7427+,29.0,,11.7,20.6,11.3,11.0,,1015.5,Laetiporus gilbertsonii,"St Paul, OR 97137, USA",1
91f8f2d1-3497-4da0-b03e-74cf4f306954,156817794,2022-11-16 11:57:54-08:00,2022-11-16,-122.6617911711,45.4171898122,84QVC88Q+,26.0,,0.6,8.3,0.0,15.5,,1032.8,Laetiporus gilbertsonii,"Oregon, US",1
8b339930-de13-4c25-8365-c9ebff3ede91,141800567,2022-11-12 09:39:17-08:00,2022-11-12,-122.4012655321,45.5241808268,84QVGHFX+,99.0,,2.2,11.1,0.0,15.9,,1023.1,Laetiporus gilbertsonii,"Oregon, US",1
abc40a0e-a62b-4ee3-b733-927114ded96a,137679400,2022-10-04 18:44:06-07:00,2022-10-04,-122.6074666667,45.5422333333,84QVG9RV+,80.0,,13.3,20.0,0.0,5.4,,1018.2,Laetiporus gilbertsonii,"NE Alameda St, Portland, OR, US",1
a25d7f97-0139-4e62-8dfe-d82298a8c04f,137597381,2022-10-04 08:13:45-07:00,2022-10-04,-122.762055,45.4740666667,84QVF6FQ+,69.0,,8.9,20.6,0.0,1.2,,1017.9,Laetiporus gilbertsonii,"Portland Golf Club, Portland, OR, US",1
f729aa28-9b30-46a9-870b-35fdf11a3193,137480943,2022-10-03 18:27:09-07:00,2022-10-03,-122.7201903564,45.4339499311,84QVC7MH+,237.0,,12.8,27.8,0.0,4.3,,1016.9,Laetiporus gilbertsonii,"Oregon, US",2
bffc3969-c514-4866-ac9c-d45bcabd566f,136747900,2022-09-27 15:16:38-07:00,2022-09-27,-122.5690083333,45.4779888889,84QVFCHJ+,68.0,,13.9,28.9,0.0,7.2,,1012.2,Laetiporus gilbertsonii,"Lents, Portland, OR, USA",1
cf3821b2-f51a-4f03-8c5e-d99a58543ddb,135856584,2022-09-16 16:35:28-07:00,2022-09-16,-122.6064533333,45.5314633333,84QVG9JV+,75.0,,13.9,21.1,0.0,8.6,,1018.8,Laetiporus gilbertsonii,"Normandale Park, Portland, OR, US",1
23c15a5d-36af-4c7d-ab17-b9b765c957a1,105146243,2022-01-16 14:12:57-08:00,2022-01-16,-122.6969449595,45.5733749068,84QVH8F3+,50.0,,3.3,6.1,0.0,1.7,,1023.3,Laetiporus gilbertsonii,"Arbor Lodge, Portland, OR 97217, USA",1
d51e7e7f-b919-41f6-aecf-aae286e33cea,102332281,2021-12-01 17:22:46-10:00,2021-12-01,-122.7418366667,45.5893833333,84QVH7Q5+,44.0,,7.8,16.1,0.0,2.8,,1023.4,Laetiporus gilbertsonii,"N Calhoun Ave, Portland, OR, US",1
