uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
1905eace-252b-4ed5-9e1b-d48a9bd075d9,326696097,2025-11-15 14:07:35-08:00,2025-11-15,-121.5140924847,45.7157485818,27.0,,7.0,16.0,0.1,2.2,,1013.7,Leccinum scabrum,"Portway Ave, Hood River, OR, US",1,
f8f178b2-b1d6-477d-8d64-6868dea9c3f0,188938431,2023-10-25 09:31:07-07:00,2023-10-25,-121.5199583333,45.7021166667,147.0,,4.1,9.0,15.0,6.4,,1011.8,Leccinum scabrum,"Columbia River Gorge National Scenic Area, Hood River, OR, US",1,
eb70f1b4-fc25-4266-bd6b-3f71d6b76f82,186000815,2023-10-02 14:32:27-07:00,2023-10-02,-122.176803,45.3686879722,388.0,,10.6,16.1,,5.1,,1018.0,Leccinum scabrum,"Bigfoot RV Park, Oregon 97055, USA",1,
5775f29e-bca9-4db4-a920-3a75eecf346d,329084897,2025-11-15 09:08:33-08:00,2025-11-15,-122.3470916667,45.5172366667,42.0,,9.0,16.0,1.1,5.4,,1013.2,Leccinum scabrum,"Historic Columbia River Hwy, Troutdale, OR, US",1,84QVGM83+
ea8d4606-98cf-432c-8cbc-87c5425d7e1d,331606846,2025-12-21 13:04:03-08:00,2025-12-21,-122.861827576,45.5179257222,64.0,,2.8,6.7,0.3,1.9,,,Leccinum scabrum,"Oregon, US",1,84QVG49Q+
21e98f42-8816-4768-aca2-cde98ab45413,326574100,2025-11-14 15:09:47-08:00,2025-11-14,-122.6966873955,45.2978921325,30.0,,9.0,15.0,0.9,11.5,,1012.9,Leccinum scabrum,"Oregon, US",1,84QV78X3+
79874f77-bb94-40d3-be7a-a67a8fedfff1,326486122,2025-11-14 08:33:24-08:00,2025-11-14,-122.6311888889,45.5150694444,48.0,,11.0,16.0,3.3,14.7,,1012.4,Leccinum scabrum,"SE Belmont & 34th, Portland, OR 97214, USA",1,84QVG989+
5c33abb8-d237-47ed-8d3c-17899b9b6401,325807164,2025-10-31 11:41:16-07:00,2025-10-31,-122.5184996707,45.5348871462,86.0,,10.0,15.0,0.1,18.1,,1018.6,Leccinum scabrum,"NE 141st Ave, Portland, OR, US",1,84QVGFMJ+
bfc8a435-89eb-470a-84bd-66a1d9e386f3,324886111,2025-11-04 08:05:27-08:00,2025-11-04,-122.6602803171,45.5955021531,8.0,,8.0,13.0,0.3,9.7,,1011.6,Leccinum scabrum,"Columbia Children's Arboretum, Portland, OR, US",1,84QVH8WQ+
f53d2a40-8d5e-453c-a766-94d9d1c23c77,321099805,2025-10-14 17:45:25-07:00,2025-10-14,-122.4294357687,45.6744273767,136.0,,8.0,17.0,0.0,14.4,,1015.4,Leccinum scabrum,United States,2,84QVMHFC+
5425e361-551c-4578-baaf-a3e8deac7808,320151115,2025-10-09 08:15:40-07:00,2025-10-09,-122.6350416667,45.5408366667,51.0,,7.2,16.7,2.0,3.5,,1011.6,Leccinum scabrum,"NE 30th Ave, Portland, OR, US",1,84QVG9R7+
b7f22147-dc61-4c82-b1d5-520a4d1229c2,319780408,2025-10-09 08:34:35-07:00,2025-10-09,-122.6210333333,45.5307583333,61.0,,7.2,16.7,2.0,3.5,,1011.6,Leccinum scabrum,"NE Hassalo St, Portland, OR, US",1,84QVG9JH+
9a5665fb-8b2c-4560-8279-0565a0a6bd87,319161357,2025-10-06 08:55:28-07:00,2025-10-06,-122.6706327034,45.448364175,140.0,,8.0,26.0,0.0,11.9,,1018.8,Leccinum scabrum,"S Palatine Hill Rd, Portland, OR, US",1,84QVC8XH+
017d8dfb-4057-4094-a279-516879261308,318068217,2025-10-01 13:31:42-07:00,2025-10-01,-122.3973368997,45.5144884997,91.0,,11.0,18.0,3.8,6.8,,1012.6,Leccinum scabrum,"Northeast, Gresham, OR, USA",1,84QVGJ73+
c7af8ae0-2286-45b7-928a-781d79903ef7,250493136,2024-11-04 11:30:40-08:00,2024-11-04,-122.8307222222,45.5071666667,61.0,,6.7,14.4,,10.7,,1022.4,Leccinum scabrum,"Beaverton, OR 97006, USA",1,84QVG549+
336bd754-25bf-4f43-a02c-25b6f30341d0,249084957,2024-10-25 15:53:27-07:00,2024-10-25,-122.7908383333,45.4466833333,55.0,,2.8,19.4,,9.9,,1013.0,Leccinum scabrum,"SW Nimbus Ave, Tigard, OR, US",2,84QVC6W5+
2eeea3fb-28b4-4777-be24-99db38c0b636,248694947,2024-10-22 15:35:34-07:00,2024-10-22,-122.66057,45.595495,9.0,,5.0,16.1,0.0,4.3,,1025.8,Leccinum scabrum,"Columbia Children's Arboretum, Portland, OR, US",1,84QVH8WQ+
3007f8a9-d8bb-46af-a4b4-9da0df3a5912,248549553,2024-10-21 16:49:13-07:00,2024-10-21,-122.3905070997,45.5183109,75.0,,10.6,16.1,,6.6,,1018.3,Leccinum scabrum,"Northeast, Gresham, OR, USA",1,84QVGJ95+
bbdd0bfe-17b4-49d4-ac8a-a5afaf2c4907,248463855,2024-10-21 08:54:39-07:00,2024-10-21,-122.6210466667,45.5307583333,61.0,,11.1,16.1,4.6,9.0,,1018.2,Leccinum scabrum,"NE Hassalo St, Portland, OR, US",1,84QVG9JH+
1685b703-b0cd-46d6-94ce-4601679338a1,247471990,2024-10-14 10:27:31-07:00,2024-10-14,-122.3981303997,45.5116761997,105.0,,10.6,23.9,0.0,4.4,,1019.2,Leccinum scabrum,"Northeast, Gresham, OR, USA",1,84QVGJ62+
5ccbd9a7-8a3c-4fcf-961d-87ac5ba33de6,246512168,2024-10-09 11:05:48-07:00,2024-10-09,-122.8318466667,45.50998,61.0,,10.6,20.0,0.0,8.2,,1018.7,Leccinum scabrum,"SW Walker Rd, Beaverton, OR, US",1,84QVG559+
abd3cd1e-5c88-444f-b7c3-eae27cf478fe,246240834,2024-10-07 15:48:34-07:00,2024-10-07,-122.9314834696,45.4638437025,48.0,,6.1,26.7,0.0,1.0,,1015.8,Leccinum scabrum,"Oregon, US",1,84QVF379+
4512bd69-adbb-44c4-a5ff-f6efee4744ed,244541335,2024-09-28 11:30:41-07:00,2024-09-28,-122.7724868519,45.3819282432,40.0,,10.0,23.3,0.0,7.6,,1012.8,Leccinum scabrum,"Kaiser Permanente Tualatin Medical Office, Tualatin, OR, US",1,84QV96JH+
0f6cd0b6-e3a5-4f9d-81ee-0c1eaef2be56,243452107,2024-09-22 14:47:20-07:00,2024-09-22,-122.5358162591,45.7276787649,91.0,,10.0,26.1,0.0,4.4,,1020.1,Leccinum scabrum,United States,1,84QVPFH7+
e71056f2-235f-44a9-9497-ea616be5fbf4,190533482,2023-11-09 10:17:29-08:00,2023-11-09,-122.714163065,45.4314822099,214.0,,2.2,12.2,3.8,9.0,,1021.4,Leccinum scabrum,"Mt. Park, Lake Oswego, OR 97035, USA",1,84QVC7JP+
e53a29bd-78fb-4ee1-9599-3fed88dc508e,189782844,2023-11-02 11:30:36-07:00,2023-11-02,-122.6573694444,45.74685,90.0,,9.4,19.4,,11.4,,1015.6,Leccinum scabrum,"Mt Vista, WA, USA",1,84QVP8WV+
00914e98-22e2-4b1f-a8fb-0ece1a7c0edf,187977801,2023-10-17 09:06:55-07:00,2023-10-17,-122.6213,45.5307283333,61.0,,9.4,18.9,0.0,4.3,,1021.6,Leccinum scabrum,"NE Hassalo St, Portland, OR, US",1,84QVG9JH+
e3064cd4-5540-4cc5-a4f9-a0e1a5a3349f,187701321,2023-10-15 15:15:24-07:00,2023-10-15,-122.5153834,45.75721788,93.0,,11.7,18.9,,2.6,,1018.7,Leccinum scabrum,"Battle Ground, WA, USA",1,84QVQF4M+
9f4124c7-be5d-4fc2-8864-02801078ebe1,187699789,2023-10-15 15:05:25-07:00,2023-10-15,-122.51477139,45.75730348,93.0,,11.7,18.9,,2.6,,1018.7,Leccinum scabrum,"Battle Ground, WA, USA",1,84QVQF4P+
6d449aff-c106-4678-95f7-d286ac502e5c,148154128,2020-10-24 16:30:00-07:00,2020-10-24,-122.7255478716,45.5457196466,114.0,,6.1,10.6,,10.9,,1020.2,Leccinum scabrum,"Oregon, US",1,84QVG7WF+
ab2d7651-ba56-4cc0-9f11-32ef70d4ac0f,141992698,2022-11-14 07:34:59-08:00,2022-11-14,-122.7175121606,45.5819983002,44.0,,-2.2,12.8,0.0,14.2,,1028.7,Leccinum scabrum,"N Girard St, Portland, OR, US",1,84QVH7JJ+
1bb6cfe2-e1a3-4322-bb0d-f583c5b33dd3,136071055,2022-09-22 11:42:27-07:00,2022-09-22,-122.6738966667,45.6077616667,7.0,,11.7,23.3,0.0,4.5,,1019.3,Leccinum scabrum,"Lotus Isle Park, Portland, OR, US",1,84QVJ85G+
356a6b55-16e6-4f89-a1c4-498ad9a79007,101433221,2021-11-18 16:03:00-08:00,2021-11-18,-122.7942341,45.4560756,48.0,,4.4,8.3,,4.8,,1012.5,Leccinum scabrum,"8605 SW Creekside Pl, Beaverton, OR 97008, USA",1,84QVF644+
d971e01d-6e5e-461f-bdaa-10e61816e0ba,96519210,2021-09-28 14:45:04-07:00,2021-09-28,-122.7020013936,45.5052262465,204.0,,11.7,16.1,4.6,12.2,,1018.4,Leccinum scabrum,"Oregon, US",1,84QVG74X+
c8b9b5bd-004f-4935-9e29-e6972f021d9d,66536688,2020-12-12 14:38:49+00:00,2020-12-12,-122.870731912,45.5351900344,68.0,,-0.6,7.2,,8.3,,1020.4,Leccinum scabrum,"Tanasbourne Village, Hillsboro, OR, US",1,84QVG4PH+
18b3c76a-0492-449a-adc6-49b563199a97,61441508,2020-10-01 12:40:00-07:00,2020-10-01,-122.673166,45.465407,75.0,,13.3,25.0,0.0,4.7,,1020.6,Leccinum scabrum,"0300 SW Taylors Ferry Rd, Portland, OR 97219, USA",1,84QVF88G+
0e339ac2-c45e-4518-b55d-76cc3518dfbb,61441055,2020-10-01 13:11:00-07:00,2020-10-01,-122.673166,45.465407,75.0,,13.3,25.0,0.0,4.7,,1020.6,Leccinum scabrum,"0300 SW Taylors Ferry Rd, Portland, OR 97219, USA",1,84QVF88G+
4e3bceb3-619d-4188-b865-58a19f9adb40,60754012,2020-09-25 20:52:57+00:00,2020-09-25,-122.4010643987,45.6050093996,100.0,,13.9,17.2,,10.5,,1012.5,Leccinum scabrum,Camas,1,84QVJH4X+
7d57cd83-c22a-417f-8236-9e6fc1d978cb,60458866,2020-09-22 13:51:31-07:00,2020-09-22,-122.8057914206,45.5887040756,319.0,,16.7,23.3,,4.8,,1015.8,Leccinum scabrum,"Oregon, US",1,84QVH5QV+
37e2b65c-cd40-4abe-9ed3-b110a7837159,60278809,2020-09-19 18:56:35-07:00,2020-09-19,-122.6493654419,45.5436641227,57.0,,14.4,22.2,0.5,6.8,,1018.2,Leccinum scabrum,"1611 NE Stanton St, Portland, OR, US",1,84QVG9V2+
2b364458-663d-4722-9713-06c55c45975d,58779939,2020-09-06 13:59:30-07:00,2020-09-06,-122.5147469722,45.757334,93.0,,11.7,31.7,0.0,6.9,,1021.2,Leccinum scabrum,"Battle Ground, WA, USA",1,84QVQF4P+
c941ab72-ed50-46db-89e2-07642e38c0d5,56998113,2020-08-19 18:21:31-07:00,2020-08-19,-122.514712,45.7573089722,93.0,,15.0,30.0,0.0,4.9,,1014.2,Leccinum scabrum,"Battle Ground, WA, USA",1,84QVQF4P+
dd27163b-1e0a-4588-b75e-fe1a2fb7ae69,34224032,2019-10-05 17:54:00-07:00,2019-10-05,-122.7147916667,45.5118361111,222.0,,6.7,18.9,0.0,4.7,,1028.0,Leccinum scabrum,"Multnomah, Oregon, United States",2,84QVG76P+
7526fde8-1d9e-48a6-a8dd-f954d6774e30,31290414,2019-08-22 07:35:01-07:00,2019-08-22,-122.6369783333,45.7317,93.0,,10.0,22.8,0.0,5.9,,1017.7,Leccinum scabrum,"WSU Entrance Rd, Vancouver, WA, US",2,84QVP9J7+
99005e72-fa7a-4a86-a889-49abe048052a,16830161,2018-09-23 07:49:54-07:00,2018-09-23,-122.8435883333,45.5449716667,71.0,,4.4,20.0,,8.6,,1021.1,Leccinum scabrum,"16270–16282 NW Paisley Dr, Beaverton, OR, US",3,84QVG5V4+
fa1c819f-8e55-44dc-a1ed-4d99201ffd74,16185805,2018-09-02 14:54:04-07:00,2018-09-02,-122.7948133333,45.4831783333,54.0,,6.7,28.3,0.0,9.2,,1017.7,Leccinum scabrum,"5075 SW Griffith Dr, Beaverton, OR, US",1,84QVF6M4+
