uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
9acf32cb-161f-474d-af1b-e99fa2c3807e,312203611,2025-09-06 08:55:33-06:00,2025-09-06,-105.0647239997,39.1955049997,2642.0,,8.0,22.0,0.0,13.7,,1023.9,Lepiota clypeolaria,"Sedalia, CO 80135, USA",2,
c74692a9-a1a3-4c00-817e-8c73bcdb83fc,309800446,2025-08-27 13:30:00-06:00,2025-08-27,-105.79819444,35.80020556,3269.0,,15.0,26.0,1.6,10.3,,1026.5,Lepiota clypeolaria,"Santa Fe, New Mexico, United States",1,
cbec2e6b-9a8f-441d-a8ad-90d9e635e4d6,237931532,2024-08-25 12:08:29-06:00,2024-08-25,-105.8056333333,35.7898966667,3135.0,,14.4,27.8,,17.8,,1019.0,Lepiota clypeolaria,"Santa Fe National Forest, Tererro, NM, US",1,
ce5cb7dd-fd38-424d-843e-607a0f5d5a9e,234224789,2024-08-05 15:25:03-06:00,2024-08-05,-106.6317194211,35.9890626251,2704.0,,18.7,30.4,0.3,9.7,,1027.3,Lepiota clypeolaria,"Sandoval County, US-NM, US",1,
2d16d095-dc00-45e4-8c84-14b2689e6149,15245473,2018-08-08 11:52:51-06:00,2018-08-08,-105.446755,39.67455,2838.0,,15.0,28.0,,5.0,,,Lepiota clypeolaria,"23539–24799 Squaw Pass Rd, Evergreen, CO, US",1,
632c5266-07a3-499c-aed0-05f8f623711e,249692648,2024-10-11 17:36:00-07:00,2024-10-11,-122.2280613685,45.3076863783,413.0,,14.4,21.1,0.0,16.4,,1015.5,Lepiota clypeolaria,"Clackamas County, OR, USA",4,
0cf31288-52b7-4406-8c07-ce0a75544045,251339932,2024-10-24 12:43:30-07:00,2024-10-24,-122.7860055556,45.5782194444,287.0,,3.3,14.4,0.0,3.7,,1025.2,Lepiota clypeolaria,"Linnton, Portland, OR, USA",5,84QVH6H7+
41c9d123-c503-4621-a40e-94037f5facd3,249276085,2024-10-26 11:11:36-07:00,2024-10-26,-121.8774027778,45.8194083333,300.0,,5.7,16.9,0.0,4.4,,1016.6,Lepiota clypeolaria,"Carson, WA 98610, USA",1,84QWR49F+
e2b0580a-84c4-46f4-b96f-14015480e8e4,65980559,2020-10-10 15:14:42-07:00,2020-10-10,-122.7598748333,45.5641999167,178.0,,13.3,17.8,,8.3,,1008.8,Lepiota clypeolaria,"Portland, OR 97210, USA",3,84QVH67R+
4a1d13b2-041c-4d72-a690-e707107033b9,64117859,2020-11-03 09:31:39+00:00,2020-11-03,-122.6572003604,44.8497192474,553.0,,2.8,17.2,1.0,13.7,,1015.8,Lepiota clypeolaria,"Silver Falls State Park, Stayton, OR, US",1,84PVR8XV+
2fd818cc-b1b4-4009-9969-19ee044f2f43,33545385,2019-09-25 12:41:40-07:00,2019-09-25,-122.553339896,45.4297142393,119.0,,12.8,22.8,0.0,6.8,,1023.5,Lepiota clypeolaria,"97015, Happy Valley, OR, US",1,84QVCCHW+
