uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
4f9cfb6d-bffe-4b3b-bf1f-f375f4363dd6,351869493,2025-07-20 10:01:00-06:00,2025-07-20,-103.9426027778,44.3500722222,1596.0,,16.0,26.0,0.0,8.8,,1014.4,Lepiota lilacea,"Lawrence County, SD, USA",1
e1f37abf-1f3e-479b-a901-613469aa63b7,312856238,2025-08-30 18:22:51-06:00,2025-08-30,-104.8128133333,38.8460383333,1846.0,,12.0,21.0,2.4,15.4,,1025.7,Lepiota lilacea,"E Cache la Poudre St, Colorado Springs, CO, US",1
933034cc-1678-4d7e-a751-f3c5cbeca552,309599490,2025-08-27 06:39:37-06:00,2025-08-27,-104.8263068832,38.8626930674,1863.0,,14.4,27.2,5.6,14.7,,1023.7,Lepiota lilacea,"Monument Valley Park Loop, Colorado Springs, CO, US",1
d2e26906-8fb4-47aa-84ac-4d5b619c7e35,309120898,2025-08-25 15:55:38-06:00,2025-08-25,-104.8859329167,39.6640243333,1679.0,,14.4,21.0,12.3,9.3,,1023.7,Lepiota lilacea,"Hampden, Denver, CO, USA",1
30616265-74ad-4a00-8794-4e8c1d31722a,286530345,2025-06-02 10:56:29-06:00,2025-06-02,-104.9318899374,39.7336158271,1629.0,,15.3,25.5,4.0,14.4,,1006.1,Lepiota lilacea,"E Hale Pkwy, Denver, CO, US",1
bdfa3420-ada4-4a51-8ec4-274ba3483ac2,238269161,2024-08-27 10:44:40-06:00,2024-08-27,-106.1967,36.37182,2168.0,,8.9,25.0,,9.3,,1024.8,Lepiota lilacea,"Carson National Forest, La Madera, NM, US",1
4ec4738d-ec31-49ac-b433-9b7653089f04,230158381,2024-07-18 13:49:57-06:00,2024-07-18,-104.960525849,39.7327700274,1646.0,,17.1,29.6,0.8,13.4,,1018.3,Lepiota lilacea,"Denver Botanic Gardens, Denver, CO, US",1
9914a6c6-5836-415f-9cb1-fac8bd366f04,230157666,2024-07-18 13:45:06-06:00,2024-07-18,-104.9602918803,39.7328334251,1646.0,,17.1,29.6,0.8,13.4,,1018.3,Lepiota lilacea,"Denver Botanic Gardens, Denver, CO, US",1
3cc1b5b4-0abb-49ba-bfa2-26b65e3c703f,180859117,2023-08-28 14:06:32-06:00,2023-08-28,-105.2427966667,39.983905,1651.0,,14.0,25.0,2.7,4.6,,1025.9,Lepiota lilacea,"S 45th St, Boulder, CO, US",1
7a1730ee-c1e6-43c6-ba07-00912e769b85,167875662,2023-06-13 17:03:34-06:00,2023-06-13,-105.0453099981,39.5380108508,1663.0,,7.8,15.6,,9.0,,1014.4,Lepiota lilacea,"ROXBOROUGH, CO 80125, USA",2
65c59f50-8475-44e5-ad85-2cf02de6a83e,167566169,2023-06-15 09:58:57-06:00,2023-06-15,-104.8766893215,39.6579103862,1677.0,,12.2,21.1,6.1,12.9,,1008.2,Lepiota lilacea,"Colorado, US",1
2e0832e5-7285-419a-a876-b91094e8a6f9,166839125,2023-06-11 10:08:47-06:00,2023-06-11,-104.9261466667,39.73865,1631.0,,11.4,20.8,10.7,15.1,,1013.5,Lepiota lilacea,"Glencoe St, Denver, CO, US",1
5fcaefcc-8c65-44d3-a313-b1fb2b6fe5bf,166303218,2023-06-08 12:47:08-06:00,2023-06-08,-104.9602416997,39.7311678,1650.0,,12.5,24.5,0.5,9.3,,1011.7,Lepiota lilacea,"Cheesman Park, Denver, CO, USA",1
0a0bcd73-af4e-440e-bda5-06fe766ef17e,165919741,2023-06-06 10:10:25-06:00,2023-06-06,-104.9450836182,39.9285392761,1600.0,,8.0,23.7,0.0,2.2,,1018.5,Lepiota lilacea,Thornton,1
53fde0c0-0c56-4b7e-836b-1a680235da3b,1985784,2015-09-23 17:10:12-06:00,2015-09-23,-104.9731216667,39.6938783333,1625.0,,13.9,26.1,,10.7,,1013.5,Lepiota lilacea,"Denver County, US-CO, US",2
