uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
bf5cfff0-3ed2-4fb6-b3d1-660732f29348,15196163,2018-08-07 08:12:04-06:00,2018-08-07,-104.9117295833,39.6048652669,1718.0,,14.4,28.9,0.0,14.0,,1016.2,Leucocoprinus cepistipes,"6164 S Magnolia Ct, Centennial, CO, US",1,
de617cd1-ef66-4f39-8b10-f88ddea87f45,177575538,2023-08-09 14:31:40-07:00,2023-08-09,-122.1745753661,45.3683096232,394.0,,17.2,28.3,,4.8,,1013.1,Leucocoprinus cepistipes,"Sandy, OR 97055, USA",1,
9fbb449a-6cf6-4021-8f9c-bc77b25d4501,45895461,2020-05-14 11:31:57-07:00,2020-05-14,-121.5324489767,45.6425649196,248.0,,11.1,18.9,1.8,12.4,,1015.0,Leucocoprinus cepistipes,"Hood River, OR, US",1,
ccac6a18-0e85-4532-98c9-e2c70e6b60b3,391280589,2026-08-14 17:51:04-07:00,2026-08-14,-122.66388759,45.56774584,60.0,,16.7,26.1,0.0,4.4,,1014.0,Leucocoprinus cepistipes,"NE M L King & Holman, Portland, OR 97211, USA",2,84QVH89P+
6027145a-512b-4a19-b443-63afa9cc588b,313993757,2025-09-12 10:21:01-07:00,2025-09-12,-122.8373716667,45.51645,67.0,,13.0,23.0,0.0,5.3,,1017.2,Leucocoprinus cepistipes,"Howard M. Terpenning Recreation Complex, Beaverton, OR, US",1,84QVG587+
c30c27c2-3b3d-4c82-8834-d96dfd256d67,241138716,2024-09-10 12:04:30-07:00,2024-09-10,-122.6140133333,45.5059783333,53.0,,15.0,27.2,0.0,7.6,,1012.0,Leucocoprinus cepistipes,"SE 47th Ave, Portland, OR, US",1,84QVG94P+
5f094767-f18d-4df1-8104-69dc35c42836,139572141,2022-10-21 14:48:24-07:00,2022-10-21,-122.7163276076,45.4284114355,193.0,,8.3,13.3,11.4,7.9,,1011.7,Leucocoprinus cepistipes,Mountain Park,1,84QVC7HM+
07f7c78d-612f-4cb6-b234-a3377944d653,138654074,2022-10-13 14:20:54-07:00,2022-10-13,-122.63620766,45.48427826,27.0,,10.0,28.9,0.0,5.0,,1019.1,Leucocoprinus cepistipes,"Reed, Portland, OR 97202, USA",1,84QVF9M7+
d364d6ab-0f94-409f-8b35-dfca9818d01c,133942405,2022-09-06 11:35:17-07:00,2022-09-06,-122.6269833333,45.469425,48.0,,15.0,33.9,0.0,10.4,,1013.9,Leucocoprinus cepistipes,"SE 35th Ave, Portland, OR, US",1,84QVF99F+
41c88769-eee1-435f-9607-3847dd95425a,60480669,2019-10-26 14:46:25-07:00,2019-10-26,-122.614615,44.80642,365.0,,2.2,13.3,0.0,7.9,,1026.6,Leucocoprinus cepistipes,"Stayton, OR 97383, USA",1,84PVR94P+
