uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
6d4a8e40-258d-46b7-af19-ad9fe5657dde,383203269,2026-07-19 20:15:08-06:00,2026-07-19,-105.6479500475,39.9548692967,3353.0,,8.0,16.0,0.1,11.1,,,Lyophyllum decastes,"Colorado, US",1,
6e55b522-9d4e-427d-8142-3f28c765f602,295538467,2025-07-04 15:51:17-06:00,2025-07-04,-106.66388,35.9031833333,2672.0,,15.7,27.1,0.0,12.4,,1024.5,Lyophyllum decastes,"Santa Fe National Forest, Jemez Springs, NM, US",1,
428dae9f-702f-491a-885c-d1acd210f70c,237989792,2024-08-25 14:47:48-06:00,2024-08-25,-106.3532706175,35.8720068991,2455.0,,13.2,26.7,,9.8,,1021.6,Lyophyllum decastes,"Santa Fe National Forest, Los Alamos, NM, US",1,
6716d4cb-bb4f-42b0-ad84-42dc3304acdc,237791034,2024-08-24 13:46:05-06:00,2024-08-24,-105.80256141,35.79592534,3149.0,,16.7,30.0,,13.6,,1016.5,Lyophyllum decastes,"Santa Fe County, US-NM, US",1,
83c8c75d-404a-4ada-919b-47e79ea3676d,81296600,2021-06-02 07:00:52-06:00,2021-06-02,-104.7509704687,38.8171191193,1855.0,,8.3,22.8,0.0,10.4,,1015.7,Lyophyllum decastes,"Nazarene Bible College, Colorado Springs, CO, US",1,
a1306b2d-f3ac-4c70-ad4f-d6a97a3bdbcb,392429743,2026-08-16 10:03:50-07:00,2026-08-16,-122.0584277778,45.3020722222,1125.0,,16.7,27.2,0.0,3.4,,,Lyophyllum decastes,"Sandy, OR 97055, USA",1,
1582e1c8-17a2-4781-a449-92baca1920f5,340357370,2025-11-09 15:04:55-08:00,2025-11-09,-121.9271909196,45.1298865455,914.0,,,,,,,,Lyophyllum decastes,"Clackamas County, US-OR, US",1,
3c3b4b9f-61b4-4098-97ba-a5fa439f4c4c,253436488,2024-11-05 14:19:32-08:00,2024-11-05,-122.1071083984,45.312773459,738.0,,5.6,11.7,,4.9,,1027.6,Lyophyllum decastes,"Sandy, OR, US",1,
944dc4d9-3e03-4e64-9c7a-5ca1cf8805a3,250510052,2024-11-04 16:03:25-08:00,2024-11-04,-121.9637833333,45.33685,416.0,,7.8,12.8,,8.3,,1022.5,Lyophyllum decastes,"Welches, Mt Hood Village, OR 97067, USA",1,
84993657-d66a-4678-9ac1-0b7a5550ecc0,248497291,2024-10-21 12:01:07-07:00,2024-10-21,-121.54348,45.8029216667,428.0,,7.9,14.3,6.6,10.2,,1017.3,Lyophyllum decastes,"White Salmon, WA, US",1,
060b90f5-fa78-4c73-8048-6df5cb94081b,242185473,2024-09-16 13:04:00-07:00,2024-09-16,-122.0278117137,45.2012698322,752.0,,10.0,25.0,0.0,4.1,,1012.7,Lyophyllum decastes,"Clackamas County, US-OR, US",1,
da483356-8967-4ec0-97f4-7162f23c6d08,240426625,2024-09-07 13:20:26-07:00,2024-09-07,-121.6993033333,45.2813133333,1148.0,,17.2,32.8,0.0,7.6,,1011.2,Lyophyllum decastes,"Mt. Hood Park Division Recreation Area, Government Camp, OR, US",1,
20820472-f0e8-43a6-9596-aae9866a19a5,189245467,2023-10-13 09:56:53-07:00,2023-10-13,-121.9403216667,45.2760883333,509.0,,13.9,19.4,,21.3,,1010.0,Lyophyllum decastes,"Zigzag Ranger Station, Government Camp, OR, US",1,
0c089b3b-95eb-4b8c-abfa-417aced24ac5,182274080,2023-09-07 12:37:29-07:00,2023-09-07,-121.7831116667,45.300625,1122.0,,11.4,23.9,0.0,9.8,,1015.6,Lyophyllum decastes,"Mt. Hood Park Division Recreation Area, Government Camp, OR, US",1,
ff49eb30-af89-4bbb-ba99-c4bd54e08d8b,125259416,2022-06-15 17:12:48-07:00,2022-06-15,-121.4214472675,45.4316621741,1030.0,,7.6,20.7,0.5,4.0,,1015.3,Lyophyllum decastes,"Wasco County, US-OR, US",1,
5dec1381-bf4a-4c06-b37b-4c92d06e30ba,64015458,2020-10-26 15:40:54-07:00,2020-10-26,-121.8176940525,45.5237795293,691.0,,2.8,11.7,0.0,5.6,,1031.9,Lyophyllum decastes,"Hood River County, US-OR, US",1,
2fed5593-8dbc-4b09-9720-ea53bdc61371,57709696,2020-05-24 17:53:03-07:00,2020-05-24,-121.422757,45.1791569722,768.0,,,,,,,,Lyophyllum decastes,"Maupin, OR 97037, USA",1,
41779a9f-c32f-4897-8974-b6e3e9caebdb,32627558,2019-09-11 10:19:00-07:00,2019-09-11,-121.7423692047,45.2718535855,1183.0,,,,,,,,Lyophyllum decastes,"Clackamas County, OR, USA",1,
