uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
c8f28946-bc09-4be6-8f3d-329df4d19d60,122667780,2019-09-09 12:24:00-06:00,2019-09-09,-104.9600055556,39.7311861111,1650.0,,15.1,28.0,,12.8,,1007.7,Macropsalliota americana,"Cheesman Park, Denver, CO, USA",1,
4ffc2cd8-fdce-474a-86ab-9ebc2ebaee14,313357397,2025-09-08 16:55:23-07:00,2025-09-08,-122.2358166667,45.50572,332.0,,12.0,26.0,0.0,7.0,,1015.2,Macropsalliota americana,"SE Louden Rd, Corbett, OR, US",1,
a4b212a4-0f99-46c4-8c3d-ba0ddfca4f4d,241353214,2024-09-12 14:09:42-07:00,2024-09-12,-122.3008422852,45.4367370605,214.0,,16.1,21.1,,3.9,,1014.3,Macropsalliota americana,Boring,3,
7c5454fa-d470-40b6-875c-b835dc8b54aa,240645629,2024-09-08 11:51:25-07:00,2024-09-08,-121.961225,45.3486388889,424.0,,17.2,28.9,0.0,3.9,,1011.7,Macropsalliota americana,"Union 76 Station, Welches, Mt Hood Village, OR 97067, USA",1,
04466657-0225-44af-bbaf-35ca17b67daf,128935812,2022-07-30 22:07:00-07:00,2022-07-30,-122.184602,44.7081613,455.0,,,,,,,,Macropsalliota americana,"Detroit Lake, Oregon, USA",1,84PVPR58+
2af352b8-c2d7-4b09-90b9-46227fafb180,378511177,2026-07-05 12:16:37-07:00,2026-07-05,-122.7481083333,45.5951466667,38.0,,13.3,27.2,0.0,6.5,,1017.4,Macropsalliota americana,"N Charleston Ave, Portland, OR, US",1,84QVH7W2+
f84793b3-4b22-4276-af81-93cf4dc77028,316450202,2025-09-21 13:53:21-07:00,2025-09-21,-122.6273388889,45.3801583333,55.0,,12.0,21.0,0.6,9.7,,1017.4,Macropsalliota americana,"West Linn, OR, USA",1,84QV99JF+
ccce609d-0dfc-4d48-adc9-06fbc2a5037c,313417480,2025-09-08 11:39:52-07:00,2025-09-08,-122.4366648,45.5042868,92.0,,12.0,26.0,0.0,7.0,,1015.2,Macropsalliota americana,"Northwest, Gresham, OR 97030, USA",1,84QVGH37+
a6cef896-0600-46a3-ac8c-179e87a2ee73,304392673,2025-08-06 20:34:36-07:00,2025-08-06,-122.6012292915,45.5363022392,67.0,,16.7,22.2,10.9,10.1,,1019.9,Macropsalliota americana,"NE 60th Ave, Portland, OR, US",1,84QVG9PX+
28e0f526-331e-41c5-8917-9235cc843147,298772851,2025-07-17 08:41:47-07:00,2025-07-17,-122.7072982788,45.4827728271,119.0,,14.4,30.6,0.0,9.7,,1011.6,Macropsalliota americana,Portland,1,84QVF7MV+
