uuid,inat_id,timestamp,date,lon,lat,olc,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
a574e4fc-62e3-499b-89a1-29ad8d7fdb99,207878382,2024-04-17 11:46:35-07:00,2024-04-17,-121.8983125314,45.6669224285,84QWM482+,19.0,,0.2,14.2,0.0,8.4,,1028.7,Marasmius oreades,"Hood River County, US-OR, Lewis and Clark National Historic Trail, US",1
a915c2a1-6bf2-45ca-804a-085158abf63b,99007421,2021-10-22 11:58:22-07:00,2021-10-22,-122.2115727505,45.3805337364,84QV9QJQ+,370.0,,10.6,15.0,,5.4,,1010.1,Marasmius oreades,"Oregon, US",2
a11091c8-fe07-4218-8757-5df8b7a41083,394443057,2026-08-25 10:56:13-06:00,2026-08-25,-104.7082448924,40.4069853326,85GQC74R+,1457.0,,,,,,,,Marasmius oreades,"18th Ave, Greeley, CO, US",1
fcddb38c-8c18-412e-8da4-b07786c1ff12,393968846,2026-08-23 17:26:42-06:00,2026-08-23,-105.061908052,39.0081822733,85FP2W5Q+,2553.0,,16.0,27.4,9.2,5.2,,,Marasmius oreades,"Columbine Village Dr, Woodland Park, CO, US",1
4e997155-c6dc-4dd8-984f-13ead3466c0b,393264430,2026-08-21 12:53:00-06:00,2026-08-21,-104.8693467227,41.1837539722,85HQ54MJ+,1906.0,,13.8,25.2,,14.1,,1016.9,Marasmius oreades,United States,1
12613749-f82d-457c-a293-0b840daf26f1,387622015,2026-08-02 12:38:08-06:00,2026-08-02,-105.08882842,40.17886741,85GP5WH6+,1528.0,,13.9,38.0,0.0,2.5,,,Marasmius oreades,"Lashley St & Elk Pl, Longmont, CO 80504, EE. UU.",1
bb8904d1-964d-4e28-9296-719dc8489a92,387554042,2026-08-02 09:14:09-06:00,2026-08-02,-104.8638324872,38.8585550176,85CQV45P+,1901.0,,13.4,34.5,0.0,7.4,,,Marasmius oreades,"Castle Rd, Colorado Springs, CO, US",1
194b4ca9-05d2-42b3-ad21-a54e02b0c1e3,385959750,2026-07-25 08:02:26-06:00,2026-07-25,-104.8239133333,38.8536383333,85CQV53G+,1856.0,,19.4,35.0,,8.0,,1012.9,Marasmius oreades,"E Columbia St, Colorado Springs, CO, US",1
f2679984-5a91-4d26-9b82-370c7d744790,378645923,2026-07-05 21:14:56-06:00,2026-07-05,-107.0707861667,37.26258,859J7W7H+,2286.0,,5.0,30.0,0.0,4.1,,1015.0,Marasmius oreades,"Valley View Dr, Pagosa Springs, CO, US",1
35f237a7-5e26-40f0-a25f-46542c8f8556,368415237,2025-10-06 15:34:27-06:00,2025-10-06,-105.1015651413,40.5723278784,85GPHVCX+,1540.0,,7.0,11.0,0.4,10.5,,1023.2,Marasmius oreades,"City Park Ave, Fort Collins, CO, US",1
68ccacaf-5455-4165-8ae7-c4380a5bb551,366362937,2026-05-29 09:14:49-06:00,2026-05-29,-104.8253783333,38.85785,85CQV55F+,1861.0,,11.7,23.9,,9.6,,1006.6,Marasmius oreades,"W Del Norte St, Colorado Springs, CO, US",1
66ab01f9-6486-4198-98ac-67c6a1a55d5a,366342109,2026-05-29 08:24:32-06:00,2026-05-29,-105.1408366667,39.7731516667,85FPQVF5+,1655.0,,13.0,26.0,2.3,7.0,,,Marasmius oreades,"Fruitdale, Wheat Ridge, CO 80033, USA",1
