uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
fc7bf64d-60fa-43d7-9518-61712dd6f76c,382571675,2026-07-17 12:34:08-06:00,2026-07-17,-105.3906580715,40.1154681919,2140.0,,18.0,35.0,0.0,4.1,,,Morchella brunnea,"Mesa St, Jamestown, CO, US",1,
9fea2962-f751-42b9-a004-90c2c0414596,286620095,2025-05-29 11:31:14-06:00,2025-05-29,-105.4764517566,39.9619162365,2559.0,,9.0,19.0,0.9,3.7,,1023.1,Morchella brunnea,"Nederland, CO, US",1,
1dcc5ac1-6f9d-47fd-802d-9fe9314e0382,236983770,2024-06-02 16:35:52-06:00,2024-06-02,-105.50843,39.98053,2546.0,,12.0,30.0,0.0,7.7,,1011.9,Morchella brunnea,"County Road 126, Nederland, CO, US",2,
38159c12-d494-4310-9f8e-1edfa0eac719,213709425,2024-05-04 15:56:05-06:00,2024-05-04,-105.1381672128,38.556664709,2533.0,,3.3,17.2,0.0,14.3,,1017.4,Morchella brunnea,"Colorado, US",1,
2ceb7714-10dd-4bb7-a6c7-7462f193c035,166262517,2023-06-07 11:34:23-06:00,2023-06-07,-106.3316416667,42.765505,2016.0,,10.6,23.9,3.3,9.4,,1011.2,Morchella brunnea,"Rotary Park, Casper, WY, US",2,
29e81ce0-4281-47d3-9be0-882fd898890a,164916971,2023-05-31 13:56:30-06:00,2023-05-31,-105.3373686997,39.3425057997,2242.0,,0.0,13.2,5.3,10.9,,1011.6,Morchella brunnea,"Pine, CO 80470, USA",1,
19d13a8a-2d9d-4471-a294-78413d71288b,105599989,2018-06-05 09:19:00-06:00,2018-06-05,-106.0802388889,41.0915111111,2694.0,,,,,,,,Morchella brunnea,"Albany County, WY, USA",2,
eb403e7b-10a4-433d-8f2b-63e5b2b0acab,117355504,2022-05-13 11:11:30-07:00,2022-05-13,-121.3874882825,45.4843012547,838.0,,4.4,16.7,,6.7,,1022.6,Morchella brunnea,"Wasco County, US-OR, US",1,
c92728e7-fc19-4165-81bd-9c9109499193,117354684,2022-05-14 14:04:09-07:00,2022-05-14,-121.2953025259,45.1101270784,635.0,,,,,,,,Morchella brunnea,"Wasco County, US-OR, US",1,
73f860b2-24c3-46f1-8b7b-7c7ad1c241e2,78794042,2021-05-14 18:39:28-07:00,2021-05-14,-121.56591167,45.46122833,724.0,,16.7,31.1,0.0,17.9,,1014.7,Morchella brunnea,"Dog River, Mount Hood Parkdale, OR, US",2,
a6789a6f-1551-432a-b7e1-387bed561d6c,219102769,2024-05-26 10:39:25-07:00,2024-05-26,-121.797993075,44.4235560098,1340.0,,,,,,,,Morchella brunnea,"Oregon, US",1,84PWC6F2+
15a434e9-7462-4a02-b967-a026d8c25fa4,161504195,2023-05-13 12:25:49-07:00,2023-05-13,-122.1919235247,44.4585567223,1187.0,,,,,,,,Morchella brunnea,"Oregon, US",1,84PVFR55+
5226a60f-ba09-4d91-8572-b60360c8abee,24920317,2019-05-10 15:11:00-07:00,2019-05-10,-121.671347103,44.4496703989,941.0,,1.7,27.8,0.0,8.3,,,Morchella brunnea,"Oregon, US",0,84PWC8XH+
