uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
b0f3a66e-8cbb-4a7d-aaca-2684ac58971f,327299796,2025-11-18 11:24:33-08:00,2025-11-18,-121.9382144138,45.2744381571,535.0,,4.0,10.0,0.0,0.8,,1020.5,Mycena epipterygia,"Rhododendron, OR 97049, USA",1,
1a9b5e30-2a76-492c-9508-175f215a7d4a,262237238,2024-11-03 10:03:00-08:00,2024-11-03,-122.0891638889,45.5306388889,1200.0,,10.0,14.4,,7.1,,1022.3,Mycena epipterygia,"Multnomah County, OR, USA",1,
5d283040-10aa-4d43-bc28-b4752b717d98,259300916,2024-12-31 19:06:00-08:00,2024-12-31,-121.524826891,45.6655552357,87.0,,-1.1,4.9,1.4,7.0,,1024.8,Mycena epipterygia,"Hood River County, OR, USA",1,
3978fcf6-b08b-430d-a710-f5b1aa6fb682,63866189,2020-10-17 12:05:00-10:00,2020-10-17,-121.7792861111,45.3091611111,1104.0,,,,,,,,Mycena epipterygia,"Clackamas County, OR, USA",1,
ca0e3020-ca03-4a23-8b17-51a4c0acb010,63350850,2020-10-23 13:38:34-07:00,2020-10-23,-121.9771095778,45.3317213644,643.0,,5.6,14.4,,11.4,,1018.6,Mycena epipterygia,"Oregon, US",2,
a76d9c62-7b77-498d-8e16-b7ec212f7fb3,63350585,2020-10-23 13:58:03-07:00,2020-10-23,-121.824134196,45.256922966,1125.0,,,,,,,,Mycena epipterygia,"Oregon, US",2,
86cc2dfb-7a8a-431e-9cc7-34f0b5effd75,37666140,2019-10-11 13:22:58-07:00,2019-10-11,-121.7558339381,45.7826404324,610.0,,-1.7,16.1,0.0,8.4,,1026.1,Mycena epipterygia,"Gifford Pinchot National Forest, Carson, WA, US",1,
db179b19-b579-48b9-834f-3819d93febf9,37151202,2019-10-21 10:49:00-07:00,2019-10-21,-121.938328347,45.385705675,1036.0,,11.1,16.7,0.0,10.0,,1024.2,Mycena epipterygia,"Oregon, US",2,
05b6dc15-03d0-446c-9e4f-1be2393e8720,37108222,2019-10-25 14:24:00-07:00,2019-10-25,-121.9346469103,45.2202927509,1347.0,,,,,,,,Mycena epipterygia,"Oregon, US",2,
3ccf8d7b-e643-462c-be08-ea40457ecf14,35728426,2019-10-20 16:35:48-07:00,2019-10-20,-121.9417724609,45.2618637085,644.0,,6.1,14.4,,5.1,,1018.9,Mycena epipterygia,"Welches, OR 97067, USA",1,
144fa0d8-c14c-41b6-81fa-de0b55de042a,34875150,2019-10-24 13:48:00-07:00,2019-10-24,-122.225656,45.306612,370.0,,6.7,19.4,,2.7,,1027.2,Mycena epipterygia,"Clackamas County, OR, USA",2,
7b732914-540a-4ef2-82db-336c4e71a11e,33971776,2019-10-06 13:15:08-07:00,2019-10-06,-121.7779991963,45.3057770245,1132.0,,,,,,,,Mycena epipterygia,"Mt. Hood National Forest, Government Camp, OR, US",1,
49a7d82d-2d5f-4325-b0a3-f8351034b804,18084593,2018-11-03 13:53:00-07:00,2018-11-03,-122.1563522167,45.20600483,713.0,,10.6,15.6,,2.1,,1025.7,Mycena epipterygia,"Clackamas County, OR, USA",2,
c9588151-4994-4dd4-95ec-87abbc589978,34341389,2019-10-13 10:23:39-07:00,2019-10-13,-122.2300779821,44.8508631019,609.0,,,,,,,,Mycena epipterygia,"Marion County, US-OR, US",1,84PVVQ29+
0d9a6c12-ea7f-44f7-a016-75468a4455ef,327779949,2025-11-22 15:58:44-08:00,2025-11-22,-121.66088,45.960605,964.0,,0.0,6.0,0.0,0.4,,1022.0,Mycena epipterygia,"Carson, WA, US",2,84QWX86Q+
4644490f-afe4-4673-b9ff-ecf0e9030e10,190453762,2023-11-07 14:09:41-08:00,2023-11-07,-121.6521910205,44.5080804857,900.0,,-1.0,11.0,3.0,14.7,,1019.8,Mycena epipterygia,"Camp Sherman, OR 97730, USA",1,84PWG85X+
bc235f8e-531b-4678-ad63-78563a594b12,189924800,2023-11-03 17:15:57-07:00,2023-11-03,-122.6262228191,44.865211635,484.0,,11.1,16.7,8.6,6.5,,1018.1,Mycena epipterygia,Silver Falls State Park,1,84PVV98F+
7b5cd6de-d261-4b7e-ad0c-9a34f11a49f8,165559099,2023-05-27 11:15:00-07:00,2023-05-27,-122.673865,45.628028,24.0,,13.3,23.3,0.0,8.5,,1016.1,Mycena epipterygia,Around Lewis and Clark State Park,1,84QVJ8HG+
6d06d4fb-d310-43fb-ad40-f496659abb09,142986891,2022-11-24 11:27:13-08:00,2022-11-24,-122.6406305,44.8843312997,452.0,,2.8,6.7,0.0,3.6,,1025.9,Mycena epipterygia,"Silverton, OR 97381, USA",1,84PVV9M5+
8c72cdf9-0b19-44c1-a0b1-9acdd337cde3,101033555,2021-11-13 12:53:50+00:00,2021-11-13,-122.6539495865,44.8794690015,467.0,,8.3,17.2,0.0,9.7,,1024.1,Mycena epipterygia,"Silver Falls State Park, Silverton, OR, US",1,84PVV8HW+
d3b3eab2-ed5a-4379-a1ee-57472aefcfca,99168708,2021-10-23 12:03:04-07:00,2021-10-23,-122.6357883333,44.8676333333,456.0,,11.1,13.9,3.6,12.2,,1005.0,Mycena epipterygia,"Silver Falls State Park, Silverton, OR, US",1,84PVV997+
a5a3eb60-1087-477a-9c46-f1e1f1fe2524,64119744,2020-11-02 15:16:24-10:00,2020-11-02,-122.7982982621,45.6062287017,123.0,,1.7,19.4,0.0,3.9,,1019.5,Mycena epipterygia,"Northwest Portland, Portland, OR, USA",1,84QVJ642+
a19d5019-d99c-4ee0-8fbc-4676ef715ebc,18929245,2004-10-24 13:53:00-07:00,2004-10-24,-122.0709576307,44.4046211941,1039.0,,,,,,,,Mycena epipterygia,"Hackleman Old Growth area, Linn County, OR, USA",2,84PVCW3H+
49ee9749-9085-4c9f-af8a-3318a2878585,17808047,2018-10-12 15:35:00-07:00,2018-10-12,-122.6330837555,44.8693394816,447.0,,3.9,22.8,0.0,5.8,,1018.2,Mycena epipterygia,"Marion County, OR, USA",2,84PVV998+
