uuid,inat_id,timestamp,date,lon,lat,olc,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
2933ab93-bd59-45f0-a2f2-9bc799165214,191519593,2023-11-19 12:18:10-08:00,2023-11-19,-121.7887625286,44.5926059962,84PWH6V6+,1789.0,,,,,,,,Mycena galericulata,"Oregon, US",1
3c9c8a25-ecf0-445b-b0d3-9eecd4668d40,35442726,2017-10-18 14:07:45-07:00,2017-10-18,-122.4939317481,45.2901220396,84QV7GR4+,243.0,,10.6,18.3,,14.1,,1013.2,Mycena galericulata,"Oregon, US",1
f565a2f6-89f2-4d21-a3a9-047bd581ccbd,332101400,2025-10-26 09:03:47-07:00,2025-10-26,-122.7008425271,45.5020434363,84QVG72X+,224.0,,8.0,12.0,7.7,9.6,,1014.5,Mycena galericulata,"Multnomah County, US-OR, US",1
40c32542-a937-4d53-99ba-d8efd0c4694d,323677139,2025-10-28 09:14:18-07:00,2025-10-28,-122.6690265,45.7085811997,84QVP85J+,10.0,,6.0,14.0,2.7,9.1,,1023.2,Mycena galericulata,"Starcrest, Vancouver, WA, USA",1
b7257471-8e83-499a-903a-323cb0182a69,322660421,2025-10-23 16:22:52-07:00,2025-10-23,-122.55767,45.5009166667,84QVGC2R+,113.0,,12.0,18.0,0.0,9.0,,1019.4,Mycena galericulata,"SE 103rd Ave, Portland, OR, US",1
6f65d799-6d74-43d4-8b36-e4461fa72791,320726744,2025-10-13 10:37:24-07:00,2025-10-13,-122.7309277778,45.5273611111,84QVG7G9+,164.0,,4.0,17.0,0.0,9.9,,1010.8,Mycena galericulata,"Portland, OR 97210, USA",1
bc9204b3-2f7b-474d-890e-507bbbe3b2e5,256313027,2024-11-09 15:13:54-08:00,2024-11-09,-122.6527166667,45.4808466667,84QVF8JW+,18.0,,8.3,13.3,0.0,7.2,,1015.8,Mycena galericulata,"Oaks Bottom Wildlife Refuge, Portland, OR, US",2
a8ca59d8-e157-4c52-862f-a9ec98580073,255835998,2024-12-21 16:21:08-08:00,2024-12-21,-122.3931343997,45.5136382997,84QVGJ74+,79.0,,8.3,13.3,,24.0,,1013.7,Mycena galericulata,"Northeast, Gresham, OR, USA",1
e959ac47-65ac-4276-94b8-39a2f0640857,251089722,2024-10-12 14:30:25-07:00,2024-10-12,-122.7778722222,45.5713277778,84QVH6CC+,262.0,,7.2,24.4,0.0,2.4,,1018.5,Mycena galericulata,"Linnton, Portland, OR, USA",1
1bfa0cd9-1be6-4e25-8d50-9a6450d44ed4,247018161,2024-10-12 12:48:33-07:00,2024-10-12,-122.840506,45.49868,84QVF5X5+,70.0,,5.6,23.9,0.0,3.3,,1017.8,Mycena galericulata,"Cooper Mountain - Aloha North, Beaverton, OR, USA",1
