uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
97bfac96-4982-4891-8af9-8f6c2f7057e5,387376240,2026-08-01 15:07:08-06:00,2026-08-01,-105.398508821,36.2355281563,3388.0,,8.7,24.1,2.7,3.2,,,Mycena leptocephala,"Mora County, US-NM, US",1,
b9a16b7b-a629-4736-a122-9c2b4353d711,384098084,2026-07-20 12:51:00-06:00,2026-07-20,-105.6081406133,35.680242894,2819.0,,15.6,30.6,0.1,7.6,,,Mycena leptocephala,"New Mexico, US",1,
6d3c9fb9-fd0d-481e-8cbc-1dadd860ce34,380788373,2026-07-12 12:03:59-06:00,2026-07-12,-105.8015014494,35.7990714824,3208.0,,13.9,31.7,0.0,9.2,,,Mycena leptocephala,"Tererro, NM, US",1,
b0d1648a-5bd6-4f99-927a-5848651e404b,312605600,2025-09-08 16:48:06-06:00,2025-09-08,-104.8178334353,38.7299314392,1834.0,,13.7,25.1,1.6,12.7,,1020.5,Mycena leptocephala,"Colorado, US",2,
b762602e-c18d-461a-81fe-7b5305dbfb9d,312040673,2025-09-06 14:03:38-06:00,2025-09-06,-106.3990866667,35.8972666667,2887.0,,11.0,19.0,21.4,10.9,,1026.4,Mycena leptocephala,"Pajarito Mountain Ski Area, Los Alamos, NM, US",1,
b1812546-97f1-400e-87cd-84bf18e3d2b8,296655064,2025-07-08 12:23:00-06:00,2025-07-08,-105.79987222,35.79896111,3249.0,,16.1,34.4,0.0,14.2,,1016.0,Mycena leptocephala,"Santa Fe, New Mexico, United States",2,
7fcf15fc-9611-4c14-96da-d4688d6669c2,235756928,2024-08-13 09:57:36-06:00,2024-08-13,-106.57457,35.87415,3044.0,,15.7,27.9,,7.4,,1026.0,Mycena leptocephala,"Valles Caldera National Preserve, Jemez Springs, NM, US",1,
71bf89a6-e6d1-4838-8f12-17d3a2341e83,61427166,2020-09-19 12:02:00-06:00,2020-09-19,-107.79522833,37.859325,3292.0,,10.0,19.0,,10.3,,,Mycena leptocephala,"Grand Mesa National Forest, Ophir, CO, US",1,
a11de864-8516-497d-840b-bfbd6f9f2d97,247852353,2024-10-17 13:44:57-07:00,2024-10-17,-121.9092166667,45.6867133333,115.0,,7.7,12.0,4.3,14.9,,1017.6,Mycena leptocephala,"Columbia River Gorge National Scenic Area, Stevenson, WA, US",1,
d89d742a-4269-4a63-b20b-4ab9f40c4fc3,225254299,2024-06-20 15:31:27-07:00,2024-06-20,-121.9095984832,45.3635463091,764.0,,12.2,33.3,0.0,4.8,,1012.6,Mycena leptocephala,"Zigzag Ranger Station, Rhododendron, OR, US",1,
9602e0af-f17f-4398-91f9-42666b9a2fed,112081334,2022-04-18 13:02:56-07:00,2022-04-18,-121.6701883333,45.6968616667,34.0,,6.7,15.0,,8.1,,1010.5,Mycena leptocephala,"Viento State Park, Hood River, OR, US",1,
81e00745-f97c-40a2-8771-c3a4cf8b1fcf,244602282,2024-09-28 16:00:08-07:00,2024-09-28,-122.5636296412,45.2375857147,174.0,,10.0,23.3,0.0,7.6,,1012.8,Mycena leptocephala,"S Buckner Creek Rd, Mulino, OR, US",1,84QV6CQP+
f26e0c10-1958-4faf-93cf-43e11956b674,71759018,2021-03-21 15:49:09-07:00,2021-03-21,-122.3488562313,45.3559954975,123.0,,6.1,10.0,,8.3,,1028.3,Mycena leptocephala,"Oregon, US",1,84QV9M42+
46be82c2-3adc-44ce-861e-9075c9733e04,41931645,2020-04-09 12:39:49-07:00,2020-04-09,-122.0365714525,44.6402204584,1372.0,,,,,,,,Mycena leptocephala,"Willamette National Forest, Idanha, OR, US",1,84PVJXR7+
959c90b4-ae42-4b22-b498-5e8402d7c42c,17477850,2018-10-13 14:56:40-07:00,2018-10-13,-122.56394036,45.23800436,174.0,,7.2,21.7,0.0,14.4,,1020.8,Mycena leptocephala,"14761 S Buckner Creek Rd, Mulino, OR 97042, USA",3,84QV6CQP+
