uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
40c487dd-deef-4e9a-baee-2ab04d16dfe1,392260635,2026-08-17 17:21:26-06:00,2026-08-17,-104.8565017132,38.6909729972,2062.0,,14.6,28.4,0.3,5.4,,,Mycena overholtsii,"Colorado, US",1,
d6c58dee-0b38-4800-a159-873d00128b43,365771865,2026-05-26 11:46:09-06:00,2026-05-26,-106.1303087,39.6283663,2989.0,,-2.8,8.6,3.4,11.0,,1010.5,Mycena overholtsii,"Silverthorne, CO 80498, USA",1,
7685edb1-df78-4522-87c4-1d42fa5b8feb,364211622,2026-05-22 08:42:31-06:00,2026-05-22,-107.4503323174,39.9564197253,3179.0,,-1.7,16.1,0.0,3.3,,1015.3,Mycena overholtsii,"Garfield County, US-CO, US",1,
2e73c456-c71f-4577-a15b-ca4d8bc1fabd,358103860,2026-05-03 16:50:29-06:00,2026-05-03,-107.8755384399,37.9144676328,2971.0,,1.0,12.0,0.2,6.7,,,Mycena overholtsii,"Grand Mesa Uncompahgre and Gunnison National Forests, Telluride, CO, US",1,
90865341-a34d-4bfd-8c44-e2fd4cf71a99,353836105,2026-04-25 14:04:07-06:00,2026-04-25,-107.8752162498,37.9136940007,2971.0,,1.0,10.0,0.6,7.1,,,Mycena overholtsii,"Grand Mesa Uncompahgre and Gunnison National Forests, Telluride, CO, US",1,
e731df20-d6b6-45fc-80f2-91762cab4cd7,307668278,2025-06-07,2025-08-20,-106.9878231,38.8697146,2722.0,,10.6,31.1,0.0,11.6,,1020.7,Mycena overholtsii,"Crested Butte, CO 81224, USA",1,
a10a8530-56d3-4d7c-bee7-80184a951845,291117150,2025-06-08 13:11:26-06:00,2025-06-08,-106.3763138889,38.8033638889,3271.0,,8.0,22.0,2.0,4.5,,1016.5,Mycena overholtsii,"Buena Vista, CO 81211, USA",1,
0d02134f-680c-45e6-a15e-108c1aeecb3d,291116893,2025-06-08 11:43:04-06:00,2025-06-08,-106.3908722222,38.8070694444,3388.0,,8.0,22.0,2.0,4.5,,1016.5,Mycena overholtsii,"Buena Vista, CO 81211, USA",1,
f437d1ea-5d48-41f7-aad6-7140757c9a30,291116399,2025-06-08 11:18:37-06:00,2025-06-08,-106.3908888889,38.806625,3388.0,,8.0,22.0,2.0,4.5,,1016.5,Mycena overholtsii,"Buena Vista, CO 81211, USA",1,
c1ee8354-7fef-40db-a543-a06c07bf4398,291115230,2025-06-08 11:14:30-06:00,2025-06-08,-106.3908222222,38.8066416667,3388.0,,8.0,22.0,2.0,4.5,,1016.5,Mycena overholtsii,"Buena Vista, CO 81211, USA",1,
