uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
83148381-52db-4172-9eac-768219c4815b,228534650,2024-06-02 11:38:14-06:00,2024-06-02,-103.5689641535,43.8477890378,1900.0,,8.9,23.3,,9.4,,1004.6,Mycena purpureofusca,"Crazy Horse, SD 57730, USA",1,
ac24edd7-caf0-4180-9548-4c055df5ebcf,326829037,2025-11-07 10:45:47-08:00,2025-11-07,-122.1988638889,45.5860694444,392.0,,6.9,14.0,1.8,5.2,,1022.6,Mycena purpureofusca,"Washougal, WA 98671, USA",1,
c3877cad-12d7-435d-8a35-9e28225ace6c,260955625,2024-12-01 18:14:00-08:00,2024-12-01,-121.9307520362,45.6373635999,297.0,,-0.4,3.6,0.0,6.6,,1030.2,Mycena purpureofusca,"Multnomah County, OR, USA",1,
0b812623-850c-4ffb-a978-24e1d85f1d32,182716168,2022-11-17,2022-11-17,-122.2867,45.3246,239.0,,3.9,9.4,0.0,33.3,,1031.0,Mycena purpureofusca,"Eagle Fern Park, Clackamas Co., Oregon, USA",1,
bb6a603c-9956-4b98-932c-7cd8b98547cf,146845071,2023-01-16 11:37:00-08:00,2023-01-16,-121.5571222222,45.7234805556,27.0,,0.6,6.3,0.1,5.6,,1008.5,Mycena purpureofusca,"Skamania County, WA, USA",1,
9e52af6a-7992-436a-a278-c8220b215fc8,97963481,2021-10-11 15:27:18-07:00,2021-10-11,-122.1209972039,45.592370463,4.0,,6.1,15.0,0.0,2.5,,1024.4,Mycena purpureofusca,"Skamania County, US-WA, US",1,
4ed63e2a-14ce-4721-8b60-536ff82df8cc,65702664,2020-10-22 15:52:37-07:00,2020-10-22,-122.2040446282,45.5841239521,369.0,,2.8,15.0,0.0,3.0,,1027.4,Mycena purpureofusca,"Columbia River Gorge National Scenic Area, Washougal, WA, US",1,
d6856175-48ec-4951-9ba0-09cb0d34061d,64793872,2020-10-24 13:23:07-07:00,2020-10-24,-121.8285731503,45.383036771,761.0,,6.7,14.4,,17.2,,1020.2,Mycena purpureofusca,"Oregon, US",1,
5da3b5dd-143a-48e1-ae28-7d12c18774ce,64225820,2020-11-05 00:01:23-08:00,2020-11-05,-121.9585546027,45.3008129747,599.0,,10.6,18.9,,11.4,,1017.5,Mycena purpureofusca,"Oregon, US",2,
b647b2a4-3d6b-410d-bcf8-2079a9683cb1,63367249,2020-10-23 12:14:47-07:00,2020-10-23,-121.9559000936,45.2705400799,770.0,,5.6,14.4,,11.4,,1018.6,Mycena purpureofusca,"Oregon, US",2,
ceebf91d-abe0-4e4f-a02f-2907bb1ac2d2,63367205,2020-10-23 12:15:25-07:00,2020-10-23,-121.9338615486,45.3230486789,988.0,,5.6,14.4,,11.4,,1018.6,Mycena purpureofusca,"Oregon, US",2,
a6de26c3-6f20-409f-a9b7-684da2d6528a,19926314,2019-01-26 11:44:14-08:00,2019-01-26,-122.1937332153,45.5892753601,400.0,,0.0,5.0,0.0,1.4,,1031.8,Mycena purpureofusca,"Cape Horn Trail, Washougal, WA 98671, USA",2,
588ff230-7673-4b48-9244-1a39ac7e3dae,17477759,2018-10-13 14:50:26-07:00,2018-10-13,-122.56394221,45.23806917,174.0,,7.2,21.7,0.0,14.4,,1020.8,Mycena purpureofusca,"14761 S Buckner Creek Rd, Mulino, OR 97042, USA",3,84QV6CQP+
572d91c6-d43d-4008-b94c-c2bf02ae0490,352620591,2023-11-15 16:24:36-08:00,2023-11-15,-122.6792666667,45.479645,97.0,,6.7,11.1,0.5,5.8,,1013.8,Mycena purpureofusca,"I-5 S, Portland, OR, US",1,84QVF8HC+
3aa08bc9-c9ce-4d9e-95ea-3ecec360e220,339209481,2014-10-16,2014-10-16,-122.0014459,44.2501212,962.0,,,,,,,,Mycena purpureofusca,"Willamette National Forest, Oregon 97413, États-Unis",1,84PV7X2X+
4f4a3211-6ec9-4c02-95a7-180a68b22de8,330899807,2025-12-15 13:36:34-08:00,2025-12-15,-122.5719071417,45.6512098615,67.0,,9.0,16.0,5.7,10.5,,1017.1,Mycena purpureofusca,"NE 98th Ave, Vancouver, WA, US",1,84QVMC2H+
4f74435b-ee12-4f5b-a7cb-444db3c80b78,320784169,2025-10-13 15:44:31-07:00,2025-10-13,-122.515145,45.49083,113.0,,3.0,16.0,0.0,10.2,,1010.0,Mycena purpureofusca,"Portland, OR, US",1,84QVFFRM+
1c6925a4-3977-4b32-9a2a-e30573a0cab5,260094988,2024-11-10 09:49:31-08:00,2024-11-10,-122.7025166667,45.5218861111,115.0,,8.3,14.4,5.1,9.7,,1012.3,Mycena purpureofusca,"Arlington Heights, Portland, OR, USA",2,84QVG7CW+
aa0a7761-8834-45cf-ab37-232a2a7c03ac,260094340,2024-12-20 12:51:01-08:00,2024-12-20,-122.8128555556,45.6020055556,291.0,,3.9,11.7,0.1,3.7,,1016.8,Mycena purpureofusca,"Linnton, Portland, OR, USA",2,84QVJ52P+
b49bc84b-3aec-4830-9691-d3486239de3f,259179269,2024-12-29 13:03:26-08:00,2024-12-29,-122.7743583333,45.5708972222,296.0,,5.6,10.6,,5.2,,1012.5,Mycena purpureofusca,"Linnton, Portland, OR, USA",1,84QVH6CG+
ed002c3a-842a-424c-b5bf-fb2fb40a2936,254782242,2024-12-10 15:05:34-08:00,2024-12-10,-122.7104904503,45.5151745637,229.0,,2.2,5.6,0.0,7.6,,1028.4,Mycena purpureofusca,Washington Park,1,84QVG78Q+
03f10f65-4f3e-4d30-92ff-05b54a12b972,253410739,2024-11-27 10:31:00-08:00,2024-11-27,-122.7453611111,44.9833805556,176.0,,1.7,7.2,0.0,4.3,,1027.8,Mycena purpureofusca,"Marion County, OR, USA",1,84PVX7M3+
38e7bb44-254a-49e7-af8c-c1fc8e3dd510,246401235,2023-10-25 16:07:00-07:00,2023-10-25,-122.7178722222,45.5194055556,213.0,,6.7,10.6,9.1,11.2,,1011.1,Mycena purpureofusca,"Sylvan - Highlands, Portland, OR, USA",1,84QVG79J+
27f3fd09-7496-4b25-9107-c5d558ee7dfa,219821019,2023-11-05 12:35:21-08:00,2023-11-05,-122.706055,45.5139116667,182.0,,11.7,17.8,23.9,10.8,,1010.1,Mycena purpureofusca,"Washington Park, Portland, OR, US",1,84QVG77V+
fb1d660e-ed59-4f9e-8c2e-57f7797bc039,195413439,2023-12-31 14:05:48-08:00,2023-12-31,-122.3862216667,45.833425,198.0,,3.9,8.0,,2.6,,1021.9,Mycena purpureofusca,"NE Lucia Falls Rd, Yacolt, WA, US",1,84QVRJM7+
a2e356d5-88a5-4136-9e2a-402391c52fc2,194172240,2023-12-08 11:42:00-08:00,2023-12-08,-122.653,45.5722722222,41.0,,3.9,9.4,0.0,5.8,,1028.1,Mycena purpureofusca,"Northeast Portland, Portland, OR, USA",1,84QVH8CW+
b3f2b7d7-3462-45f6-afef-dd2a880070e3,193747898,2023-12-11 15:32:31-08:00,2023-12-11,-122.511675,45.4867055556,165.0,,7.8,12.2,,9.5,,1021.4,Mycena purpureofusca,"Pleasant Valley, Portland, OR, USA",1,84QVFFPQ+
a81f06a8-4684-4c5d-8ad4-9c687be97b60,189990621,2023-11-04 12:45:48-07:00,2023-11-04,-122.8396616667,45.4979783333,70.0,,10.0,18.3,0.0,12.3,,1010.3,Mycena purpureofusca,"Tualatin Hills Nature Park, Beaverton, OR, US",1,84QVF5X6+
02420e83-d3a2-45ae-87d6-97bb7d0a4e3e,189059901,2023-10-18 16:47:45-07:00,2023-10-18,-122.780845,45.583562,194.0,,6.7,22.2,0.0,1.6,,1019.0,Mycena purpureofusca,"Linnton, Portland, OR, USA",3,84QVH6M9+
fc8c1b56-adc3-4551-942e-a847b78a4137,188195398,2023-10-19 15:15:34-07:00,2023-10-19,-122.7189451923,45.5312190392,131.0,,8.9,22.8,0.0,2.9,,1017.9,Mycena purpureofusca,"Macleay Park, Portland, OR, US",1,84QVG7JJ+
5e8f7102-0ec6-4727-bc05-56e2f0d31e53,187583909,2023-10-14 14:34:37-07:00,2023-10-14,-122.722463496,45.3895006567,40.0,,11.7,16.7,,1.1,,1016.8,Mycena purpureofusca,"Bryant, Lake Oswego, OR 97035, USA",1,84QV97QH+
a465c6f4-d286-4900-bca9-a90287a93aa3,146996065,2023-01-20 15:17:27-08:00,2023-01-20,-122.5523117257,45.4322853605,84.0,,1.1,5.0,0.0,4.3,,1032.6,Mycena purpureofusca,"SE Sunnybrook Blvd, Clackamas, OR, US",1,84QVCCJX+
e3dbf4f0-4211-461c-979d-396e65f54608,146919742,2023-01-19 09:37:59-08:00,2023-01-19,-122.6482144849,45.4363869767,9.0,,1.1,6.1,0.0,2.2,,1028.5,Mycena purpureofusca,"Portland, OR, US",1,84QVC9P2+
7d6c0245-70ec-4b18-898d-2cbd42c6426d,146856179,2023-01-18 08:31:43-08:00,2023-01-18,-122.5089910191,45.4476066235,270.0,,5.6,7.8,,10.2,,1014.7,Mycena purpureofusca,"Scouters Mountain Nature Park, Happy Valley, OR, US",1,84QVCFXR+
dc29e1cc-59bb-49f0-9b51-30acb4f649ca,146782747,2023-01-17 11:58:22-08:00,2023-01-17,-122.7072418904,45.5179407707,177.0,,7.2,10.6,0.5,13.3,,1015.4,Mycena purpureofusca,"Washington Park, Portland, OR, US",2,84QVG79V+
f27d6daf-24a5-4bb4-948d-5d5246a5c532,144955905,2022-12-18 14:00:00-08:00,2022-12-18,-122.7719666667,45.5781666667,213.0,,1.1,6.7,,5.1,,1018.1,Mycena purpureofusca,"Linnton, Portland, OR, USA",1,84QVH6HH+
0b2d0b1a-6cbe-499f-a083-a994e3c5657b,144558762,2022-12-17 09:23:00-08:00,2022-12-17,-122.71627,45.5324533333,92.0,,-3.8,5.0,0.0,5.0,,1021.0,Mycena purpureofusca,"Macleay Park, Portland, OR, US",1,84QVG7JM+
