uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
5b4e319f-2836-4327-8cc1-3508cf82d737,392815931,2026-08-19 11:04:38-06:00,2026-08-19,-105.700608203,35.8181696452,2774.0,,18.8,32.9,0.9,13.4,,1014.9,Onnia tomentosa,"San Miguel County, US-NM, US",1
90647579-d19f-4d38-af5d-b7c7ba35110c,390651394,2026-08-08 13:09:42-06:00,2026-08-08,-106.5328883333,35.8155533333,2571.0,,16.7,31.2,6.0,7.8,,,Onnia tomentosa,"Jemez National Recreation Area, Jemez Springs, NM, US",1
b88b6c78-8279-4486-aff0-baaa4fa95106,314884131,2025-09-16,2025-09-16,-105.797503,35.800342,3319.0,,11.0,28.0,0.1,10.4,,1025.9,Onnia tomentosa,"Santa Fe County, New Mexico, United States",2
c51b4fb7-045c-42e0-8069-ca8280ca4e8f,304864779,2025-08-08 11:21:03-06:00,2025-08-08,-104.9903416667,39.1087083333,2690.0,,14.1,35.1,0.0,17.7,,1008.3,Onnia tomentosa,"Pike and San Isabel National Forests, Woodland Park, CO, US",1
5b842ea8-50d4-434d-9ef8-97b19aefc9b6,304581275,2025-08-07 13:08:43-06:00,2025-08-07,-104.9910201607,39.1066054889,2697.0,,14.5,34.0,0.0,18.4,,1013.4,Onnia tomentosa,"El Paso County, US-CO, US",1
4136bf04-0df8-43a2-ab69-a58528d3676d,241982890,2024-09-14 18:23:00-06:00,2024-09-14,-107.0872120594,38.8353808622,3162.0,,-0.6,25.6,0.0,5.1,,1019.1,Onnia tomentosa,Lake Irwin,1
7dde3a83-536c-4ca7-b44d-bdf59b8d2d1c,239100388,2024-08-31 16:55:28-06:00,2024-08-31,-107.8704405972,37.6304970122,2843.0,,8.0,22.0,,5.6,,,Onnia tomentosa,"Colorado, US",1
d97a4d20-bb1d-4d4d-93ea-0cb0f9e043ec,237979685,2024-08-25 14:10:53-06:00,2024-08-25,-107.5325316667,37.5234983333,2641.0,,11.7,25.6,,11.4,,1021.7,Onnia tomentosa,"La Plata County, US-CO, US",1
c8476e25-0dfe-4af5-8b6c-35450c28a17e,234538505,2024-08-07 10:57:26-06:00,2024-08-07,-106.6607350475,35.8659186458,2615.0,,18.1,31.4,,11.3,,1026.8,Onnia tomentosa,"Sandoval County, US-NM, US",1
5459d07f-8301-417f-b3bc-4682c04e3b63,177460188,2023-08-08 17:09:26-06:00,2023-08-08,-105.4511866667,39.6869716667,2685.0,,-0.4,13.3,0.5,15.9,,1017.2,Onnia tomentosa,"Evergreen, CO, US",1
060d222f-f47b-463c-be0d-9ef8400baac4,133154402,2022-08-30 14:18:00-06:00,2022-08-30,-105.6493743288,40.3108674334,2949.0,,5.1,27.0,0.0,3.6,,1033.5,Onnia tomentosa,"Larimer County, CO, USA",1
01ff3c0f-e65f-4479-97a8-f95c7efd3a4c,132484011,2022-08-21 15:57:15-06:00,2022-08-21,-107.945695,37.800082,3181.0,,9.0,17.0,1.7,4.5,,1031.4,Onnia tomentosa,"Dolores, CO 81323, USA",1
990c9574-ab91-4486-852a-8d5f123bec57,93008177,2021-08-28 13:14:18-07:00,2021-08-28,-107.8133051098,38.0262680026,3020.0,,11.0,24.0,1.4,10.3,,1029.1,Onnia tomentosa,"Ouray County, US-CO, US",1
b8e8487e-7210-4c7b-ba0f-4775950ba4f9,91921656,2021-08-20 17:19:28-06:00,2021-08-20,-105.4721644444,36.59373,2869.0,,13.9,27.2,0.0,15.6,,1014.0,Onnia tomentosa,"1374 State Road 150, Village of, Taos Ski Valley, NM 87525, USA",1
f213fc4d-fe25-49a8-9b9d-028fcb61462c,91122704,2021-08-13 14:35:00-04:00,2021-08-13,-105.973654,39.937107,3036.0,,7.7,27.3,0.0,6.7,,1032.1,Onnia tomentosa,"Grand County, CO, USA",2
fbcf0277-49ca-418c-9391-b6cc75cf6ca2,31445326,2019-08-24 16:09:54-06:00,2019-08-24,-107.87522775,37.91438811,2971.0,,10.0,25.0,,9.8,,,Onnia tomentosa,"San Miguel County, US-CO, US",2
593982f2-d04e-4dc2-911c-9e6f83b864f0,16176164,2018-08-25 11:03:42-06:00,2018-08-25,-105.411805,36.35308,2876.0,,5.0,21.5,,4.8,,,Onnia tomentosa,"Carson National Forest, Taos, NM, US",1
32d3a265-a8c9-42ae-9528-f8b1d7a0acaa,15747202,2018-08-20 17:25:13-06:00,2018-08-20,-105.1685656028,38.9730348291,2784.0,,6.8,22.3,,12.9,,1020.3,Onnia tomentosa,"Pike National Forest, Divide, CO, US",1
a53b1ea0-26f0-4539-9042-9ccaac36c68d,7002053,2016-08-18,2016-08-18,-107.4425,37.47905,2492.0,,10.0,25.6,0.0,11.1,,1016.9,Onnia tomentosa,"Pine River Trail, Weminuche Wilderness, Colorado, USA",1
