uuid,inat_id,obscured,geoprivacy,taxon_geoprivacy,positional_accuracy,public_positional_accuracy,location_precision,timestamp,date,lon,lat,olc,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,kingdom,phylum,class,order,family,genus,taxon_id,taxon_rank,taxon_name,common_name
a7a060c5-ebbf-4df5-a329-9caf1e4aecac,377344484,False,,,31.0,31.0,precise,2026-07-01 19:07:00-07:00,2026-07-01,-122.2258948632,45.3067294561,84QV8Q00+,370.0,,13.3,18.9,0.4,2.6,,,Panaeolus cinctulus,"Clackamas County, OR, USA",2,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Galeropsidaceae,Panaeolus,418443,species,Panaeolus cinctulus,Banded Mottlegill
b8e0ea80-0c35-4c4a-bcf1-2c0f4435f2ec,377248167,False,,,8.0,8.0,precise,2026-07-01 13:26:38-07:00,2026-07-01,-122.7140416065,45.4762827254,84QVF700+,164.0,,13.3,19.4,0.0,5.5,,1018.2,Panaeolus cinctulus,"SW Vermont St, Portland, OR, US",1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Galeropsidaceae,Panaeolus,418443,species,Panaeolus cinctulus,Banded Mottlegill
481097d0-28a0-4d79-84db-556b17ea11a6,376959436,True,obscured,,11.0,27158.0,obscured,2026-06-30 14:00:52-07:00,2026-06-30,-122.3430656871,45.4389862623,84QVCM00+,161.0,,13.3,18.9,1.0,2.7,,,Panaeolus cinctulus,United States,1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Galeropsidaceae,Panaeolus,418443,species,Panaeolus cinctulus,Banded Mottlegill
aedf835b-178e-4f02-948e-d40026c08d4e,332342762,False,,,1829.0,1829.0,coarse,2025-12-25 08:12:25-08:00,2025-12-25,-122.6329324023,45.223987198,84QV6900+,55.0,,4.0,10.0,1.1,7.3,,1001.3,Panaeolus papilionaceus,"Canby, OR, US",1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Galeropsidaceae,Panaeolus,118263,species,Panaeolus papilionaceus,Petticoat Mottlegill
68c171f3-376a-45ef-9313-908a03f90e0a,329349655,False,,,37.0,37.0,precise,2025-12-03 09:24:00-08:00,2025-12-03,-122.9746381618,45.011998077,84QV2200+,44.0,,1.7,7.8,0.0,4.3,,1027.2,Panaeolus cinctulus,"Salem, OR, US",1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Galeropsidaceae,Panaeolus,418443,species,Panaeolus cinctulus,Banded Mottlegill
b476624d-ae2b-4945-8210-431f3add543d,326442524,True,obscured,,171.0,27190.0,obscured,2025-11-13 11:31:18-08:00,2025-11-13,-122.7820193717,45.2409352512,84QV6600+,56.0,,11.0,15.0,4.8,5.8,,1005.2,Panaeolus foenisecii,"Oregon, US",1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Galeropsidaceae,Panaeolus,902551,species,Panaeolus foenisecii,Mower's Mushroom
311c4131-02f9-488e-b303-af7eb3662081,319853190,False,,,13.0,13.0,precise,2025-10-08 16:45:16-07:00,2025-10-08,-122.7574592829,45.6034622992,84QVJ600+,41.0,,8.9,15.6,0.0,2.1,,1010.7,Panaeolus foenisecii,"St. Johns, Portland, OR, USA",1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Galeropsidaceae,Panaeolus,902551,species,Panaeolus foenisecii,Mower's Mushroom
ce8b920a-abc7-4082-842f-bcbd6be6cc04,307862223,False,,,,,unknown,2025-08-20 14:41:49-07:00,2025-08-20,-122.4137046997,45.5046733,84QVGH00+,104.0,,16.1,27.2,0.0,4.0,,1022.7,Panaeolus foenisecii,"NE Division & Hogan, Gresham, OR 97030, USA",1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Galeropsidaceae,Panaeolus,902551,species,Panaeolus foenisecii,Mower's Mushroom
8a3eddff-b555-4ede-977a-5c150691b11a,304557470,False,,,33.0,33.0,precise,2025-08-07 13:11:13-07:00,2025-08-07,-122.6687,45.2805116667,84QV7800+,36.0,,16.1,22.8,0.0,7.8,,1022.7,Panaeolus cinctulus,"NE Territorial Pl, Canby, OR, US",1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Galeropsidaceae,Panaeolus,418443,species,Panaeolus cinctulus,Banded Mottlegill
8cb0f9d7-3e2a-4a30-9af4-9c0d43dbd2bd,303276466,True,obscured,,,27158.0,obscured,2025-06-27 18:12:49-07:00,2025-06-27,-122.4865726702,45.4054465525,84QVCG00+,115.0,,13.9,22.2,,3.9,,1018.8,Panaeolus foenisecii,"Oregon, US",1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Galeropsidaceae,Panaeolus,902551,species,Panaeolus foenisecii,Mower's Mushroom
