uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
b48f40b9-029c-4c65-ad41-cfb383587508,390925202,2026-08-02 12:38:32-06:00,2026-08-02,-105.8344142139,35.723652374,2602.0,,14.4,33.9,0.0,5.6,,,Panus lecomtei,"Santa Fe County, US-NM, US",1
eff3c3fd-7b21-4edc-88e0-3d9518e4e855,382787094,2026-07-16 12:38:27-06:00,2026-07-16,-104.8951722222,38.8650083333,1918.0,,15.2,31.0,0.0,7.9,,,Panus lecomtei,"West Colorado Springs, Colorado Springs, CO, USA",1
6f2b29b5-870d-4ff4-ad98-679cda6f76c7,332092388,2025-12-25 14:55:40-07:00,2025-12-25,-107.1065,37.2854383333,2325.0,,1.0,8.0,4.5,5.1,,1026.9,Panus lecomtei,"Upper Rim Trail, Pagosa Springs, CO, US",1
7777cfb4-477a-4369-b8c2-1c3339f756e1,332091826,2025-12-25 14:41:34-07:00,2025-12-25,-107.1056666667,37.2870783333,2311.0,,1.0,8.0,4.5,5.1,,1026.9,Panus lecomtei,"Capitan Cir, Pagosa Springs, CO, US",1
4ffb13e1-639d-48fb-aa0d-7361374956d7,310794121,2025-07-18 17:33:00-06:00,2025-07-18,-104.8611162688,38.9255164807,2024.0,,11.0,29.6,1.3,11.0,,1014.0,Panus lecomtei,"Northwest Colorado Springs, Colorado Springs, CO, USA",1
54a159f0-51a3-44d7-88ad-b2a2e7d6abae,309361661,2025-08-26 09:37:33-06:00,2025-08-26,-104.94088,39.4815783333,1906.0,,13.0,24.0,8.9,10.6,,1025.4,Panus lecomtei,"Sedalia, CO, US",1
e3bf2fcc-7093-441c-be38-f81f06d49b96,303634485,2025-08-03 13:21:36-06:00,2025-08-03,-104.81492,38.732975,1827.0,,17.0,28.0,0.0,6.8,,1024.9,Panus lecomtei,"Colorado Springs, CO, US",1
2aec3f32-ebba-4ec9-936b-a05296273a41,302506479,2025-07-30 10:40:41-06:00,2025-07-30,-104.4509416667,37.0406028333,2695.0,,15.6,28.3,2.5,14.5,,1019.6,Panus lecomtei,"Trinchera, CO, US",1
d4571d7f-2cc9-4c25-8b3f-9020af0ddde6,301286057,2025-07-18 11:03:37-06:00,2025-07-18,-103.3974386997,43.762591,1367.0,,11.7,24.4,0.0,13.3,,1013.2,Panus lecomtei,"Crazy Horse, SD 57730, USA",1
03b98725-8a9b-4274-bfa0-ea29dfb9a4cb,299094106,2025-07-18 14:06:19-06:00,2025-07-18,-107.5766133333,38.88575,1760.0,,19.1,33.0,0.3,7.9,,1020.5,Panus lecomtei,"Grange Rd, Paonia, CO, US",3
a64ee60d-56ae-4f5f-8cf8-92453cbfa416,292478468,2025-06-06 13:12:29-06:00,2025-06-06,-104.8702083333,38.7907416667,1957.0,,10.0,19.0,8.4,12.3,,1020.8,Panus lecomtei,"El Paso County, US-CO, US",2
9cfea244-db5c-4e1b-aadd-a62c8be42ea1,289438243,2025-06-13 17:24:34-06:00,2025-06-13,-104.8372333333,38.7345,1974.0,,17.0,27.0,0.2,11.9,,1019.5,Panus lecomtei,"Blackmer Loop, Colorado Springs, CO, US",1
cd3069c7-4b43-4ba7-9a80-295688e82f37,289280409,2025-06-13 09:09:54-06:00,2025-06-13,-104.8655868365,38.7891703302,1932.0,,17.0,27.0,0.2,11.9,,1019.5,Panus lecomtei,"Strawberry Hill Trail, Colorado Springs, CO, US",2
f6374304-b9e2-4a55-b9f1-80f3996f1114,286136982,2025-05-30 08:52:22-06:00,2025-05-30,-105.2793803439,40.2108658251,1655.0,,8.1,28.1,7.1,5.5,,1022.7,Panus lecomtei,"Lyons, CO 80540, USA",1
795353f9-71df-4270-9295-590c1c471cfb,239447292,2024-08-27 14:40:59-06:00,2024-08-27,-106.2158550713,36.2149436777,1838.0,,13.9,25.2,,9.3,,,Panus lecomtei,"La Cienega Dr, Abiquiu, NM, US",1
4d710a9b-4352-4483-a014-fd87454eba7a,238192818,2024-08-26 17:19:21-06:00,2024-08-26,-103.9746742275,44.4010038874,1665.0,,14.0,20.0,20.0,11.2,,1020.2,Panus lecomtei,"Lawrence County, US-SD, US",2
2e7d6072-a020-4131-be06-5f9ced5f0122,236851576,2024-08-19 19:25:24-06:00,2024-08-19,-104.8476730975,38.7569463543,2119.0,,18.0,28.0,0.9,9.3,,1024.8,Panus lecomtei,"Colorado, US",1
e77a49ce-d98a-4a72-8e60-bd021fdf383e,236849824,2024-08-19 19:31:10-06:00,2024-08-19,-104.86515043,38.79031468,1924.0,,18.0,28.0,0.9,9.3,,1024.8,Panus lecomtei,"2130 S Cheyenne Canyon Rd, Colorado Springs, CO 80906, USA",1
1d96c95d-5918-42bb-a836-ca7019ce98e9,235778014,2024-08-14 11:10:51-06:00,2024-08-14,-107.9077444444,37.8959583333,2531.0,,9.0,20.0,0.1,7.9,,1032.4,Panus lecomtei,"Mountain Village, CO 81435, USA",4
2374cd67-39fe-494a-9240-064d375936b9,233846841,2024-08-04 12:58:08-06:00,2024-08-04,-106.6123264,35.9100159997,2568.0,,18.0,31.7,0.0,6.8,,1025.8,Panus lecomtei,"Jemez Springs, NM 87025, USA",1
