uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
c356411c-f1fb-4332-a596-b1b182018e85,375271211,2026-06-25 10:54:29-06:00,2026-06-25,-105.0896419974,40.5893200588,1533.0,,13.3,23.9,9.2,7.4,,,Parasola plicatilis,"Laporte Ave, Fort Collins, CO, US",1,
a3787fd1-cb9b-4c26-8a13-653103b8a88b,374011175,2026-06-21 07:18:31-06:00,2026-06-21,-105.0784078211,39.9321066152,1651.0,,15.0,32.0,0.5,7.5,,,Parasola plicatilis,"Bosque St, Broomfield, CO, US",1,
ecc76cc5-b0fa-4b30-af89-641152e6053c,310507181,2025-08-31 09:45:51-06:00,2025-08-31,-104.708499359,39.1001105526,2277.0,,7.0,22.0,0.0,10.6,,1030.8,Parasola plicatilis,"Walker Rd, Colorado Springs, CO, US",1,
26cf6800-03b2-4b57-970b-c24228b1aeef,303157664,2025-07-26 08:44:49-06:00,2025-07-26,-104.90708,40.4750633333,1464.0,,15.0,36.1,0.0,12.1,,1009.5,Parasola plicatilis,"Weld County, US-CO, US",1,
4d520039-c3e0-4fc4-b159-37feb1255858,301043464,2025-07-25 07:39:49-06:00,2025-07-25,-104.9621666667,39.72332,1628.0,,16.5,30.3,0.0,12.8,,1013.3,Parasola plicatilis,"Westwood Dr, Denver, CO, US",1,
37abb8c0-2465-4505-8c41-72a6d5e6fede,296041391,2025-07-07 08:35:00-06:00,2025-07-07,-105.1241790792,39.9921904501,1638.0,,11.9,33.3,0.0,8.6,,1020.6,Parasola plicatilis,"Louisville, CO, USA",1,
d408168a-8443-46ea-b23c-3bb816d15405,284566804,2025-05-27 08:43:51-06:00,2025-05-27,-104.89917,39.7288083333,1642.0,,8.6,20.4,0.4,10.9,,1017.1,Parasola plicatilis,"E Severn Dr, Denver, CO, US",1,
5cdb7980-a5c8-43b1-9d2e-c9a1d522eb9a,234974295,2024-08-10 08:31:17-06:00,2024-08-10,-105.0223305556,39.5459083333,1699.0,,13.9,27.8,,15.1,,1019.6,Parasola plicatilis,"Highlands Ranch, CO 80129, USA",1,
7c9edd61-1b21-426e-92c8-07c00f54a32f,231562309,2024-05-18 11:01:44-06:00,2024-05-18,-106.0698,36.0642,1725.0,,13.5,25.4,1.5,11.3,,1020.3,Parasola plicatilis,"White Swan Rd, Ohkay Owingeh, NM, US",1,
a6deaa2a-caee-47df-b250-5e37e17dc2e7,224008128,2024-06-20 10:43:08-06:00,2024-06-20,-105.2195744589,40.0592586189,1599.0,,13.0,32.0,1.8,7.2,,1020.3,Parasola plicatilis,Celestial Seasonings,1,
