uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
ff187245-5f51-4dd6-94e5-ca9a984264f7,330875732,2025-12-13 14:55:00-07:00,2025-12-13,-104.8948187802,39.5703635734,1739.0,,-1.0,18.0,0.0,16.8,,1020.2,Phloeomana speirea,"Centennial, CO, USA",1,
025f02d5-66f9-4c09-91ef-81bafd291006,225238192,2024-06-25 19:01:43-06:00,2024-06-25,-105.8104416667,35.7936805556,3046.0,,16.7,33.9,0.0,14.8,,1009.8,Phloeomana speirea,"San Ildefonso Pueblo, NM 87506, USA",1,
48b8e159-c50b-4da6-9ff7-33f3c2e6df30,197172749,2023-07-24,2023-07-24,-105.8002,35.8,3266.0,,17.2,35.0,0.0,11.8,,1017.2,Phloeomana speirea,"Aspen Basin Area, Santa Fe National Forest, Santa Fe, New Mexico, USA",3,
be898c83-5e89-4e4c-852f-7af94d80a2ee,3550253,2014-08-16,2014-08-16,-107.8955,37.9033,2842.0,,,,,,,,Phloeomana speirea,"South Fork Rd., Uncompaghre National Forest, San Juan Co., Colorado, USA",1,
35d0836e-2377-4cb4-b18b-f0ead706cc51,125864621,2022-07-10 17:12:41-07:00,2022-07-10,-121.736819427,45.2793408793,1121.0,,13.5,27.3,0.0,12.0,,1024.0,Phloeomana speirea,"Mt. Hood Park Division Recreation Area, Government Camp, OR, US",2,
86967d4b-a865-41ed-809c-90f0b162b098,244419497,2024-09-27 19:32:22-07:00,2024-09-27,-122.5638416667,45.238075,174.0,,13.9,22.8,,12.0,,1018.8,Phloeomana speirea,"S Buckner Creek Rd, Mulino, OR, US",1,84QV6CQP+
16b9c85d-ef5c-4b5c-9a63-f6bcb307c116,340273572,2026-02-02 22:54:00-08:00,2026-02-02,-122.6238614728,45.4628052696,44.0,,6.1,11.1,0.3,11.5,,1026.6,Phloeomana speirea,"Ardenwald, Milwaukie, OR, USA",1,84QVF97G+
2f8e105f-b635-4c45-81d6-1e409fe667a1,333807494,2025-12-29 13:05:00-08:00,2025-12-29,-122.7205166667,45.5277833333,242.0,,0.0,7.0,0.0,7.8,,1032.0,Phloeomana speirea,"Hillside, Portland, OR 97210, USA",1,84QVG7HH+
06797642-08ca-4401-9edf-01f14192f81a,330652789,2025-12-13 14:51:11-08:00,2025-12-13,-122.6550670477,45.4779009134,6.0,,7.0,13.0,0.0,5.7,,1017.0,Phloeomana speirea,"Oaks Bottom Wildlife Refuge, Portland, OR, US",1,84QVF8HV+
1a876af9-f8fc-4363-96b6-88a1bd2a55d1,327818658,2025-11-07 15:20:51-08:00,2025-11-07,-122.49853,45.480117,126.0,,6.9,14.0,1.8,5.2,,1022.6,Phloeomana speirea,"Pleasant Valley, Portland, OR, USA",1,84QVFGJ2+
a0131377-d627-4af3-91aa-3e189ea6129d,256567566,2024-12-28 16:01:33-08:00,2024-12-28,-122.7119366667,45.5353383333,57.0,,8.9,12.8,1.5,14.4,,1010.8,Phloeomana speirea,"NW Thurman St, Portland, OR, US",1,84QVG7PQ+
54a7713e-5c20-4311-89bc-f9a841bbce25,251133861,2024-10-16 15:25:48-07:00,2024-10-16,-122.7847138889,45.5796611111,283.0,,11.7,17.8,,5.5,,1016.8,Phloeomana speirea,"Linnton, Portland, OR, USA",1,84QVH6H8+
decdf557-490a-404a-bc13-825cb0ed5cfa,249689131,2024-10-29 13:48:28-07:00,2024-10-29,-122.6777583333,45.4421416667,78.0,,7.8,14.4,0.0,5.8,,1019.6,Phloeomana speirea,"Tryon Creek State Natural Area, Portland, OR, US",1,84QVC8RC+
