uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
be490571-e34a-4a9f-a9e6-48309eced636,387380142,2026-08-01 11:00:48-06:00,2026-08-01,-105.682555,36.0501638333,2724.0,,14.5,29.6,2.4,11.8,,1019.3,Phyllotopsis nidulans,"Forest Service Road 207, Truchas, NM, US",1,
23ec8019-f0c5-4d73-b3c4-48e010d16112,387344756,2026-08-01 13:09:04-06:00,2026-08-01,-105.4959128111,36.1143851162,2657.0,,8.7,24.1,2.7,3.2,,,Phyllotopsis nidulans,"Agua Sarca Trail, Vadito, NM, US",1,
9eafc4f5-efc6-4dad-8a94-902c6e90b836,373977712,2025-09-28 10:34:55-06:00,2025-09-28,-106.0895611667,39.20152,3247.0,,1.0,13.0,2.5,8.0,,1030.6,Phyllotopsis nidulans,"Pike and San Isabel National Forests, Fairplay, CO, US",1,
815bdd86-10a1-4530-b7ce-53733a2fec8a,365559795,2026-05-26 13:25:48-06:00,2026-05-26,-105.4988013495,39.5661116246,3108.0,,0.0,4.0,6.0,17.0,,,Phyllotopsis nidulans,"Colorado, US",1,
35e07b68-24a8-46e7-bc00-fdf0c95f3bf4,335427244,2026-01-19 13:28:44-07:00,2026-01-19,-107.1393278333,37.4423366667,2560.0,,-10.0,9.0,0.0,5.2,,1022.2,Phyllotopsis nidulans,"Forest Service Road 634, Pagosa Springs, CO, US",2,
431523ff-8d44-4732-97e0-d4d1211fd7ee,334566394,2024-07-17 15:17:43-06:00,2024-07-17,-108.094374695,39.0460856218,3034.0,,16.6,34.8,0.0,10.2,,1014.5,Phyllotopsis nidulans,"Grand Mesa Uncompahgre and Gunnison National Forests, Whitewater, CO, US",1,
7cd9355d-0834-4b8e-865a-69c5a54a41ba,326333210,2024-08-13 07:46:00-06:00,2024-08-13,-105.3518059215,39.6831567268,2358.0,,17.0,29.0,2.5,15.6,,1020.0,Phyllotopsis nidulans,"Keystone Dr, Evergreen, CO, US",2,
5dd980f3-6990-420b-9337-ffde15d7e2cd,324089021,2022-08-20 09:22:56-06:00,2022-08-20,-107.8875666667,37.8846883333,2943.0,,10.0,17.0,13.8,5.1,,1029.5,Phyllotopsis nidulans,"San Miguel County, US-CO, US",1,
4e4ccb62-e765-4b0a-a6e1-1f727a613a03,323281287,2025-09-14 15:08:28-06:00,2025-09-14,-105.5195580796,39.9497085857,2653.0,,11.0,24.0,2.3,4.0,,1017.3,Phyllotopsis nidulans,"Eldora Rd, Nederland, CO, US",1,
29565503-7ba0-4081-9a03-8df6615494bf,320533795,2025-10-12 16:20:53-06:00,2025-10-12,-106.3662113997,35.8387455,2342.0,,10.0,19.0,0.4,12.4,,1016.5,Phyllotopsis nidulans,"Los Alamos County, NM, USA",1,
8d478136-3670-4926-8e46-79afa7c8b3f7,319984708,2025-10-09 17:31:14-06:00,2025-10-09,-105.3214116667,41.229225,2457.0,,6.6,17.6,0.0,15.5,,1022.0,Phyllotopsis nidulans,"Buford, WY, US",1,
b00f7788-e4d1-44f7-8f6e-77029d36c1c7,316888178,2025-09-26 18:04:04-06:00,2025-09-26,-107.1222305,37.4433616667,2653.0,,4.0,22.0,1.1,6.1,,1024.4,Phyllotopsis nidulans,"County Road 634, Creede, CO, US",1,
71f27297-22fc-4e2c-9e38-57947aa9c27c,316118445,2025-09-23 10:40:32-06:00,2025-09-23,-105.8019866667,35.7867616667,3276.0,,8.0,26.0,0.0,16.5,,1022.9,Phyllotopsis nidulans,"Santa Fe National Forest, Tererro, NM, US",1,
7d24b5a7-c2b4-4d17-9be2-1068123f28cd,315971668,2025-09-20 14:54:03-06:00,2025-09-20,-106.998305,40.8552033333,2708.0,,7.0,22.0,0.8,7.2,,1023.9,Phyllotopsis nidulans,"County Road 129E, Clark, CO, US",1,
22b558bb-62ed-4268-877c-3999ce0d7a8a,315323318,2025-09-19 11:58:29-06:00,2025-09-19,-105.8919435029,35.6886230379,2235.0,,11.0,25.0,0.0,10.8,,1023.8,Phyllotopsis nidulans,"Cerro Gordo Rd, Santa Fe, NM, US",1,
a1ce03b9-8e6b-4fbd-862e-af48e324e8e1,315317970,2025-09-20 12:26:13-06:00,2025-09-20,-105.30658,39.4662783333,2459.0,,11.0,25.0,1.2,8.5,,1021.1,Phyllotopsis nidulans,"S Baird Rd, Conifer, CO, US",2,
82d69f4c-ad1a-41d8-ae3f-6b0e2ea07720,308900763,2025-08-24 10:12:35-06:00,2025-08-24,-105.1371705704,39.2982170654,2294.0,,14.4,21.7,,10.9,,1018.9,Phyllotopsis nidulans,"Colorado, US",1,
9d3b2344-2af4-420a-a9e5-2a86f0683718,308829548,2025-08-23 12:51:07-06:00,2025-08-23,-105.445825,39.60967,2517.0,,0.5,14.1,3.4,10.2,,1024.6,Phyllotopsis nidulans,"Evergreen, CO, US",1,
d4bc916a-3ff2-49dc-bfb2-5686b5f4ab82,255996776,2024-12-22 16:16:24-07:00,2024-12-22,-105.4150307178,39.5275976265,2855.0,,-10.2,-2.2,0.0,17.1,,1018.0,Phyllotopsis nidulans,"Pine, CO 80470, USA",1,
9e92bcc6-18bd-4eee-af12-4db1a5a3bc9d,244003132,2024-09-22 14:27:55-06:00,2024-09-22,-105.53388,40.08165,3057.0,,8.0,17.0,16.0,4.5,,1023.0,Phyllotopsis nidulans,"Sourdough Trail, Ward, CO, US",1,
88fd2996-596a-4449-9d86-1fdd9c6ab94e,243505586,2024-09-22 18:37:59-06:00,2024-09-22,-105.685809029,39.8692636165,3387.0,,-4.0,5.2,3.0,8.5,,1021.2,Phyllotopsis nidulans,"Colorado, US",2,
de3da617-12fc-4913-9724-875e33167ceb,243430072,2024-09-22 11:44:01-06:00,2024-09-22,-107.1153638333,38.69955,2887.0,,3.3,16.1,,5.9,,1020.4,Phyllotopsis nidulans,"Grand Mesa Uncompahgre and Gunnison National Forests, Gunnison, CO, US",1,
5802d60b-f7ee-4392-8a0b-dde4c21f7c19,241839949,2024-09-07 10:51:04-06:00,2024-09-07,-105.0660638333,39.2224216667,2706.0,,8.4,26.9,0.0,11.8,,1018.6,Phyllotopsis nidulans,"Pike and San Isabel National Forests, Sedalia, CO, US",1,
f502ac88-796f-411e-8ab6-37d249603ac9,241410130,2024-09-07 10:33:21-06:00,2024-09-07,-105.0592278333,39.220255,2748.0,,8.4,26.9,0.0,11.8,,1018.6,Phyllotopsis nidulans,"Pike and San Isabel National Forests, Sedalia, CO, US",1,
