uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
230497e8-088a-4738-b405-c837b92bc6c7,388494226,2026-08-01 09:39:00-06:00,2026-08-01,-105.4591194029,36.0099385104,2735.0,,8.7,24.1,2.7,3.2,,,Pleurotus dryinus,"New Mexico, US",2,
5812b2ff-f2d8-400d-8802-f0f602224ed3,313875384,2025-09-13 13:53:26-06:00,2025-09-13,-108.0790945,37.3704033333,2692.0,,8.0,18.0,6.9,6.6,,1021.7,Pleurotus dryinus,"CR-124, Mancos, CO, US",1,
b7a131aa-374d-4fb7-90f6-ee050b60a00b,310767500,2025-08-31 13:54:27-06:00,2025-08-31,-105.029462149,38.7326340211,2843.0,,9.9,21.6,0.0,7.5,,1021.6,Pleurotus dryinus,"Pike and San Isabel National Forests, Victor, CO, US",1,
fc1a4c3a-8713-49b8-a372-16d7fead3bbb,248814224,2024-10-23 17:06:40-06:00,2024-10-23,-107.7556833333,38.1515471667,2138.0,,2.0,17.0,0.0,7.9,,1032.5,Pleurotus dryinus,"Sherman St, Ridgway, CO, US",2,
14af1eed-b9d6-4154-87bd-dceed37f347d,238720089,2024-08-27 07:45:22-06:00,2024-08-27,-104.85615,38.8227666667,1862.0,,15.0,28.3,0.0,15.1,,1019.0,Pleurotus dryinus,"Broadmoor, Colorado Springs, CO 80905, USA",1,
29e14d79-7057-4b8f-9627-cbe59cdafb80,138271795,2022-10-10 10:25:35-06:00,2022-10-10,-105.0514639299,40.0672123718,1534.0,,2.3,24.2,0.0,3.1,,1018.6,Pleurotus dryinus,"Colorado, US",1,
3509e70c-2f57-4e95-a725-95826477c155,16213479,2018-08-28 14:59:46-06:00,2018-08-28,-106.3705572858,37.5126651505,3141.0,,2.2,27.8,0.0,9.4,,1014.3,Pleurotus dryinus,"Rio Grande County, CO, USA",1,
ed51ea4b-e565-4a28-b5c2-2d28dc01cdf9,327756970,2025-10-27 11:19:37-07:00,2025-10-27,-121.9609135,45.3281745,407.0,,7.0,12.0,2.6,5.9,,1026.2,Pleurotus dryinus,"E Elk Park Rd, Welches, OR, US",1,
cc1db820-5279-4eff-80d5-e87fc0f6fc22,260771594,2024-10-26 19:12:00-07:00,2024-10-26,-121.9609135,45.3281745,407.0,,11.1,16.1,,21.2,,1014.6,Pleurotus dryinus,"E Elk Park Rd, Welches, OR, US",1,
7470bf7f-2512-4ef7-b149-7b37a4ac0cea,250746563,2024-11-06 15:00:19-08:00,2024-11-06,-121.879529,45.32002145,807.0,,2.0,10.7,0.0,8.0,,1029.3,Pleurotus dryinus,"Mt. Hood Park Division Recreation Area, Rhododendron, OR, US",1,
