uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
2ed0d2d2-9e50-4c69-8c89-c49ca4610a66,367199730,2026-05-31 15:04:13-06:00,2026-05-31,-105.017975,40.556555,1491.0,,9.4,26.7,0.0,5.6,,,Pleurotus ostreatus,"Fort Collins, CO 80525, USA",1,
dac9ea6d-68a3-470a-af44-d19a3c924fb1,358047682,2026-05-03 14:32:52-06:00,2026-05-03,-105.2857284546,40.05443573,1693.0,,5.5,24.0,0.0,9.8,,,Pleurotus ostreatus,Boulder,1,
311a6692-ec76-413f-93cd-250acfc36384,356210906,2026-04-28 13:20:02-06:00,2026-04-28,-104.9761509747,39.6014447401,1684.0,,1.7,11.7,0.3,8.9,,,Pleurotus ostreatus,"High Line Canal Trail, Centennial, CO, US",1,
0891c3ce-b64f-4b04-8b47-4108da0805f5,344907549,2026-03-24 09:26:11-06:00,2026-03-24,-105.1212283333,39.7741683333,1651.0,,8.2,26.1,0.0,12.2,,1015.2,Pleurotus ostreatus,"Fruitdale, Wheat Ridge, CO 80033, USA",1,
37a0419a-fc43-4780-921a-4e3e53d5d88b,335531006,2021-06-03 16:55:02-06:00,2021-06-03,-104.9618133333,39.66833,1642.0,,10.0,26.7,0.0,11.2,,1014.1,Pleurotus ostreatus,"S Gaylord St, Denver, CO, US",1,
48047cd7-74e8-485a-b976-319c9056aad3,324382179,2025-10-28 16:44:07-06:00,2025-10-28,-105.0031825528,39.4811136865,1716.0,,-2.0,7.0,0.0,13.4,,1029.2,Pleurotus ostreatus,"Louviers, CO, USA",1,
523f5a84-c70b-4cbe-a028-79e7b75323d0,320934854,2025-10-14 16:04:45-06:00,2025-10-14,-105.8838356393,36.1961883637,1842.0,,10.3,17.9,8.4,15.5,,1017.8,Pleurotus ostreatus,"NM-75, Chimayo, NM, US",1,
f10014e7-2ade-4a3c-92aa-2983143acf8f,302394498,2025-05-17 14:53:02-06:00,2025-05-17,-104.9004174584,39.8832579739,1544.0,,10.4,20.0,0.0,13.5,,1008.3,Pleurotus ostreatus,"Colorado, US",1,
dc78a2a3-4b22-4dc7-8621-032387ce0a89,285215374,2025-05-29 18:29:00-06:00,2025-05-29,-105.2650375366,40.0016403198,1652.0,,9.0,19.0,0.9,3.7,,1023.1,Pleurotus ostreatus,Boulder,1,
c2c3ef9a-8ed7-4781-8784-65d5d0b1a8dd,282519742,2025-05-18 11:02:53-06:00,2025-05-18,-103.9015081997,38.7408712,1627.0,,6.2,21.1,0.0,18.4,,1001.4,Pleurotus ostreatus,"Rush, CO 80833, USA",1,
353ae591-e13b-4d88-ae2f-a1671e33daf2,275801074,2025-04-28 10:11:34-06:00,2025-04-28,-105.2761535645,39.9328613281,1766.0,,6.0,18.0,1.9,14.1,,1012.4,Pleurotus ostreatus,Eldorado Springs,1,
6a5eea40-19c8-4d4c-a810-c048691eb653,273281240,2025-04-25 12:34:17-06:00,2025-04-25,-105.01670889,40.55480938,1490.0,,3.9,7.2,2.4,14.6,,1021.4,Pleurotus ostreatus,"Fort Collins, CO 80525, USA",1,
41904b69-6896-4f28-a203-d27e156bc58f,272854402,2025-04-24 18:08:28-06:00,2025-04-24,-105.0824445,40.5986633333,1522.0,,6.1,17.2,1.1,14.2,,1013.5,Pleurotus ostreatus,"Hickory Trail, Fort Collins, CO, US",1,
a33412dd-310e-4f3e-aa58-b1cf60df7324,272476073,2025-04-23 10:50:46-06:00,2025-04-23,-105.08887943,40.19405007,1534.0,,6.5,17.8,0.8,6.2,,1017.8,Pleurotus ostreatus,"Longmont, Colorado, EE. UU.",1,
1c75a1ee-0219-4247-ad5c-ad33f36db828,270425634,2025-04-13 09:22:20-06:00,2025-04-13,-105.0798861667,40.5782916667,1529.0,,7.2,21.1,1.6,17.0,,1008.9,Pleurotus ostreatus,"W Laurel St, Fort Collins, CO, US",1,
5f20dd10-636e-4e6c-be70-e1d810c70a82,266940168,2018-04-20,2018-04-20,-104.8652878404,38.7909594526,1924.0,,0.0,11.1,20.3,24.1,,1013.2,Pleurotus ostreatus,"Colorado Springs, CO 80906, USA",1,
5a117300-5878-4531-8862-5b3f5fc7f362,224309291,2024-06-21 20:13:30-06:00,2024-06-21,-105.1272176206,39.775919251,1653.0,,16.0,28.1,0.1,11.6,,1019.8,Pleurotus ostreatus,"Fruitdale, Wheat Ridge, CO 80033, USA",1,
8b5f24b0-8363-4e3c-af22-b36bbc6385a9,220321822,2024-06-03 09:09:00-06:00,2024-06-03,-105.2385498757,40.0962334863,1614.0,,12.0,30.0,0.0,12.1,,1009.6,Pleurotus ostreatus,"Colorado, US",1,
d6a26071-e6e7-4316-93b3-98069e165bb7,215413638,2024-05-12 20:06:27-06:00,2024-05-12,-102.3511853233,43.2379003162,969.0,,4.4,25.0,,10.0,,1008.8,Pleurotus ostreatus,"Oglala Lakota County, US-SD, US",1,
400525a1-a667-48a6-99ec-2dcf7e6bd5ba,214924429,2024-05-10 18:44:07-06:00,2024-05-10,-105.1678783333,40.6356383333,1570.0,,6.7,16.1,0.0,6.7,,1023.0,Pleurotus ostreatus,"Laporte, CO, US",1,
d60330b0-70e0-4f89-ba46-dda5b8cf9c9c,213466223,2024-05-04 09:53:10-06:00,2024-05-04,-105.0788016078,40.5975764487,1515.0,,1.1,17.2,0.0,12.0,,1016.7,Pleurotus ostreatus,"Cache la Poudre River, Fort Collins, CO, US",1,
41e68ac2-a903-4ddc-ba32-4ef6bce804f3,209259715,2024-04-25 08:33:58-06:00,2024-04-25,-105.2696971019,40.0043416434,1658.0,,7.0,20.0,0.5,7.0,,1008.2,Pleurotus ostreatus,"Broadway, Boulder, CO, US",1,
885576f4-fdf4-49d9-bc2a-049817879203,199829257,2021-04-14 17:51:00-06:00,2021-04-14,-104.9975695351,39.7572430267,1582.0,,-0.6,8.7,,21.1,,1018.6,Pleurotus ostreatus,"Colorado, US",1,
3e2ca032-f9ca-4e24-9989-e13949c6f680,188888821,2023-10-21 11:32:00-06:00,2023-10-21,-105.0371764433,39.7978097388,1596.0,,10.0,26.0,0.0,10.4,,1017.2,Pleurotus ostreatus,"Berkley, CO, USA",1,
6dd7d561-6d7b-4d12-b497-7653fa7f335f,184069947,2023-09-18 07:46:01-06:00,2023-09-18,-104.65445,38.264275,1462.0,,10.6,30.6,0.0,13.7,,1011.2,Pleurotus ostreatus,"Goodnight Ave, Pueblo, CO, US",1,
6e1cc767-e3d1-433f-802f-4034833bcfc4,182901710,2023-09-10 17:42:00-06:00,2023-09-10,-104.9097966667,39.1251445,2205.0,,10.7,22.4,,15.3,,1018.7,Pleurotus ostreatus,"Oakdale Dr, Palmer Lake, CO, US",1,
52e0109e-b389-4135-8a44-3da6e3290357,180645881,2023-08-28 10:28:09-06:00,2023-08-28,-106.3503883333,35.8206666667,2246.0,,16.4,23.7,,10.1,,1027.6,Pleurotus ostreatus,"Bandelier National Monument, Los Alamos, NM, US",1,
f30637cb-7867-4a55-b797-6fdb550807cd,167306791,2023-05-27 14:49:45-06:00,2023-05-27,-106.17852,42.8576966667,1545.0,,7.2,22.2,0.3,12.2,,1009.2,Pleurotus ostreatus,"Edness K. Wilkins State Park, Evansville, WY, US",1,
cf3b3b0d-d908-4052-a005-d5c3f13c49c0,166881442,2023-06-11 14:22:12-06:00,2023-06-11,-104.9088622243,39.3937828129,1913.0,,8.3,17.8,,9.6,,1015.9,Pleurotus ostreatus,"Iron Springs Pl, Castle Rock, CO, US",1,
fbee703e-b12e-402b-a46b-e0c8b0f45063,165939106,2023-06-06 12:11:16-06:00,2023-06-06,-105.0834055,40.5976333333,1523.0,,10.0,23.9,0.0,8.3,,1014.1,Pleurotus ostreatus,"Lee Martinez Park, Fort Collins, CO, US",1,
35256e7f-6c41-4e1b-8282-27d40ebbe44f,162771182,2023-05-20 13:51:42-06:00,2023-05-20,-105.21093,39.7165916667,1897.0,,9.0,19.0,0.0,6.4,,1025.1,Pleurotus ostreatus,"Golden, CO, US",1,
49250ff1-3cd9-424f-b70d-ff1f24cc731e,162152178,2023-05-17 09:26:22-06:00,2023-05-17,-104.7801027778,39.7017694444,1699.0,,9.9,24.0,0.2,12.7,,1012.1,Pleurotus ostreatus,"Tollgate Overlook, Aurora, CO 80017, USA",1,
7957297b-d2c1-4deb-8e9d-c2e6b3c6be51,162053232,2023-05-16 10:26:07-06:00,2023-05-16,-105.1172907348,39.9371158663,1627.0,,8.0,25.0,2.0,10.3,,1022.6,Pleurotus ostreatus,"Colorado, US",1,
b6b0e9d9-4bc9-49f8-8127-bb132e9c2057,158919032,2023-05-01 16:08:19-06:00,2023-05-01,-105.0268194444,39.9459,1604.0,,2.9,21.7,0.0,5.3,,1014.7,Pleurotus ostreatus,"Westminster, CO 80023, USA",1,
e7499bdf-34a1-4487-ba94-6caa0eda36f8,158914313,2023-05-01 16:50:27-06:00,2023-05-01,-105.1336201298,39.773660365,1651.0,,5.0,22.0,0.0,11.3,,1015.1,Pleurotus ostreatus,"Clear Creek Trail, Wheat Ridge, CO, US",1,
61c509ed-9a9f-4df5-a21c-1c84c196973c,158262785,2023-04-30 12:15:42-06:00,2023-04-30,-105.2549666667,39.6668583333,2002.0,,7.0,19.0,0.0,10.1,,1018.3,Pleurotus ostreatus,"Lair o’ the Bear Trailhead, Indian Hills, CO, US",1,
2c37c6b9-0d52-4dbe-87a1-24a45aa228d3,148650883,2023-02-12 17:02:43-07:00,2023-02-12,-108.3537443964,39.1129882535,1451.0,,-6.0,11.7,0.0,5.4,,1019.8,Pleurotus ostreatus,"Victoria Dr, Palisade, CO, US",1,
600772c8-2713-43a8-ab9d-524a02deedc3,137597003,2022-10-04 17:48:36-06:00,2022-10-04,-107.5125116667,39.5684133333,1715.0,,5.0,22.2,0.0,5.5,,1020.1,Pleurotus ostreatus,"Castle Valley Blvd, New Castle, CO, US",1,
34f600de-4955-4619-97a8-01b5a785aae2,128380995,2022-07-28 16:06:20-06:00,2022-07-28,-105.283433497,40.4205241533,1758.0,,14.4,23.3,20.0,13.2,,1018.3,Pleurotus ostreatus,"Loveland, CO 80537, USA",1,
dcff532f-6f5c-40e9-ba76-3eac4bda785e,128223153,2022-07-27 13:32:09-06:00,2022-07-27,-105.1578320947,39.6522939205,1709.0,,16.7,30.6,4.4,17.6,,1014.0,Pleurotus ostreatus,"Bear Creek Lake Park, Lakewood, CO, US",1,
aa41c0ee-8b04-4106-b074-368303658993,128211226,2022-07-27 12:50:02-06:00,2022-07-27,-105.5660845591,40.0314552463,3144.0,,16.0,30.0,5.0,8.4,,1020.9,Pleurotus ostreatus,"Arapaho & Roosevelt National Forests Pawnee National Grassland, Ward, CO, US",1,
