uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
15d339da-240e-4031-be06-02a878802139,391960215,2026-07-30 17:48:55-06:00,2026-07-30,-106.3831358997,35.8920048,2795.0,,20.6,32.9,4.3,4.4,,,Pleurotus populinus,"Los Alamos County, NM, USA",1,
10776d3a-f843-42c3-bcdc-395f1ab9a46a,387715316,2026-07-03 14:00:32-06:00,2026-07-03,-106.5686259327,39.5710477699,2571.0,,7.2,30.0,0.5,4.9,,,Pleurotus populinus,"East Lake Creek Trail, Edwards, CO, US",1,
618ad636-618b-41d2-9f91-c84237e189f6,387658545,2026-08-02 14:19:17-06:00,2026-08-02,-105.3815083333,39.4987616667,2523.0,,21.1,37.2,0.0,8.8,,,Pleurotus populinus,"Davis Ponds Loops Trail, Pine, CO, US",1,
922af2ac-bf01-46c3-8387-c8773d3d95d4,387643136,2026-08-02 07:27:24-06:00,2026-08-02,-105.6016217185,39.954577507,2764.0,,8.0,18.0,0.0,12.0,,,Pleurotus populinus,"Boulder County, US-CO, US",1,
32e7ed5b-e70b-4382-a357-1700e376acbd,387554914,2026-08-01 19:43:06-06:00,2026-08-01,-105.868598938,39.5941696167,3150.0,,7.0,15.0,0.0,8.4,,,Pleurotus populinus,"Summit County, US-CO, US",1,
05f88664-75a9-47a1-9b44-34997bcb1c87,387550274,2026-08-01 18:40:55-06:00,2026-08-01,-105.4888301141,39.6233255163,2533.0,,7.0,15.0,0.0,8.4,,,Pleurotus populinus,"Colorado, US",1,
a81eacdf-9bed-4058-9a71-84205e5999be,387340970,2026-08-01 12:13:55-06:00,2026-08-01,-104.93972509,38.73695346,2990.0,,17.4,29.6,0.0,5.3,,,Pleurotus populinus,"Teller County, US-CO, US",1,
ba4ef332-92b4-4dce-bc42-4b7f5d100f30,387262366,2026-08-01 10:51:40-06:00,2026-08-01,-105.4753282901,36.1390179761,2694.0,,8.7,24.1,2.7,3.2,,,Pleurotus populinus,"Taos County, US-NM, US",1,
1b7577cf-8e32-4330-8a1f-e8f47ac0664e,385726357,2026-07-27 11:13:58-06:00,2026-07-27,-107.7700622007,37.9191609681,3078.0,,12.0,24.0,7.0,4.5,,1019.3,Pleurotus populinus,Bridal Veil Falls,1,
af9ca4fc-d95a-46ad-aa82-8f6f551ef9c5,383124701,2026-07-19 14:46:42-06:00,2026-07-19,-107.8755434472,37.9149227336,2949.0,,11.0,23.7,0.4,5.8,,,Pleurotus populinus,"Grand Mesa Uncompahgre and Gunnison National Forests, Telluride, CO, US",1,
6bf5526e-e94b-4036-8e42-3881e7b4e43f,382825742,2026-07-18 11:04:11-06:00,2026-07-18,-105.4482777058,39.6779307955,2766.0,,4.8,13.0,0.5,10.8,,,Pleurotus populinus,"Clear Creek County, US-CO, US",1,
e3896eea-7ff5-4fb2-ba45-7f590048dc7c,381173002,2026-07-13 14:50:31-06:00,2026-07-13,-107.8765021302,37.9173858181,2951.0,,15.0,24.0,0.1,5.2,,,Pleurotus populinus,"Grand Mesa Uncompahgre and Gunnison National Forests, Telluride, CO, US",1,
17a136b5-979c-406e-ba72-78397347bda7,378510387,2026-07-05 10:43:04-06:00,2026-07-05,-106.7827383333,40.534645,2532.0,,6.8,31.4,0.0,2.1,,1014.7,Pleurotus populinus,"CR-38, Steamboat Springs, CO, US",1,
66ac779f-7bbd-437b-9b40-010b8045c3ba,373427496,2026-06-19 20:05:04-06:00,2026-06-19,-107.2397727147,39.1808171323,2194.0,,11.0,22.0,0.0,10.2,,,Pleurotus populinus,"Redstone Historic District, CO 81623, USA",1,
41c4e082-a2d0-4b9f-a33c-ef3426e83d94,372375443,2020-05-04 07:35:00-06:00,2020-05-04,-104.8142834756,39.0506184739,2181.0,,7.1,23.0,,24.3,,1012.0,Pleurotus populinus,"Gleneagle, CO 80921, USA",1,
cfa9f036-180a-42fd-b91a-bd0108e451e9,370197270,2026-06-09 09:33:12-06:00,2026-06-09,-105.1654971667,39.5785033333,1855.0,,13.9,31.7,0.0,8.4,,,Pleurotus populinus,"Willowleaf Dr, Littleton, CO, US",1,
605fa6a0-88bb-436f-8915-c229a4494ba5,369037155,2026-06-06 07:45:32-06:00,2026-06-06,-105.0849722222,40.3908527778,1511.0,,13.3,35.6,0.0,7.8,,1003.5,Pleurotus populinus,"9WQ7+PX, Loveland, CO 80537, USA",1,
cf609241-e9ed-4abd-899e-78f868b87435,368127485,2026-06-03 08:21:35-06:00,2026-06-03,-105.1170819347,40.5394466773,1567.0,,11.7,28.0,0.0,7.2,,,Pleurotus populinus,"Colorado, US",1,
6d71c60b-cb4d-45e1-bb58-0a344db5bbe2,363200588,2026-05-19 17:27:24-06:00,2026-05-19,-105.2075119019,39.7267456055,1849.0,,2.0,9.0,3.3,4.9,,,Pleurotus populinus,Golden,1,
ac5b8b57-914b-45c7-82b6-0ea402f37e58,350307252,2026-04-15 18:07:53-06:00,2026-04-15,-105.02115,39.8958366667,1646.0,,7.0,19.0,0.0,13.7,,1008.5,Pleurotus populinus,"Mushroom Pond Trail, Westminster, CO, US",1,
d0687a82-c0fe-46d5-aeec-3cf6d6828c75,349820114,2026-04-13 07:27:41-06:00,2026-04-13,-104.82643,38.8629883333,1863.0,,7.8,21.7,,9.7,,1005.2,Pleurotus populinus,"Monument Valley Park Loop, Colorado Springs, CO, US",1,
4ba2d35f-7028-4b8f-8173-cf51a43e5066,348331609,2026-04-03 14:37:11-06:00,2026-04-03,-105.026725,40.5611533333,1493.0,,2.8,13.0,0.0,12.6,,,Pleurotus populinus,"Sharp Point Dr, Fort Collins, CO, US",1,
31b2f687-9df8-4ebe-b875-01fc2599664f,345653329,2025-04-29 17:57:42-06:00,2025-04-29,-105.2470383333,39.75108,1756.0,,4.0,16.1,1.3,9.8,,1018.6,Pleurotus populinus,"Grant Terry Loop, Golden, CO, US",1,
d2fdb596-0393-4228-9caa-fdc6fef533a8,345109673,2026-03-25 10:07:36-06:00,2026-03-25,-105.073725,39.7858316667,1619.0,,13.7,31.0,0.0,15.7,,1015.8,Pleurotus populinus,"I-70 Corridor, Arvada, CO, USA",1,
7b046e2b-a8ca-4f7f-9f01-033eae9f0fe9,333665126,2022-05-19,2022-05-19,-105.0973192051,40.5944927826,1533.0,,5.6,30.0,0.0,16.5,,997.3,Pleurotus populinus,"Colorado, US",1,
32171a0a-af88-4256-9fd0-fb1935a832d1,326204377,2025-11-12 10:14:25-07:00,2025-11-12,-105.0299805556,39.8666416667,1689.0,,7.0,16.0,0.0,5.6,,1020.9,Pleurotus populinus,"East Central Westminster, Westminster, CO 80031, USA",1,
8a5520e6-ea7e-4c81-a3b4-18d0fddbb7cf,313962390,2025-09-14 13:33:44-06:00,2025-09-14,-107.825970836,37.6357921957,3019.0,,1.0,15.0,0.0,9.8,,1027.5,Pleurotus populinus,"Durango, CO 81301, USA",1,
3eed101d-f205-48cf-aa54-f8549c40cb87,312392806,2025-09-07 12:58:59-06:00,2025-09-07,-105.4769742397,37.7312529646,2895.0,,4.9,17.2,0.8,13.6,,1021.4,Pleurotus populinus,"Great Sand Dunes National Park, Alamosa County, US-CO, US",1,
8b6fc271-9026-42d7-a586-b467c0683d8e,310373493,2025-07-26 12:00:34-06:00,2025-07-26,-105.4526472597,40.4867216317,2347.0,,15.0,36.1,0.0,12.1,,1009.5,Pleurotus populinus,"Larimer County, US-CO, US",1,
24e666a3-223b-49bc-8ff7-62692d6ef49f,310341147,2025-08-30 13:33:50-06:00,2025-08-30,-105.3774265821,39.865696344,2659.0,,15.0,25.0,4.5,10.0,,1024.4,Pleurotus populinus,"Jefferson County, US-CO, US",1,
27b34eac-29f8-43d0-bc77-49bbe1930e64,310259118,2025-08-30 11:51:22-06:00,2025-08-30,-104.9237747192,38.8586349487,1967.0,,11.3,19.3,2.1,11.1,,1019.1,Pleurotus populinus,Manitou Springs,1,
a909f53c-6fe1-4b72-bcef-8ae7ad3cff3e,309169552,2021-07-11 14:21:32-06:00,2021-07-11,-108.1975166667,37.6951533333,3016.0,,13.0,26.0,0.0,6.0,,1032.2,Pleurotus populinus,"Stoner Mesa Trail, Dolores, CO, US",1,
fded80ef-2fa8-4480-b594-1e43ec6e80e3,307872782,2025-08-20 14:23:13-06:00,2025-08-20,-105.8057238476,35.7915182274,3135.0,,14.4,31.1,0.0,16.2,,1017.5,Pleurotus populinus,"Winsor Trail, Tererro, NM, US",1,
17b5bab7-2182-43cb-b936-f72030fef09a,307199762,2025-08-17 16:39:32-06:00,2025-08-17,-107.9027166667,37.8200133333,3169.0,,8.0,23.0,0.1,9.2,,1031.8,Pleurotus populinus,"Lizard Head Trail, Telluride, CO, US",3,
c0f02e14-475c-4b48-9bd1-c091918747dd,305372485,2025-08-10 13:09:02-06:00,2025-08-10,-106.7013383333,39.5285133333,2624.0,,12.8,27.8,0.0,13.0,,1014.1,Pleurotus populinus,"Sylvan Lake State Park-Colorado, Eagle, CO, US",1,
cfb1da4a-6fe6-4d59-8f4f-854437c3faca,305367216,2025-07-29 09:40:21-06:00,2025-07-29,-106.8873752544,38.8875266746,2861.0,,12.8,25.6,0.9,11.4,,1017.0,Pleurotus populinus,"Gunnison County, US-CO, US",1,
adce84c8-31ee-4fe2-bdf6-66564df2c6d6,304544865,2025-08-06 18:13:46-06:00,2025-08-06,-105.80301641,35.77670155,3084.0,,15.0,35.0,0.0,13.4,,1016.7,Pleurotus populinus,"Santa Fe County, US-NM, US",1,
3e6cee83-bfce-4d14-80a8-250d54532f59,302989923,2025-07-26 14:15:27-06:00,2025-07-26,-104.9778807,37.8731732997,2790.0,,15.0,34.0,0.0,11.5,,1011.2,Pleurotus populinus,"Rye, CO 81069, USA",1,
c6ca1684-5e2f-43c2-90ca-9192804f4e1d,302769543,2025-07-31 18:24:34-06:00,2025-07-31,-105.6499716667,40.3127533333,2920.0,,3.7,25.6,1.3,8.4,,1034.2,Pleurotus populinus,"Rocky Mountain National Park, Estes Park, CO, US",1,
eb67cd5a-f595-45a7-846d-bd7853aac89d,302239816,2025-07-29 18:35:34-06:00,2025-07-29,-107.8753855117,37.9158539803,2949.0,,13.0,22.0,1.3,5.2,,1035.6,Pleurotus populinus,"Grand Mesa Uncompahgre and Gunnison National Forests, Telluride, CO, US",1,
635c298e-6041-41cc-9626-4c93eecbfcbd,301380239,2025-07-26 13:03:41-06:00,2025-07-26,-105.0893611111,39.0326861111,2508.0,,11.9,31.6,0.0,11.0,,1011.0,Pleurotus populinus,"Woodland Park, CO 80863, USA",1,
22da963c-3d15-4046-a9d1-1398783e91d9,301096946,2025-07-25 12:18:56-06:00,2025-07-25,-106.9689333333,38.9296916667,2996.0,,7.8,27.2,0.0,7.3,,1013.7,Pleurotus populinus,"Washington Gulch Rd, Crested Butte, CO, US",1,
401f5a1d-2c1f-4529-9eca-1ee6592974a4,300739653,2025-07-22 12:01:00-06:00,2025-07-22,-105.7992694444,35.7987222222,3249.0,,15.6,29.4,4.1,16.0,,1010.6,Pleurotus populinus,"Santa Fe County, NM, USA",1,
250a2764-21bb-4172-9e2c-6810146c32e2,300112147,2025-07-22 06:25:47-06:00,2025-07-22,-107.04395472,40.25144875,2668.0,,13.1,28.9,0.0,14.3,,1018.7,Pleurotus populinus,"Oak Creek, CO 80467, USA",2,
92f8a888-799c-425f-91eb-b7452ec47c49,299957182,2025-07-20 06:43:00-06:00,2025-07-20,-105.0999410632,39.0176020723,2594.0,,13.1,30.4,0.0,15.0,,1011.9,Pleurotus populinus,"Woodland Park, CO, US",1,
144cf350-53ef-4ce1-b48f-fb204e38a526,299456111,2025-07-19 07:58:55-06:00,2025-07-19,-105.5381916667,40.1696033333,2774.0,,17.0,31.0,0.8,3.5,,1019.1,Pleurotus populinus,"Allenspark, CO, US",1,
05f81859-0023-4e92-a673-eb2481c77842,299382132,2025-07-19 11:00:38-06:00,2025-07-19,-104.8646900687,38.766207378,2629.0,,20.0,30.0,1.6,10.7,,1022.7,Pleurotus populinus,"Colorado, US",1,
4d2c0e19-a17e-476d-8479-33c154dcd919,299041533,2025-07-18 10:34:00-06:00,2025-07-18,-105.614761832,35.6536307428,2543.0,,12.2,27.8,0.0,14.1,,1015.4,Pleurotus populinus,"New Mexico, US",2,
51835c16-4e35-485c-bf6c-2a0631ff2c00,298298791,2025-07-15 13:42:52-06:00,2025-07-15,-105.1840833333,38.8774133333,2914.0,,21.0,33.0,0.0,6.6,,1019.8,Pleurotus populinus,"Rock Pond Trail, Divide, CO, US",1,
a494df29-a991-463f-a0fc-951f0b555778,298267768,2025-07-12 19:36:38-06:00,2025-07-12,-105.4899267107,40.6090518797,2882.0,,15.0,28.3,0.0,10.5,,1015.9,Pleurotus populinus,"Bellvue, CO 80512, USA",1,
e0061a62-6059-4be4-8efb-648fb59201bd,297490939,2025-07-12 19:40:19-06:00,2025-07-12,-105.2371854622,39.0382086815,2760.0,,7.0,22.0,2.3,5.2,,1019.9,Pleurotus populinus,"Colorado, US",1,
0c507217-636f-447c-8ff2-5906c8a55e54,297353252,2025-07-11 18:53:02-06:00,2025-07-11,-105.0758926922,38.7430505847,2921.0,,16.0,27.0,4.0,9.5,,1022.6,Pleurotus populinus,"Colorado, US",1,
0d2bab3d-ae2a-4acf-bed1-f28b9e32d301,294215769,2025-06-28 11:54:39-06:00,2025-06-28,-105.8431246891,35.7461180328,2763.0,,13.9,32.2,0.0,13.5,,1012.0,Pleurotus populinus,"Santa Fe, NM, US",2,
600fdc69-9175-4e73-b0d8-65a410f5c8d4,293227800,2025-06-27 13:27:39-06:00,2025-06-27,-108.0300166419,39.0088889286,3149.0,,15.0,37.5,0.0,10.3,,1018.8,Pleurotus populinus,"Mesa County, US-CO, US",1,
