uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
1c42aae0-4d8b-4dbf-8ab7-73f8442bf0e7,390681624,2026-08-08 14:21:27-06:00,2026-08-08,-106.539925,35.8217716667,2581.0,,16.7,31.2,6.0,7.8,,,Pleurotus pulmonarius,"Jemez National Recreation Area, Jemez Springs, NM, US",1,
641c1c21-8b47-4c1d-bdd2-672cf995d6c9,374038139,2026-06-21 12:54:55-06:00,2026-06-21,-105.2788201,39.9319184,1764.0,,13.0,31.0,0.2,4.5,,,Pleurotus pulmonarius,"Eldorado Pool WB, Eldorado Springs, CO 80025, USA",1,
2630678c-add4-42b9-8b3e-1658d646165c,348625782,2026-04-09 12:48:08-06:00,2026-04-09,-104.8357613,39.6828868997,1701.0,,5.8,22.2,0.2,7.0,,,Pleurotus pulmonarius,"Utah Park, Aurora, CO 80012, USA",1,
f3962abb-359a-4d8d-a6a5-a6096256083b,347177245,2026-04-03 18:11:48-06:00,2026-04-03,-105.1146984233,39.5904410467,1733.0,,0.6,11.1,0.0,11.8,,,Pleurotus pulmonarius,"S Miller St, Littleton, CO, US",2,
e2de673a-a710-44b0-82df-71d1b548c3c8,328110669,2025-11-24 14:59:20-07:00,2025-11-24,-105.0227445,40.5602283333,1493.0,,1.0,15.0,0.0,11.5,,1014.0,Pleurotus pulmonarius,"East Poudre Trail, Fort Collins, CO, US",2,
1323a03a-7dab-4053-8545-bc4ed24805c6,325906467,2025-11-06 16:46:46-07:00,2025-11-06,-106.0567638333,36.0170445,1726.0,,6.0,18.0,0.0,9.2,,1022.2,Pleurotus pulmonarius,"N McCurdy Rd, Española, NM, US",1,
01ef2b3c-199f-45c9-a588-f8305ff98592,322635403,2025-05-03 10:33:27-06:00,2025-05-03,-105.1504971667,40.1903533333,1548.0,,1.3,26.8,0.0,5.0,,1016.1,Pleurotus pulmonarius,"Dawson Park Trail, Longmont, CO, US",2,
dce5df14-b8cb-4455-8427-ef78f111ae25,314696346,2025-09-12 16:57:44-06:00,2025-09-12,-105.5820139255,36.5608542727,2545.0,,12.1,24.3,0.4,15.0,,1017.0,Pleurotus pulmonarius,"Taos, NM, US",1,
a07762ac-509e-4ae6-846f-c4a042060cc7,313255151,2025-09-11 19:00:52-06:00,2025-09-11,-106.3832924997,35.8917908,2795.0,,14.0,25.0,0.0,12.3,,1026.7,Pleurotus pulmonarius,"Los Alamos County, NM, USA",1,
944778a5-6d66-4e2b-b7b6-e34837159267,310951367,2025-05-31 18:39:42-06:00,2025-05-31,-103.217465085,44.0940761036,994.0,,10.0,25.0,0.0,17.8,,1017.3,Pleurotus pulmonarius,"Lemmon Ave, Rapid City, SD, US",2,
