uuid,inat_id,timestamp,date,lon,lat,olc,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
86186cf3-5f75-449a-bef1-80021903f101,387325343,2026-08-01 11:33:51-06:00,2026-08-01,-105.5280013382,36.1324169071,858P4FJC+,2596.0,,14.5,29.6,2.4,11.8,,1019.3,Pseudomarasmius pallidocephalus,"Vadito, NM 87579, USA",1
88edc290-c225-45ea-8d1b-9f2aa0a0a4b0,387277835,2026-08-01 09:16:20-06:00,2026-08-01,-105.5285111111,36.1316305556,858P4FJC+,2596.0,,14.5,29.6,2.4,11.8,,1019.3,Pseudomarasmius pallidocephalus,"Vadito, NM 87579, USA",1
76aea0b6-90b7-4d3a-bebe-6a6bd1e146ef,311367256,2025-09-01,2025-09-01,-107.9812472686,39.041769586,85FJ22R9+,3132.0,,12.0,35.0,0.0,9.1,,1025.2,Pseudomarasmius pallidocephalus,"Cedaredge, CO 81413, USA",2
f1bc0220-b826-4ec0-bb13-79ae4252a64d,308839263,2025-08-23 10:34:52-06:00,2025-08-23,-105.4438719997,39.6106144,85FPJH64+,2485.0,,0.5,14.1,3.4,10.2,,1024.6,Pseudomarasmius pallidocephalus,"Golden, CO 80439, USA",1
f397138b-91f8-4135-ba91-2a84570cc26c,238857791,2024-08-29 10:38:00-06:00,2024-08-29,-105.8021083333,35.7989916667,857PQ5XX+,3202.0,,15.6,28.9,0.0,12.1,,1014.3,Pseudomarasmius pallidocephalus,"Santa Fe County, NM, USA",1
c1133268-d112-4afc-962a-f6ab2ec98d71,235764612,2024-08-14 10:29:16-06:00,2024-08-14,-107.9012666667,37.9225366667,859JW3FX+,2488.0,,9.0,20.0,0.1,7.9,,1032.4,Pseudomarasmius pallidocephalus,"Grand Mesa Uncompahgre and Gunnison National Forests, Ophir, CO, US",1
bcde74fe-eff9-44d5-894f-c2798eea915b,235109364,2024-08-10 09:51:35-06:00,2024-08-10,-106.6640083333,35.898475,857MV8XP+,2671.0,,15.5,22.0,,6.4,,1029.9,Pseudomarasmius pallidocephalus,"Santa Fe National Forest, Jemez Springs, NM, US",1
7b42b72a-3067-4fb7-815b-a9a53c313f2d,193930631,2022-08-19 22:19:00-06:00,2022-08-19,-107.826,37.8544,859JV53F+,2981.0,,10.0,17.0,7.5,3.4,,1030.0,Pseudomarasmius pallidocephalus,"San Miguel County, CO, USA",2
b0f5f764-89ac-43db-a731-3098d3f6e258,190542577,2022-07-28 12:52:00-06:00,2022-07-28,-105.3196194444,39.7165138889,85FPPM8J+,2297.0,,16.0,22.0,6.6,15.6,,1024.6,Pseudomarasmius pallidocephalus,"Jefferson County, CO, USA",2
7a9ebc1a-8568-4563-b82a-307e9403fed3,131493040,2022-08-19 11:58:51-06:00,2022-08-19,-107.8259785207,37.8543709105,859JV53F+,2981.0,,10.0,17.0,7.5,3.4,,1030.0,Pseudomarasmius pallidocephalus,"San Miguel County, US-CO, US",2
