uuid,inat_id,timestamp,date,lon,lat,olc,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
a7df640e-3cf7-4a28-b4c2-6933d85289bb,332922960,2025-11-30 13:36:00-08:00,2025-11-30,-122.6776312561,45.5906402996,84QVH8RC+,5.0,,0.0,11.0,0.0,2.1,,1025.5,Psilocybe allenii,"Oregon, US",3
6ab8f00e-44d9-4668-ac6c-35e24de995d5,331272639,2025-11-27 20:50:00-08:00,2025-11-27,-122.647208679,45.5281509317,84QVG9H3+,46.0,,7.0,14.0,3.0,25.7,,1016.4,Psilocybe allenii,"Oregon, US",1
f06f6004-87fe-4a89-959c-b9f65762038d,331272637,2025-11-27 20:50:00-08:00,2025-11-27,-122.6004800783,45.4844824701,84QVF9MX+,76.0,,7.0,14.0,3.0,25.7,,1016.4,Psilocybe allenii,"Oregon, US",1
b066ad1a-c4bc-4b75-a1f3-eadb381dec22,329294856,2025-11-07 21:18:00-08:00,2025-11-07,-122.6234990535,45.5309882872,84QVG9JG+,61.0,,9.0,14.0,0.0,6.7,,1022.8,Psilocybe allenii,"Oregon, US",4
5f8ac613-c627-4654-9d49-4fa11de3d3bb,329177120,2025-09-30 00:10:00-07:00,2025-09-30,-122.6783853,45.515232,84QVG88C+,43.0,,13.0,22.0,0.2,17.4,,1008.5,Psilocybe allenii,"Portland, OR, USA",2
20ae455d-766c-46d5-acc2-eda37c150ea2,328456699,2025-10-21 23:20:00-07:00,2025-10-21,-122.6260974517,45.4021113472,84QVC92F+,29.0,,6.0,18.0,0.0,5.4,,1020.2,Psilocybe allenii,"Oregon, US",3
59529568-c479-42b6-b732-29b437896d65,328018763,2025-11-23 11:05:47-08:00,2025-11-23,-122.6563039969,45.5236238808,84QVG8FV+,30.0,,6.0,9.0,0.0,8.0,,1020.2,Psilocybe allenii,"NE Couch St, Portland, OR, US",1
e23a0bdb-cc18-42af-be32-9dd73b586faa,326090449,2025-11-11 13:39:32-08:00,2025-11-11,-122.6804127433,45.4386760326,84QVC8Q9+,66.0,,9.0,13.0,0.0,4.9,,1019.5,Psilocybe allenii,"SW Terwilliger Blvd, Portland, OR, US",1
dd25d6f1-8209-4a8b-b97f-cd2b244f46cb,324113440,2025-10-30 22:06:07-07:00,2025-10-30,-122.7642990669,45.2462731431,84QV66WP+,66.0,,3.0,14.0,0.0,5.5,,1020.7,Psilocybe allenii,"Oregon, US",1
42c5c7a2-f807-4ca5-bc39-2ea60942f247,323562702,2025-10-27 17:28:41-07:00,2025-10-27,-122.6956524961,45.4974179691,84QVF8W3+,232.0,,7.0,12.0,0.0,7.0,,1026.2,Psilocybe allenii,"Portland, OR, US",5
