uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
b9551469-f8d4-4b4b-bf93-525941c6f993,319061841,2025-10-05 17:30:10-06:00,2025-10-05,-105.787431073,39.8292256304,3528.0,,-6.7,3.0,6.8,15.6,,1014.3,Psilocybe aztecorum,"Colorado, US",2
5f78d026-d43d-47f6-a00b-2358e883a976,319061746,2025-10-05 15:06:59-06:00,2025-10-05,-105.6049629233,39.9687021669,2975.0,,-6.7,3.0,6.8,15.6,,1014.3,Psilocybe aztecorum,"Colorado, US",1
6e6016da-b7c0-47e3-88f4-02672e07b7d6,318501156,2025-10-03 13:03:41-06:00,2025-10-03,-105.4346190166,40.1750998422,2271.0,,8.0,31.0,0.0,6.7,,1018.5,Psilocybe aztecorum,"Colorado, US",4
acdf853c-9645-4acd-af72-3ad60bda59b4,316670553,2025-09-25 15:21:42-06:00,2025-09-25,-105.5005416667,40.0898083333,2828.0,,8.0,26.0,0.0,3.8,,1023.0,Psilocybe aztecorum,"Ward, CO, US",2
55517362-83ea-4177-83d5-e86313dd8e31,315730402,2025-09-16 18:05:14-06:00,2025-09-16,-105.5874316241,39.8243060192,2984.0,,-3.6,8.9,2.3,10.3,,1022.9,Psilocybe aztecorum,"Colorado, US",3
14e66109-f2f8-4120-982b-48f9ef139bb9,315388477,2025-09-17 19:09:49-06:00,2025-09-17,-105.7377222254,39.9339731401,2933.0,,-4.5,3.4,0.1,12.7,,1024.0,Psilocybe aztecorum,"Colorado, US",4
acce6cdd-3abd-48fa-8005-6f3c4ce7e9bf,314060199,2025-09-14 18:18:56-06:00,2025-09-14,-105.5375244714,40.1006619623,3018.0,,11.0,24.0,2.3,4.0,,1017.3,Psilocybe aztecorum,"Colorado, US",4
efe55a8e-be9a-451e-9387-3f34aa54c4a7,313478264,2025-09-10 15:58:27-06:00,2025-09-10,-105.4025598172,40.0307454832,2426.0,,12.0,32.0,0.0,6.5,,1018.8,Psilocybe aztecorum,"Colorado, US",2
23109631-595f-47bc-bda9-13b001a47474,313318242,2025-09-10,2025-09-10,-105.5428115013,40.0436872439,3016.0,,12.0,32.0,0.0,6.5,,1018.8,Psilocybe aztecorum,"Colorado, US",6
ac792e8c-902b-4eea-9da7-8890a99d6848,310921004,2025-09-01 12:33:35-06:00,2025-09-01,-105.3201854816,39.241520498,2425.0,,2.4,15.2,0.1,9.2,,1025.0,Psilocybe aztecorum,"Colorado, US",1
acf8d4b9-13d2-4046-bb5a-be27465d6efd,244206686,2024-09-26 12:18:29-06:00,2024-09-26,-105.7013376279,39.7040297856,2671.0,,3.8,13.7,0.0,11.3,,1019.4,Psilocybe aztecorum,"Colorado, US",5
ef8094cd-87a6-4c80-9bdb-0b260f7c58e6,243516884,2024-09-22 15:48:36-06:00,2024-09-22,-105.4998279844,39.6343691154,2603.0,,-4.0,5.2,3.0,8.5,,1021.2,Psilocybe aztecorum,"Colorado, US",5
2898af46-1335-493b-8ff1-2db4d04ad3c7,243025981,2024-09-06 18:59:09-06:00,2024-09-06,-105.6702137796,39.8227022335,3364.0,,-3.6,13.4,0.0,9.4,,1028.6,Psilocybe aztecorum,"Colorado, US",7
9d1bd687-1852-4b1f-a300-d36bcd3236f0,243025489,2024-09-06 18:04:02-06:00,2024-09-06,-105.7807209306,39.8368459443,3475.0,,-3.6,13.4,0.0,9.4,,1028.6,Psilocybe aztecorum,"Colorado, US",5
8908db32-854d-4f8e-befc-7a71c20baf2f,242798837,2024-09-15 13:12:54-06:00,2024-09-15,-105.5846485662,39.5989233982,3297.0,,-1.6,11.6,4.9,9.5,,1017.5,Psilocybe aztecorum,"Colorado, US",3
4210a44e-de5a-4e0e-904e-0d6807015c62,240691571,2024-09-08 18:28:52-06:00,2024-09-08,-105.5045135692,39.966544866,2519.0,,13.0,31.0,0.0,4.8,,1021.1,Psilocybe aztecorum,"CO 119 & East St, Nederland, CO 80466, USA",6
566a8427-35da-4636-ba29-b10cfc906183,237586079,2024-08-23 18:55:28-06:00,2024-08-23,-105.204263946,39.2175467572,2189.0,,5.3,18.5,0.3,14.2,,1017.9,Psilocybe aztecorum,"Colorado, US",5
aca496d5-1dcc-47e4-b37d-ba36ae64cc8e,237420408,2024-08-22 17:16:11-06:00,2024-08-22,-105.4883664498,40.0309024528,2698.0,,18.0,30.0,2.5,9.2,,1021.2,Psilocybe aztecorum,"Colorado, US",6
b850308e-6826-4978-afcc-eaf44f5aa7f5,237420068,2024-08-22 14:31:30-06:00,2024-08-22,-105.6149059889,39.8296290836,3288.0,,3.6,11.4,9.5,9.6,,1022.9,Psilocybe aztecorum,"Colorado, US",1
f9a59671-7752-4769-aa76-c71a816d3a4e,237117653,2023-09-15 16:59:00-06:00,2023-09-15,-105.5082212618,40.0472409019,2748.0,,11.0,18.0,2.7,3.0,,1025.6,Psilocybe aztecorum,"Boulder County, CO, USA",6
9c6b1727-23a8-4b21-a5f8-eaf8f4e3b6ab,186928333,2023-09-19 01:44:38-06:00,2023-09-19,-105.5842342376,39.7874996377,2610.0,,-2.1,7.8,2.3,12.8,,1019.0,Psilocybe aztecorum,"Colorado, US",6
368f6e18-3c64-4866-a7d3-ccd5789a6bda,4750516,2015-09-06,2015-09-06,-104.8891,38.787201,2400.0,,13.0,29.4,,8.9,,1014.4,Psilocybe aztecorum,"El Paso Co., Colorado, USA",8
1cfe6db4-6c3e-4a19-a797-b2b229118cbb,327633047,2025-10-12 00:17:00-07:00,2025-10-12,-121.4173770136,45.2017473962,757.0,,,,,,,,Psilocybe aztecorum,"Wasco County, US-OR, US",2
c834fd86-c856-44ee-b1ac-c09eca10b219,320097589,2025-09-27 21:26:00-07:00,2025-09-27,-121.5305790619,45.3015280398,1588.0,,6.0,26.0,0.0,1.1,,1010.9,Psilocybe aztecorum,"Wasco County, US-OR, US",3
12f39400-52ac-41bd-bfa7-2f76f0304ae7,320097555,2025-09-27 21:26:00-07:00,2025-09-27,-121.5669436257,45.3972128677,1012.0,,6.0,26.0,0.0,1.1,,1010.9,Psilocybe aztecorum,"Wasco County, US-OR, US",5
e86f10d6-bb91-427f-a9ab-25291352449d,317486744,2025-09-27 22:32:00-07:00,2025-09-27,-121.6964280751,45.2603197194,1460.0,,6.0,26.0,0.0,1.1,,1010.9,Psilocybe aztecorum,"Oregon, US",3
