uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
400b593d-8bfa-40ce-bbfa-2cb5786dcc82,253436906,2024-11-12 07:08:06-08:00,2024-11-12,-122.3077329045,45.4113990919,211.0,,10.0,14.4,,14.6,,1015.4,Psilocybe cyanescens,"Oregon, US",4,
1476c866-be8f-4bd0-a0ed-df34968fab0b,330767831,2025-11-21,2025-11-21,-122.4298867223,45.441594842,176.0,,1.0,11.0,0.0,2.6,,1024.5,Psilocybe cyanescens,"Oregon, US",1,84QVCHRC+
a7af50be-bb28-4ccb-b49b-66f3bbcb9945,143539864,2022-12-02 18:15:03-08:00,2022-12-02,-122.4476962094,45.4471012493,243.0,,0.6,6.1,,17.1,,1017.6,Psilocybe cyanescens,"Oregon, US",4,84QVCHW2+
63fa8aa5-f875-406c-bae4-84b86c4bb37a,332450461,2025-11-15 08:51:44-08:00,2025-11-15,-123.014312832,45.1345811414,29.0,,9.3,14.4,0.0,10.4,,1013.1,Psilocybe cyanescens,"Oregon, US",2,84QR4XMP+
3457539c-f29b-4364-bf2c-21e8fef709ed,332188925,2014-11-02 13:24:00-08:00,2014-11-02,-122.7666038109,45.470030014,66.0,,6.7,11.7,,9.3,,1021.3,Psilocybe cyanescens,"Oregon, US",2,84QVF6CM+
d609b8f6-4ebf-43c0-b33f-1e33d2203971,331759952,2025-11-29 19:46:00-08:00,2025-11-29,-122.6183022715,45.4371809188,24.0,,7.0,11.0,0.0,17.3,,1020.9,Psilocybe cyanescens,"Oregon, US",1,84QVC9PJ+
6b698c34-988b-4193-a24b-04dfe9285ef3,331641671,2025-12-21 21:38:54-08:00,2025-12-21,-122.7622620511,45.4486550562,69.0,,2.8,6.7,0.3,1.9,,,Psilocybe cyanescens,"Oregon, US",2,84QVC6XQ+
dbc693e8-3183-4b57-b252-fcb2807a6b86,331641640,2025-12-21 21:39:43-08:00,2025-12-21,-122.6359035109,45.5323433349,45.0,,5.6,8.0,1.5,6.0,,1007.5,Psilocybe cyanescens,"Oregon, US",3,84QVG9J7+
36e4a2e7-da56-4438-a10b-5b212e6ab9bf,331460989,2025-12-17 13:53:24-08:00,2025-12-17,-122.7680146821,45.4410921647,54.0,,6.0,14.0,0.1,14.7,,1017.1,Psilocybe cyanescens,"Oregon, US",1,84QVC6RJ+
a26f910c-4126-4fd2-9a6d-3015e4f5ec3d,331272642,2025-11-27 20:50:00-08:00,2025-11-27,-122.6059085976,45.5982045333,4.0,,7.0,14.0,3.0,25.7,,1016.4,Psilocybe cyanescens,"Oregon, US",2,84QVH9XV+
f28b5fb5-ad40-479d-bc12-e596d343e229,330607558,2025-12-13 09:38:04-08:00,2025-12-13,-122.4867960498,45.5819760953,3.0,,6.0,13.0,0.0,4.5,,1017.0,Psilocybe cyanescens,"Oregon, US",4,84QVHGJ7+
b0599399-967a-486b-b5f2-848c37f2496c,330502922,2025-12-12 09:34:00-08:00,2025-12-12,-122.8058975783,45.4583102573,78.0,,9.0,12.7,0.0,3.7,,1021.6,Psilocybe cyanescens,"Oregon, US",1,84QVF55V+
f9e152f5-4dfe-4402-a950-0fc4a01035c4,330150810,2025-12-09 14:08:00-08:00,2025-12-09,-122.8643306517,45.526798889,68.0,,8.0,14.0,0.9,3.9,,1019.7,Psilocybe cyanescens,"Oregon, US",2,84QVG4GP+
035135f6-2def-4051-b2c5-edfa65715f3f,329393055,2025-11-10 16:27:00-08:00,2025-11-10,-122.6327657724,45.4205311786,65.0,,9.0,13.0,0.0,6.2,,1024.5,Psilocybe cyanescens,"Oregon, US",4,84QVC9C8+
b9436793-39cf-46b7-bd65-0da7727ff6cb,329393053,2025-11-10 16:27:00-08:00,2025-11-10,-122.6704196752,45.5377966867,38.0,,9.0,13.0,0.0,6.2,,1024.5,Psilocybe cyanescens,"Oregon, US",2,84QVG8QH+
e4d8231a-8105-401c-acbe-f0f3381d96c0,329393051,2025-11-10 16:27:00-08:00,2025-11-10,-122.7027943504,45.4066427039,33.0,,6.0,13.0,0.1,2.8,,1024.6,Psilocybe cyanescens,"Oregon, US",3,84QVC74W+
0d9738f5-9be1-4733-b95e-ce0fbc318987,329294863,2025-11-07 21:18:00-08:00,2025-11-07,-122.6299588607,45.4659311541,41.0,,9.0,14.0,0.0,6.7,,1022.8,Psilocybe cyanescens,"Oregon, US",5,84QVF98C+
9496a700-f018-4eba-b27a-a6afc913f89a,329288896,2025-11-22 16:27:20-08:00,2025-11-22,-122.8583029904,45.4687936467,75.0,,2.0,6.0,0.0,3.5,,1022.0,Psilocybe cyanescens,"Oregon, US",1,84QVF49R+
89cc58a8-dfc7-4463-92b5-7077c0e66251,329288819,2025-11-22 16:36:15-08:00,2025-11-22,-122.8121939661,45.5605596795,145.0,,2.0,6.0,0.0,3.5,,1022.0,Psilocybe cyanescens,"Oregon, US",4,84QVH56Q+
ed03e91d-ebe5-4f23-b971-a40f9653dd6d,329177118,2025-09-30 00:10:00-07:00,2025-09-30,-122.7547320169,45.599220484,37.0,,12.0,22.0,2.3,10.8,,1008.9,Psilocybe cyanescens,"Oregon, US",1,84QVH6XW+
def6f167-02a0-4493-a8fc-7253426259ea,328394347,2025-11-26 12:00:56-08:00,2025-11-26,-122.890790693,45.4362874815,69.0,,8.0,11.0,0.1,5.0,,1022.7,Psilocybe cyanescens,"Oregon, US",2,84QVC4P5+
125e1f59-080d-4804-aaca-8d8e53e10fb9,328350045,2025-11-25 11:46:22-08:00,2025-11-25,-122.7641634229,45.4739832881,66.0,,2.0,7.0,2.0,6.3,,1024.3,Psilocybe cyanescens,"Oregon, US",2,84QVF6FP+
880c89d0-bb6a-4135-a82a-23427db852b6,328155425,2025-10-29 17:01:48-07:00,2025-10-29,-122.7624656645,45.4252002991,50.0,,6.0,15.0,0.1,6.8,,1028.9,Psilocybe cyanescens,"Oregon, US",5,84QVC6GQ+
97090387-bc75-45bb-9814-15a7637c3aa2,327180631,2025-11-18 15:26:32-08:00,2025-11-18,-122.6707503474,45.4783848873,3.0,,4.0,10.0,0.0,1.8,,1020.6,Psilocybe cyanescens,"Oregon, US",2,84QVF8HH+
