uuid,inat_id,timestamp,date,lon,lat,olc,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
d4c6b6f2-f77d-4f01-a203-9e18f11285e1,375715542,2026-06-26 15:32:04-07:00,2026-06-26,-122.7181450354,45.5258573166,84QVG7GJ+,295.0,,12.8,22.8,6.5,8.3,,1016.7,Psilocybe ovoideocystidiata,"Wildwood Trail, Portland, OR, US",1
ce0ceffc-aa54-491b-849a-ddd97eb81286,367644717,2026-05-07 22:53:00-07:00,2026-05-07,-122.6868250314,45.5226869497,84QVG8F7+,31.0,,11.1,21.7,0.0,4.3,,1019.2,Psilocybe ovoideocystidiata,"Oregon, US",4
046962a3-7e84-4736-bba6-003d24610403,359276987,2026-05-07 10:45:20-07:00,2026-05-07,-122.626651342,45.5565467153,84QVH94F+,65.0,,11.1,21.7,0.0,4.3,,1019.2,Psilocybe ovoideocystidiata,"Oregon, US",1
0b3e4818-9124-49bb-a4b0-24dc2f759b85,357902887,2026-04-28 14:57:50-07:00,2026-04-28,-122.623471126,45.5218133258,84QVG9CG+,60.0,,9.7,16.8,0.0,10.0,,1022.8,Psilocybe ovoideocystidiata,"Laurelhurst Park Trail, Portland, OR, US",2
f3ed709c-ce73-4c1e-98e1-d77eaa3a19aa,352285629,2026-04-22 18:22:43-07:00,2026-04-22,-122.6234830044,45.5217856338,84QVG9CG+,60.0,,10.0,12.8,0.4,7.6,,,Psilocybe ovoideocystidiata,"Laurelhurst Park Trail, Portland, OR, US",4
d667263d-079f-470b-addb-874583e408f8,351914952,2026-04-13 22:30:00-07:00,2026-04-13,-122.6486970012,45.484386201,84QVF9M2+,25.0,,8.9,13.3,0.0,4.2,,1018.4,Psilocybe ovoideocystidiata,"Oregon, US",2
7041954a-b809-4776-90ef-dca016650b14,351324880,2026-04-19 16:51:43-07:00,2026-04-19,-122.61753459,45.4778478351,84QVF9HJ+,76.0,,10.0,23.9,0.0,5.1,,1013.5,Psilocybe ovoideocystidiata,"Oregon, US",2
a788218a-cb1e-480c-8e25-4e445e4a56c6,351324784,2026-04-19 16:33:37-07:00,2026-04-19,-122.6453191474,45.4175664805,84QVC993+,60.0,,10.0,23.9,0.0,5.1,,1013.5,Psilocybe ovoideocystidiata,"Oregon, US",3
acc5b157-50c0-454d-b6bc-2e5096059112,349903663,2026-04-04 16:46:00-07:00,2026-04-04,-122.6110284573,45.4727635653,84QVF9FQ+,80.0,,5.0,22.2,0.0,3.9,,1024.8,Psilocybe ovoideocystidiata,"Oregon, US",1
01929def-c684-4240-867c-8a7b335cc8c7,347609295,2026-03-25 12:09:11-07:00,2026-03-25,-122.623475,45.5225633333,84QVG9FG+,60.0,,4.0,14.0,0.0,9.7,,1022.5,Psilocybe ovoideocystidiata,"Laurelhurst Park, Portland, OR, US",4
0f2ab1a3-26ec-44c9-b21f-d7523c7fbc2f,347336067,2026-04-03 10:35:00-07:00,2026-04-03,-122.5893549312,45.4633977994,84QVFC76+,70.0,,3.3,16.7,0.0,3.5,,1028.9,Psilocybe ovoideocystidiata,"SE 72nd Ave, Portland, OR, US",5
bd593716-4b56-4056-9da5-154c4334429f,346325085,2026-03-28 00:04:00-07:00,2026-03-28,-122.7710286234,45.4254825754,84QVC6GH+,45.0,,7.0,17.0,0.0,6.5,,1019.8,Psilocybe ovoideocystidiata,"Oregon, US",4
a302b526-6e3c-4565-b095-8fb6ae780a24,346325084,2026-03-28 00:04:00-07:00,2026-03-28,-122.6331258956,45.5667617182,84QVH988+,43.0,,8.0,17.0,0.0,7.0,,1020.2,Psilocybe ovoideocystidiata,"Oregon, US",2
1b0809d6-cd29-444d-ab32-821cee869279,346285530,2026-03-30 17:06:08-07:00,2026-03-30,-122.631295,45.482975,84QVF9M9+,40.0,,3.3,15.0,0.0,5.0,,1016.9,Psilocybe ovoideocystidiata,"Reed College, Portland, OR, US",5
ec00b2a9-8a83-4094-bde4-63f3f814cc3c,334992704,2026-01-16 12:57:52-08:00,2026-01-16,-122.7513347323,45.4045049045,84QVC63X+,44.0,,7.0,14.0,0.0,20.6,,1025.1,Psilocybe ovoideocystidiata,"Oregon, US",3
