uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
b1b7a032-7291-466e-a1c0-fe5eaf89a838,295172902,2025-07-03 12:54:52-06:00,2025-07-03,-106.0767393932,35.6702979713,1952.0,,17.2,27.8,2.0,12.8,,1010.6,Radix auricularia,"Santa Fe, NM 87507, USA",1
e710e8e9-3e8a-40db-96d3-05a1633e3264,277936238,2024-06-26 16:33:00-06:00,2024-06-26,-104.9410075018,39.1128904643,2420.0,,14.3,31.0,,16.0,,1012.6,Radix auricularia,"El Paso County, CO, USA",1
57d74610-fdc6-4cdb-8330-86a5d0152e78,277936237,2024-06-26 16:30:00-06:00,2024-06-26,-104.9410687786,39.1127572714,2420.0,,14.3,31.0,,16.0,,1012.6,Radix auricularia,"El Paso County, CO, USA",1
516ce80b-380e-4fd3-adcd-a42b73ad6638,270907748,2025-04-16 10:02:49-06:00,2025-04-16,-105.6938333333,36.647945,2027.0,,3.3,22.8,0.0,18.3,,1013.2,Radix auricularia,"Arroyo Hondo, NM, US",1
cb3e8337-8cd7-4e62-a93a-e6a86ae1047f,214920780,2024-05-10 16:09:53-06:00,2024-05-10,-105.4217777778,36.2753583333,2973.0,,1.2,8.3,8.2,14.6,,1025.9,Radix auricularia,"Taos, NM 87571, USA",1
3b4cf49b-272e-46c1-911c-a4899b74a133,132704804,2022-08-28 16:03:26-06:00,2022-08-28,-105.1762383333,35.51907,1958.0,,11.1,30.0,0.0,10.5,,1007.6,Radix auricularia,"Las Vegas, NM, US",1
4ef9db67-576f-40c2-b145-671da68cfb49,105342039,2010-07-04 16:39:00-06:00,2010-07-04,-105.484290408,36.0978550249,2718.0,,2.0,24.0,,8.9,,,Radix auricularia,"Taos County, NM, USA",1
88c569ae-15d8-4c11-b9a3-d34de071ef55,77553931,2021-05-05 07:38:00-06:00,2021-05-05,-105.6041093902,36.5154551613,2277.0,,0.6,23.3,0.0,12.6,,1019.6,Radix auricularia,"Taos County, NM, USA",2
a14a2e2e-2a33-4f53-bb3b-5e1335bdde10,58992761,2020-09-06 09:31:12-06:00,2020-09-06,-105.4103479722,35.9831959722,2478.0,,13.3,33.9,0.0,19.1,,1015.5,Radix auricularia,"Mora County, US-NM, US",1
d8e34fde-8b37-4d51-b949-2c5b10f0780b,19646430,2018-09-17 16:18:00-06:00,2018-09-17,-109.5893752,40.1803879,1428.0,,13.3,31.1,,8.2,,1011.3,Radix auricularia,"21000 Wildlife Refuge Rd, Randlett, UT 84063, USA",1
