uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
e2153c7d-8cd7-4eb3-9dc3-2c5889e07c29,383455279,2010-08-14 15:32:00-06:00,2010-08-14,-105.763062,39.891654,2757.0,,16.0,27.0,,7.2,,,Russula aeruginea,Winter Park Co,2
461c0941-12f8-410e-8883-f2882d6d282b,313229654,2025-09-11 10:27:00-06:00,2025-09-11,-105.80507778,35.79590556,3198.0,,13.0,28.0,0.0,21.1,,1025.2,Russula aeruginea,"Santa Fe, New Mexico, United States",1
35a9b86f-9207-4136-b6b0-9ec86cf23b7d,309413368,2025-08-26 13:48:35-06:00,2025-08-26,-104.9441170997,38.7370418,3031.0,,13.0,15.0,3.2,9.6,,1027.7,Russula aeruginea,"Manitou Springs, CO 80829, USA",2
23f3f5f9-1189-43f9-8e17-bdfa32483fe2,308862646,2025-08-24 12:48:00-06:00,2025-08-24,-105.0201384102,38.8866121109,2793.0,,12.3,25.6,3.8,7.3,,1017.8,Russula aeruginea,"Colorado, US",1
ff9a997a-1c85-42fa-a595-bf66990c0440,308107753,2025-08-01 11:12:38-06:00,2025-08-01,-105.8000162108,35.796340337,3166.0,,13.9,30.0,0.0,10.5,,1020.9,Russula aeruginea,"US-285 N, Santa Fe, NM, US",1
38a7b38c-dc7a-49e9-a918-bfff7cdf6c07,289557177,2025-06-13 10:41:24-06:00,2025-06-13,-105.54045,40.0307471667,2972.0,,13.0,31.0,0.0,5.2,,1015.8,Russula aeruginea,"County Road 116, Nederland, CO, US",1
24ff8519-4b64-4d36-a588-2e4072c4a27c,244430733,2024-09-17 08:52:02-06:00,2024-09-17,-105.448874,39.6765019722,2808.0,,-1.8,10.0,4.6,16.1,,1012.4,Russula aeruginea,"Clear Creek County, US-CO, US",1
d7bafde6-c931-4116-8596-ef55f56a6511,241557499,2024-09-13 17:53:44-06:00,2024-09-13,-105.7573069,39.8423537,3122.0,,-0.9,11.4,0.3,11.7,,1014.5,Russula aeruginea,"Winter Park, CO 80482, USA",1
ec8f7905-50af-47b8-932d-00d7bedc00d2,241057572,2024-09-08 16:41:03-06:00,2024-09-08,-105.4631277778,36.2618055556,2700.0,,1.3,21.8,0.6,8.6,,1030.9,Russula aeruginea,"Taos, NM 87571, USA",1
4fc2cd4c-3d77-4223-bea2-2c54661d14c6,240545040,2024-09-04 14:06:07-06:00,2024-09-04,-105.2807866667,36.3784783333,2637.0,,0.5,25.3,0.2,4.9,,1032.3,Russula aeruginea,"Angel Fire, NM, US",1
bb2abb77-ace4-4880-80c7-fd5572596b31,240183138,2024-09-05 10:38:06-06:00,2024-09-05,-105.7883779722,39.8112289722,3435.0,,-2.7,7.1,3.6,11.7,,1032.4,Russula aeruginea,"Winter Park, CO 80482, USA",1
b0794a7d-4ff2-4fff-9902-c76b73e2ae37,239647080,2024-09-02 13:15:11-06:00,2024-09-02,-105.518832542,40.0882538648,2902.0,,13.0,32.0,,6.1,,,Russula aeruginea,"Ward, CO 80481, USA",1
066377b0-3263-4fcb-828b-37da1ea41b7e,234225610,2024-08-05 14:41:08-06:00,2024-08-05,-106.6241187704,35.9958334262,2784.0,,18.7,30.4,0.3,9.7,,1027.3,Russula aeruginea,"Sandoval County, US-NM, US",1
7de3a5ec-9096-4141-a3e0-556e8096858d,234180232,2024-08-05 16:43:53-06:00,2024-08-05,-104.8183208343,38.6636015367,1820.0,,17.0,33.2,,19.2,,1015.5,Russula aeruginea,"Colorado, US",1
568d51c8-58f0-4e2d-94a1-ed910db10473,232759244,2024-07-25 11:43:00-06:00,2024-07-25,-105.8048835347,35.7952577552,3124.0,,13.9,31.7,0.0,13.5,,1017.5,Russula aeruginea,"Sangre de Christo Mountains, NM, USA",1
6faf38bb-ff8b-486a-af94-5385cd44fe14,202561593,2023-08-26 13:08:10-06:00,2023-08-26,-105.2748137895,39.4219435101,2458.0,,13.9,25.6,,8.5,,1022.9,Russula aeruginea,"Colorado, US",2
