uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
f30e806f-52f0-408b-818d-b5994926c031,328594345,2025-11-27 13:35:58-08:00,2025-11-27,-121.8947805556,45.6223638889,156.0,,5.0,7.0,4.3,1.2,,1020.5,Russula cerolens,"Cascade Locks, OR 97014, USA",1,
44264435-6bdb-4948-bff0-575276809846,251743245,2024-11-13 12:33:20-08:00,2024-11-13,-121.7726076183,45.3289939632,1146.0,,6.8,9.5,20.0,6.2,,1006.5,Russula cerolens,"Mt. Hood Park Division Recreation Area, Government Camp, OR, US",1,
86297073-6670-48ff-88cf-512198fd00e9,185503413,2023-09-29 17:08:58-07:00,2023-09-29,-121.1726233333,45.231385,331.0,,11.7,15.6,,4.9,,1012.2,Russula cerolens,"Wasco County, US-OR, US",1,
28783f7f-b58a-4901-a3f0-ad42aad65815,328574357,2025-11-27 13:47:40-08:00,2025-11-27,-122.6878623785,45.3813700394,92.0,,8.0,14.0,3.8,16.7,,1016.5,Russula cerolens,"Oregon, US",1,84QV98J6+
59998693-5891-4268-91fe-a5954b4f7261,327811981,2025-11-07 12:54:30-08:00,2025-11-07,-122.498395,45.479138,86.0,,6.9,14.0,1.8,5.2,,1022.6,Russula cerolens,"Pleasant Valley, Portland, OR, USA",1,84QVFGH2+
54f7384e-6d34-435b-840a-2fde8eba9698,325995430,2025-11-10 21:18:39-08:00,2025-11-10,-122.6305989074,45.3076815075,49.0,,6.0,13.0,0.1,2.8,,1024.6,Russula cerolens,"Oregon, US",1,84QV8959+
52a27554-6e5d-4534-b6ae-1f3b42810b2f,322150713,2025-10-20 17:48:34-07:00,2025-10-20,-122.8370856595,45.5294012751,65.0,,5.0,16.0,0.0,5.4,,1027.3,Russula cerolens,"Oregon, US",1,84QVG5H7+
4beb65bf-c939-4431-9766-ccc95e7ecc5e,249236620,2024-10-18 15:07:36-07:00,2024-10-18,-122.5356261805,45.4751730439,85.0,,7.8,13.9,0.3,10.1,,1025.4,Russula cerolens,"Pleasant Valley, Portland, OR, USA",1,84QVFFG7+
0d574386-f3e5-4461-afab-a3abf2d0b8d0,247000780,2024-10-12 13:05:05-07:00,2024-10-12,-122.6876616667,45.39693,144.0,,7.8,22.8,0.0,2.5,,1018.1,Russula cerolens,"Hazelia Field at Luscher Farm, Lake Oswego, OR, US",1,84QV98W6+
54fcf7fa-1f1a-490b-a889-bc1611a52a76,189794478,2023-11-02 14:44:36-07:00,2023-11-02,-122.4105126,45.60624402,62.0,,9.4,19.4,,17.2,,1015.4,Russula cerolens,"Camas, WA, USA",1,84QVJH4Q+
a8d41278-7ffe-4ae5-bca7-f74e45d40702,188698772,2023-10-22 18:24:40-07:00,2023-10-22,-122.6272192597,45.5211070595,61.0,,11.1,18.3,0.0,6.5,,1011.8,Russula cerolens,"Laurelhurst, Portland, OR, USA",2,84QVG9CF+
a78058ea-3993-4207-b8c0-76794d3da845,188609544,2023-10-22 17:24:05-07:00,2023-10-22,-122.5123216667,45.4921116667,81.0,,12.8,17.2,0.0,1.4,,1011.6,Russula cerolens,"Powell Butte Nature Park, Portland, OR, US",1,84QVFFRQ+
665677ad-6586-4590-8685-1257a1fa254b,101488156,2021-11-19 13:15:55+00:00,2021-11-19,-122.6797492859,45.4493619826,97.0,,6.1,12.8,2.5,10.8,,1020.9,Russula cerolens,"Tryon Creek State Natural Area, Portland, OR, US",1,84QVC8XC+
e1d47c39-2fff-4d23-abd4-bf1adee13427,100199899,2021-11-03 16:30:17-07:00,2021-11-03,-122.680725,45.4248616667,93.0,,8.9,14.4,6.6,12.6,,1015.3,Russula cerolens,"Atwater Rd, Lake Oswego, OR, US",1,84QVC8F9+
36174476-bc2d-4cae-9be5-15f885227ca0,100116659,2021-10-29 15:55:37-07:00,2021-10-29,-122.7171633333,45.5118866667,222.0,,6.1,16.7,10.4,10.1,,1018.4,Russula cerolens,"SW Knights Blvd, Portland, OR, US",1,84QVG76M+
3d342266-340f-4554-93df-7e3a12e00339,99990164,2021-10-31 11:16:00-07:00,2021-10-31,-122.4510865124,45.8402563232,139.0,,10.6,16.1,0.0,19.8,,1015.6,Russula cerolens,"Clark County, WA, USA",1,84QVRGRX+
7f2c2fb6-e8f0-4bd1-bb04-178043206d03,63850044,2020-10-30 15:23:02-07:00,2020-10-30,-122.4473387778,45.8396119444,151.0,,5.0,16.1,,6.6,,1020.2,Russula cerolens,"Yacolt, WA 98675, USA",1,84QVRHQ3+
00baaca6-169c-4174-826e-a63007fd8596,40711373,2020-03-25 13:11:17-07:00,2020-03-25,-122.4009280746,45.6027147873,90.0,,2.2,11.1,,4.3,,1017.7,Russula cerolens,"Lacamas Regional Park, Camas, WA, US",1,84QVJH3X+
2147956b-620c-4640-a055-ec06c7b1783e,34869299,2019-10-24 16:37:39-07:00,2019-10-24,-122.7183487893,45.511420162,222.0,,5.0,20.0,0.0,4.7,,1027.5,Russula cerolens,"Washington Park, Portland, OR, US",1,84QVG76J+
9e810cda-eaee-4de2-acb8-695cae6ab1f3,17471934,2018-10-13 11:36:22-07:00,2018-10-13,-122.9124324736,44.9002505001,148.0,,5.6,22.8,0.0,13.3,,1019.9,Russula cerolens,"Shangri-la School, Salem, OR, US",1,84PVW32Q+
68af13c8-6e06-4348-a00a-7da9d76c1f29,17471551,2018-10-13 10:54:36-07:00,2018-10-13,-122.9127515777,44.9002442642,148.0,,5.6,22.8,0.0,13.3,,1019.9,Russula cerolens,"Shangri-la School, Salem, OR, US",1,84PVW32P+
ec19923e-3e87-42e8-a913-39a64dbd30f8,8670707,2017-11-03 11:09:01-07:00,2017-11-03,-122.720608,45.367264,129.0,,3.9,10.0,,8.6,,1013.7,Russula cerolens,"21082 SW Meadow Way, Tualatin, OR, US",2,84QV978H+
