uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
55249f04-e7c5-4142-a1b7-d4edb06a6a27,390678976,2026-08-08 14:13:43-06:00,2026-08-08,-106.5373616667,35.821255,2575.0,,16.7,31.2,6.0,7.8,,,Russula olympiana,"Jemez National Recreation Area, Jemez Springs, NM, US",1
1e27c9fb-2eb8-4dac-a88f-801a70ce87ae,307170782,2025-08-17 13:50:59-06:00,2025-08-17,-105.8026808737,35.7980358528,3202.0,,13.3,31.1,0.0,12.2,,1012.5,Russula olympiana,"Tererro, NM, US",3
0e8ea309-bf40-4c8e-a420-fdfb49c701cb,304867765,2025-08-08 09:13:11-06:00,2025-08-08,-106.393062,35.9100875997,2884.0,,20.9,32.5,0.8,13.7,,1025.1,Russula olympiana,"Los Alamos County, NM, USA",2
e874dc6c-fbf5-43f3-85b8-22599350e2e5,304261977,2025-08-05 10:53:00-06:00,2025-08-05,-105.80180278,35.79792778,3208.0,,12.8,35.0,0.0,12.5,,1014.1,Russula olympiana,"Santa Fe, New Mexico, United States",1
793fe031-3a5b-4478-b169-964ce5a62f90,300806135,2025-07-24 10:48:44-06:00,2025-07-24,-105.5296041394,39.4864150333,2764.0,,0.6,13.4,9.8,9.6,,1022.8,Russula olympiana,"Colorado, US",1
4cd8f364-4646-4143-b116-04876d9d2d4a,300501632,2025-07-22 09:53:00-06:00,2025-07-22,-105.80165,35.79881944,3208.0,,15.6,29.4,4.1,16.0,,1010.6,Russula olympiana,"Santa Fe, New Mexico, United States",1
f584cabd-7810-4fb9-98ac-ae75eede9cd2,298543321,2025-07-15 11:17:00-06:00,2025-07-15,-105.8003777778,35.7985805556,3208.0,,14.4,32.8,0.0,13.5,,1011.1,Russula olympiana,"Santa Fe County, NM, USA",2
ff19e2a4-19d3-4048-b488-1d949bfdd195,240467449,2024-09-07 12:13:01-06:00,2024-09-07,-107.692028634,37.7747575019,3797.0,,10.0,21.0,0.6,7.7,,1034.1,Russula olympiana,"San Juan National Forest - Headquarters, Silverton, CO, US",2
f88de847-31e8-4ca8-bf21-d4bd829b61e2,238526966,2024-08-28 17:51:26-06:00,2024-08-28,-107.8261373735,39.1575971035,3038.0,,10.0,31.7,0.0,11.0,,1015.4,Russula olympiana,"Delta County, US-CO, US",4
10a0973e-ff7f-4ac5-8f52-0859cf93af3c,236344865,2024-08-17 09:06:50-06:00,2024-08-17,-108.061207356,37.6331175585,2622.0,,12.0,23.0,4.9,9.4,,1034.5,Russula olympiana,"Montezuma County, US-CO, US",3
6996af96-77e6-4ac0-8c28-9c6b127ff2a5,236092385,2024-08-15 16:12:23-06:00,2024-08-15,-107.8184395901,37.8482782172,3298.0,,9.0,23.0,0.0,9.0,,1032.8,Russula olympiana,"Colorado, US",1
01d1c754-ea08-44e8-a407-dd7f02068fa5,235438499,2024-08-12 13:07:29-06:00,2024-08-12,-106.6992043223,37.5162193239,2869.0,,5.0,13.0,4.0,11.7,,1039.4,Russula olympiana,"Colorado, US",4
26d60579-bd2d-441c-91bf-3930286219c9,235268035,2024-08-11 19:42:50-06:00,2024-08-11,-108.0057714466,39.0161766923,3050.0,,16.6,30.7,1.2,10.6,,1016.3,Russula olympiana,"Grand Mesa Uncompahgre and Gunnison National Forests, Cedaredge, CO, US",2
00ea9584-9136-4443-9308-83fbc096bd37,235236178,2024-08-10 21:10:34-06:00,2024-08-10,-105.07332595,39.04303603,2522.0,,12.8,23.7,2.9,11.1,,1018.8,Russula olympiana,"Woodland Park, CO 80863, USA",2
e91caade-96a9-4725-8f0f-2473fde0703c,234131665,2024-08-05 20:27:30-06:00,2024-08-05,-108.0098035659,39.0144952523,3101.0,,18.6,33.8,0.0,10.2,,1015.0,Russula olympiana,"Grand Mesa Uncompahgre and Gunnison National Forests, Cedaredge, CO, US",2
d9d4844d-b814-4937-a130-afc6539148ac,231342232,2024-07-23 18:18:11-06:00,2024-07-23,-107.6159133333,39.1036695,2932.0,,7.5,20.8,0.0,9.2,,1019.3,Russula olympiana,"Grand Mesa Uncompahgre and Gunnison National Forests, Paonia, CO, US",1
6ace8a06-c5d4-469d-9da2-7fa780f0b9ba,178546038,2023-08-14 17:10:53-06:00,2023-08-14,-104.9124742672,38.7320391753,2774.0,,13.0,22.0,0.6,13.5,,1031.9,Russula olympiana,"Rock Creek, Colorado Springs, CO, USA",2
f6e2b9cd-6c69-453a-a2c5-2724129235cb,135569999,2022-09-17 12:43:29-06:00,2022-09-17,-105.5739883333,40.0465445,3334.0,,2.5,21.3,0.0,6.2,,1021.8,Russula olympiana,"Boulder County, US-CO, US",5
4dd01d5f-4251-4bde-8c94-c32a692fb34e,326539422,2025-11-14 13:31:00-08:00,2025-11-14,-122.2246842843,45.3056686629,366.0,,9.0,16.0,4.6,7.9,,1012.5,Russula olympiana,"Clackamas County, OR, USA",1
7d39fbf5-899f-433d-99b7-aa379b9ae296,321760422,2025-10-18 15:01:00-07:00,2025-10-18,-122.2255015723,45.3114660048,411.0,,3.0,18.0,0.3,7.0,,1017.7,Russula olympiana,"Clackamas County, OR, USA",1
