uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
a3356807-439e-4d1f-88e9-18d203ef3233,343765301,2025-08-17 16:03:32-06:00,2025-08-17,-107.846925,37.7952383333,3316.0,,8.0,23.0,0.1,9.2,,1031.8,Russula sanguinea,"Grand Mesa Uncompahgre and Gunnison National Forests, Ophir, CO, US",1,
8af707ee-8d2b-48e6-bea2-4892fca840e7,241674871,2024-09-08 18:40:00-06:00,2024-09-08,-105.6495289228,40.3138745431,2897.0,,1.9,22.2,0.0,4.6,,1030.0,Russula sanguinea,"Larimer County, CO, USA",1,
0c922695-6dd7-4236-b13a-f7a18498feec,238314038,2024-08-26 11:49:56-06:00,2024-08-26,-110.8215782997,40.7262126997,3247.0,,,,,,,,Russula sanguinea,"Bear River, Wyoming 82930, USA",2,
35358fb7-0c7f-4247-ab9f-37b92c634b31,233828581,2024-08-04 16:39:36-06:00,2024-08-04,-106.5052408912,35.834527812,2598.0,,18.0,31.7,0.0,6.8,,1025.8,Russula sanguinea,"Valles Caldera National Preserve, Jemez Springs, NM, US",1,
f8b69418-4819-4c8a-b0a3-ac9c2e11c8b1,128912757,2022-07-28 17:15:40-06:00,2022-07-28,-105.7823054307,35.8104082989,3196.0,,13.3,27.2,,15.6,,1015.2,Russula sanguinea,"Santa Fe County, US-NM, US",1,
b0215a90-1926-4ebb-b9e9-4f390a95cfcd,128836016,2022-07-31 11:54:10-06:00,2022-07-31,-107.6695951439,37.824958832,2990.0,,11.0,22.0,9.9,3.2,,1034.4,Russula sanguinea,"CO, US",1,
fb107029-b36b-459e-af5f-cf6df90f0bf5,31144159,2019-08-19 13:46:01-06:00,2019-08-19,-106.84276216,37.52724439,3231.0,,,,,,,,Russula sanguinea,"Mineral County, US-CO, US",2,
9a8d6691-86b5-4615-944f-98a3e7b151ee,97168685,2021-10-02 14:47:36-07:00,2021-10-02,-121.745475,45.3425966667,1545.0,,,,,,,,Russula sanguinea,"Mt. Hood Park Division Recreation Area, Government Camp, OR, US",1,
22d541a4-54d2-4f3b-808c-17866f37dae5,63046755,2020-10-17 15:47:53-07:00,2020-10-17,-122.1902693588,45.5877934382,323.0,,12.8,17.8,0.8,3.4,,1022.1,Russula sanguinea,"Columbia River Gorge National Scenic Area, Washougal, WA, US",1,
4210a3bd-8ccb-49f5-af25-6a22754cd489,31178193,2019-08-19 11:07:49-07:00,2019-08-19,-122.0869550117,45.3367536522,816.0,,15.6,27.2,0.0,4.9,,1014.3,Russula sanguinea,"Oregon, US",1,
d8023edf-4edf-4a1f-90cd-5685aa4f46a8,186100049,2023-10-03 14:46:56-07:00,2023-10-03,-122.3544383333,45.2598283333,310.0,,15.0,20.6,,4.2,,1020.7,Russula sanguinea,"Estacada, OR, US",1,84QV7J5W+
75052fae-77f3-444f-9740-9b280670236c,62725350,2020-10-15 13:40:04-05:00,2020-10-15,-121.6085302691,44.5513043654,1027.0,,-1.0,15.0,,,,,Russula sanguinea,"Deschutes National Forest, Camp Sherman, OR, US",1,84PWH92R+
7b33b83e-bbd2-4ffb-8f39-f8893c818f0a,38052474,2019-09-14 11:35:18-07:00,2019-09-14,-122.29242,45.5696033333,58.0,,13.9,24.4,0.0,5.4,,1015.2,Russula sanguinea,"Columbia River Gorge National Scenic Area, Washougal, WA, US",1,84QVHP95+
9a9a27a0-ffe8-4a82-86b8-74210970acc2,32927603,2019-09-17 14:47:33-07:00,2019-09-17,-122.056968689,44.7811164856,600.0,,,,,,,,Russula sanguinea,"Idanha, OR 97350, USA",1,84PVQWJV+
74ec18ba-6530-4ca9-a5d3-a22b44c7516b,18861610,2018-11-02 17:47:00-07:00,2018-11-02,-122.38244208,45.42633176,148.0,,12.2,18.3,,11.7,,1023.3,Russula sanguinea,"27210 SE Hwy 212, Boring, OR 97009, USA",1,84QVCJG9+
f3afd171-4bbc-4bbc-bff1-3dfc9cc2b582,195217563,2023-12-29 15:42:24-08:00,2023-12-29,-122.0340945,44.2912616667,695.0,,,,,,,,Russula sanguinea,"Willamette National Forest, Cascadia, OR, US",1,84PV7XR8+
20f9024f-308c-4881-aa48-21128752cb4d,188948573,2023-10-25 15:02:02-07:00,2023-10-25,-122.448845,45.5102366667,103.0,,7.2,10.0,,10.3,,1011.2,Russula sanguinea,"NW Orchard Ave, Gresham, OR, US",1,84QVGH62+
0650ef4e-ec6f-4316-a0c6-7bae523ba0b8,140461074,2022-10-29 10:27:40-07:00,2022-10-29,-122.1591965479,44.3381207999,1496.0,,,,,,,,Russula sanguinea,"Oregon, US",1,84PV8RQR+
b2cec23e-406e-4ec3-8855-30fc3ec4aca9,101065480,2021-11-13 15:02:36+00:00,2021-11-13,-122.309105,44.3703583333,1256.0,,,,,,,,Russula sanguinea,"Willamette National Forest, Cascadia, OR, US",1,84PV9MCR+
743ef69e-c8e7-4eec-89c0-edfda2207e5b,100548756,2021-11-06 12:31:27-07:00,2021-11-06,-122.2549366667,45.7322716667,1001.0,,6.1,11.1,,12.6,,1015.8,Russula sanguinea,"Pyramid, Yacolt, WA, US",1,84QVPPJW+
