uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
506d8f7d-e5b9-49fd-b41a-75b1906f7cc5,313950529,2025-09-13 17:42:37-06:00,2025-09-13,-105.0390319722,39.1122970556,2851.0,,8.5,22.0,2.7,10.3,,1018.5,Russula sp. 'pseudodecolorans',"Woodland Park, CO 80863, USA",1
1178e4d7-9f4b-4478-8ba5-2d7fba72c55b,313946136,2025-09-13 16:50:14-06:00,2025-09-13,-105.0412445,39.1125144722,2855.0,,8.5,22.0,2.7,10.3,,1018.5,Russula sp. 'pseudodecolorans',"Woodland Park, CO 80863, USA",1
bc53b150-9bff-4168-9531-8c3cdaaa7dc7,312047870,2025-09-06 13:10:15-06:00,2025-09-06,-105.03157123,39.18142195,2772.0,,8.0,22.0,0.0,13.7,,1023.9,Russula sp. 'pseudodecolorans',"Sedalia, CO 80135, USA",2
4e741cfc-41db-4d06-84d1-152040adc41e,312047810,2025-09-06 12:54:54-06:00,2025-09-06,-105.03160068,39.18164417,2772.0,,8.0,22.0,0.0,13.7,,1023.9,Russula sp. 'pseudodecolorans',"Douglas County, US-CO, US",1
beddbf0c-be13-4d1f-a1a8-9fe40e60e874,312047784,2025-09-06 12:53:37-06:00,2025-09-06,-105.03153328,39.18168683,2772.0,,8.0,22.0,0.0,13.7,,1023.9,Russula sp. 'pseudodecolorans',"Douglas County, US-CO, US",1
59145c35-748a-45ea-b2fb-4aa4dcfe75c8,312047755,2025-09-06 12:51:47-06:00,2025-09-06,-105.0314758,39.181616,2772.0,,8.0,22.0,0.0,13.7,,1023.9,Russula sp. 'pseudodecolorans',"Douglas County, US-CO, US",1
d1e7966a-1b41-4ac8-85a6-bd2d6a2eb774,312047428,2025-09-06 10:56:49-06:00,2025-09-06,-105.04586037,39.18889314,2716.0,,8.0,22.0,0.0,13.7,,1023.9,Russula sp. 'pseudodecolorans',"Douglas County, US-CO, US",1
7bcc2e87-d4fd-4317-8143-61efd4e62354,312047278,2025-09-06 10:38:07-06:00,2025-09-06,-105.04651303,39.18977224,2723.0,,8.0,22.0,0.0,13.7,,1023.9,Russula sp. 'pseudodecolorans',"Douglas County, US-CO, US",1
fb32bfbf-760a-4254-9a66-a2ad5089baa2,242804956,2024-09-18 12:10:16-06:00,2024-09-18,-105.7482103503,39.4149876061,3033.0,,-2.7,9.0,0.0,18.8,,1013.2,Russula sp. 'pseudodecolorans',"Park County, US-CO, US",2
df4920e1-082b-4dcc-8925-72ba998b9b77,242548487,2024-09-18 11:17:21-06:00,2024-09-18,-105.7528383123,39.4132560417,3062.0,,-2.7,9.0,0.0,18.8,,1013.2,Russula sp. 'pseudodecolorans',"Park County, US-CO, US",2
ac4c2c15-be5a-4482-9927-23584feabc89,240588222,2024-09-08 11:43:29-06:00,2024-09-08,-105.3819287939,39.5664732614,2575.0,,-1.0,12.6,2.8,9.4,,1022.4,Russula sp. 'pseudodecolorans',"Jefferson County, US-CO, US",2
a1760484-4a08-4256-9865-9453c7f1a224,240586141,2024-09-08 11:28:10-06:00,2024-09-08,-105.3821768479,39.5659450528,2575.0,,-1.0,12.6,2.8,9.4,,1022.4,Russula sp. 'pseudodecolorans',"Carol Ln, Conifer, CO, US",2
4b8b2eed-b4c6-44e5-a6c6-26711a42d1b7,183807039,2023-09-17 11:53:34-06:00,2023-09-17,-105.0194300339,39.0680546217,2843.0,,4.5,24.6,0.0,13.6,,1018.7,Russula sp. 'pseudodecolorans',"Colorado Springs, CO 80921, USA",2
9c1fb9df-f9a9-46e1-8af6-d79b334aad6c,180341189,2023-08-22 10:36:27-06:00,2023-08-22,-104.9684087236,38.7015463193,2966.0,,20.0,31.0,0.0,16.7,,1027.6,Russula sp. 'pseudodecolorans',"Colorado, US",2
