uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
c2f30366-8977-44b6-b04c-ec59f71c2482,324014013,2025-08-07 12:00:00-06:00,2025-08-07,-105.030735,39.104601,2822.0,,14.5,34.0,0.0,18.4,,1013.4,Russula sp. 'Woo69',"Pike and San Isabel National Forests, Woodland Park, CO, US",3
36291a45-b50a-4e21-9e96-eb582198abdc,313676778,2025-09-13 15:18:06-06:00,2025-09-13,-106.3964732997,35.8968096997,2858.0,,12.0,16.0,2.0,7.4,,1022.8,Russula sp. 'Woo69',"Los Alamos County, NM, USA",1
bf98677b-0e28-4294-bc31-d6720211180a,312785277,2025-09-08 10:20:00-06:00,2025-09-08,-105.81051667,35.77363611,2979.0,,9.0,28.0,0.0,9.0,,1025.2,Russula sp. 'Woo69',"Santa Fe, New Mexico, United States",1
5cddb1a7-6681-4466-b7fd-e6cd67d921de,312047485,2025-09-06 10:59:03-06:00,2025-09-06,-105.04597559,39.18907289,2716.0,,8.0,22.0,0.0,13.7,,1023.9,Russula sp. 'Woo69',"Douglas County, US-CO, US",1
f1ae50a3-c38e-4109-90ba-be92376351d8,306621502,2025-08-15 12:57:41-06:00,2025-08-15,-105.3817033333,39.1754666667,2500.0,,12.0,21.0,2.3,7.0,,1016.4,Russula sp. 'Woo69',"Jefferson County, US-CO, US",1
bf38e71a-9855-4abb-908e-1501001c0620,304619025,2025-08-07 11:18:08-06:00,2025-08-07,-105.0286416667,39.1219,2813.0,,14.5,34.0,0.0,18.4,,1013.4,Russula sp. 'Woo69',"Pike and San Isabel National Forests, Woodland Park, CO, US",2
0182c676-ffe8-4487-8778-3b8580b301ee,304589695,2025-08-07 10:46:06-06:00,2025-08-07,-105.0288611667,39.1206695,2827.0,,14.5,34.0,0.0,18.4,,1013.4,Russula sp. 'Woo69',"Saylor Park Road, Woodland Park, CO, US",2
865e14e3-f15f-4e2e-8318-3d3a70b228e8,240625848,2024-09-08 12:28:01-06:00,2024-09-08,-105.3824586154,39.5664253605,2575.0,,-1.0,12.6,2.8,9.4,,1022.4,Russula sp. 'Woo69',"Black Mountain Dr, Evergreen, CO, US",2
7692bfd4-a754-424e-8dfc-649001fd908b,240620842,2024-09-08 11:40:03-06:00,2024-09-08,-105.3820169541,39.5663678014,2575.0,,-1.0,12.6,2.8,9.4,,1022.4,Russula sp. 'Woo69',"Black Mountain Dr, Evergreen, CO, US",2
055cbacb-8be7-4c08-b54e-751f4c420e9b,237420502,2024-08-22 18:07:44-06:00,2024-08-22,-105.5616092819,40.1669829095,3254.0,,9.6,22.1,3.7,4.4,,1030.1,Russula sp. 'Woo69',"Colorado, US",1
b32f449d-48c5-46d2-b9b7-a0253889f26a,230432493,2024-07-19 14:52:33-06:00,2024-07-19,-104.8583715323,38.616086743,1961.0,,15.3,29.0,,15.4,,1017.3,Russula sp. 'Woo69',"Colorado, US",2
b3ed9749-e9ab-4fbe-83ca-634fe10c63c9,182419371,2023-09-08 10:39:22-06:00,2023-09-08,-105.020111315,39.0510505774,2836.0,,9.2,28.6,0.0,19.7,,1017.2,Russula sp. 'Woo69',"Colorado Springs, CO 80921, USA",2
37c2d298-cd4e-4c23-8b3f-b251516ce155,181947819,2023-09-04 11:24:38-06:00,2023-09-04,-105.0226835534,39.0692252157,2827.0,,11.2,29.9,0.0,16.6,,1003.4,Russula sp. 'Woo69',"Woodland Park, CO 80863, USA",2
c5726197-2b78-4115-bf01-fd0be34eb5be,181825592,2023-08-31 20:04:45-06:00,2023-08-31,-105.0002596155,39.0091896291,2822.0,,11.8,31.7,0.0,14.6,,1009.8,Russula sp. 'Woo69',"Colorado Springs, CO 80921, USA",2
f82ee153-59b4-4b06-a81c-90718a77e72e,174707546,2022-08-23 14:18:00-06:00,2022-08-23,-105.6133944444,39.6850861111,2808.0,,-0.1,12.0,1.5,5.3,,1021.2,Russula sp. 'Woo69',"Clear Creek County, CO, USA",3
93657d6f-0ca4-4576-96a4-1f983f2cd425,132229301,2022-08-24 10:24:15-06:00,2022-08-24,-104.9146692225,38.737255818,2794.0,,15.0,25.0,0.0,10.2,,1024.3,Russula sp. 'Woo69',"El Paso County, US-CO, US",1
