uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
ef52bd02-74fe-4f9f-8730-c927defc9f1e,393657960,2026-08-18 11:04:52-06:00,2026-08-18,-109.2057856462,42.8364170521,3177.0,,11.9,24.1,0.3,11.6,,1017.9,Sarcodon imbricatus,"Fremont County, US-WY, US",1
f8a6cf32-789e-4c50-a8ea-7470b0423701,392180733,2026-08-17 13:51:27-06:00,2026-08-17,-107.933911141,39.0625205962,3312.0,,17.5,34.7,0.0,11.1,,1015.8,Sarcodon imbricatus,"Cedaredge, CO 81413, USA",1
b778123c-bbb6-4fc2-b955-fafa24906132,391958155,2026-08-16 14:28:49-06:00,2026-08-16,-106.8054670596,36.0532056554,2965.0,,,,,,,,Sarcodon imbricatus,"Rio Arriba County, US-NM, US",1
06824853-bf2f-4734-9696-8e4106963995,391230589,2026-08-14 11:01:14-06:00,2026-08-14,-107.886053659,37.8136458756,3139.0,,10.0,19.0,4.5,2.8,,,Sarcodon imbricatus,"R37V+32, Durango, CO 81301, USA",1
454167a8-5703-4d06-aa45-454079c2400f,390580625,2026-08-12 09:03:29-06:00,2026-08-12,-107.8344698065,37.9619953194,3225.0,,13.0,22.0,5.5,2.2,,,Sarcodon imbricatus,"Telluride, CO, US",2
87caa7e1-6df6-44ce-b17b-690f3b021d5e,389468487,2026-08-08 10:49:54-06:00,2026-08-08,-105.647775,39.9011083333,2819.0,,10.0,16.0,1.6,12.1,,1021.0,Sarcodon imbricatus,"Black Hawk, CO, US",1
a6a2ae56-e54f-4a56-aa2a-0367de8f1a9f,388223334,2026-08-03 09:24:43-06:00,2026-08-03,-105.9258185785,39.4974389822,3106.0,,6.0,18.0,2.6,17.0,,,Sarcodon imbricatus,"Summit County, US-CO, US",1
52461b48-6f77-41b2-bf49-7513a5a61d9e,388033311,2026-08-03 14:48:49-06:00,2026-08-03,-108.0547731605,39.0616326806,3068.0,,19.6,38.3,0.0,5.0,,,Sarcodon imbricatus,"Mesa County, US-CO, US",1
44bb7287-1f93-463f-a270-dc0cc251bb63,382092021,2026-07-15 09:53:00-06:00,2026-07-15,-105.867649124,35.6128337162,2406.0,,17.2,29.4,0.9,9.7,,,Sarcodon imbricatus,"New Mexico, US",1
2af3a300-944e-472d-9186-06409c29103a,376900804,2026-06-28 12:04:00-06:00,2026-06-28,-105.689792073,35.6830303767,2247.0,,15.6,32.2,0.0,11.3,,,Sarcodon imbricatus,"New Mexico, US",1
a09ed4b5-2b99-40cd-a3e4-f604895277b7,353631867,2025-08-14 11:22:33-06:00,2025-08-14,-105.6857943535,41.3479250857,2223.0,,11.0,30.0,0.0,14.9,,1022.4,Sarcodon imbricatus,"Bosler, WY 82070, USA",2
3dae20db-77e7-4ecd-98f0-868d281e27c6,344141682,2025-07-19 11:19:41-06:00,2025-07-19,-104.9864776559,38.902327046,2697.0,,13.3,30.3,2.6,11.0,,1011.8,Sarcodon imbricatus,"Pike and San Isabel National Forests, Cascade, CO, US",1
3625102b-8131-42ec-9f4b-213bbad64dd4,323026084,2021-08-24,2025-07-19,-107.926454097,38.9016478574,1902.0,,17.2,36.9,0.0,6.3,,1020.2,Sarcodon imbricatus,"Cedaredge, CO 81413, USA",1
42c29079-79f4-4b03-9295-14e106669c03,318957286,2025-10-05 10:56:01-06:00,2025-10-05,-105.5848616667,39.9842916667,3031.0,,-6.7,3.0,6.8,15.6,,1014.3,Sarcodon imbricatus,"Nederland, CO, US",1
02a423f3-59ea-4f7f-a562-1e17ee002eb9,310049875,2025-08-28 15:03:55-06:00,2025-08-28,-105.8006643534,35.7958618758,3166.0,,13.0,28.0,0.0,10.2,,1025.8,Sarcodon imbricatus,"Ski Santa Fe, Tererro, NM, US",1
51e63f28-d6fa-4a5a-8cc9-ecf875d88b52,309798422,2025-08-27 12:11:00-06:00,2025-08-27,-105.7999027778,35.7982611111,3249.0,,15.0,26.0,1.6,10.3,,1026.5,Sarcodon imbricatus,"Santa Fe County, NM, USA",2
5554f705-53a0-4ac8-bcc3-365cecd9697f,308565111,2022-09-07 10:33:00-06:00,2022-09-07,-105.5892555556,39.6530972222,3293.0,,5.8,17.7,0.3,4.3,,1024.9,Sarcodon imbricatus,"Clear Creek County, CO, USA",1
c3c4c91a-d272-4d5c-bacd-0f57d9991bc4,308078854,2025-08-14 12:31:45-06:00,2025-08-14,-105.4422383333,39.8796883333,2716.0,,22.0,34.0,0.2,8.2,,1016.6,Sarcodon imbricatus,"Golden Gate Canyon State Park, Black Hawk, CO, US",1
ed0ad961-9232-4175-a0a8-488c4136362d,307900761,2025-08-17 21:23:44-06:00,2025-08-17,-104.806230445,39.7483704615,1662.0,,17.2,31.1,0.0,10.3,,1012.5,Sarcodon imbricatus,"Colorado, US",1
3d743c40-25bf-4ffd-9d1c-a9135a79b6d1,307369458,2022-08-13 18:06:39-06:00,2022-08-13,-107.956483,37.775251,2926.0,,11.0,23.0,4.2,7.5,,1034.2,Sarcodon imbricatus,"E First St, Cortez, CO, US",1
d9806e2e-2cdf-4d13-ae86-fa0b4f436fa1,306375817,2025-08-14 11:51:07-06:00,2025-08-14,-107.9213203151,37.8503584567,3297.0,,14.0,23.0,1.2,9.1,,1030.5,Sarcodon imbricatus,"Colorado, US",2
9365507a-0026-43e9-9bca-21481d8bcbf9,305914703,2025-07-29 11:40:21-06:00,2025-07-29,-105.1826528206,38.9835882829,2746.0,,11.0,17.0,5.1,4.7,,1023.3,Sarcodon imbricatus,"Teller County, US-CO, US",1
98a7571b-8123-45f1-bf46-f968abb32da9,305373264,2025-08-08 18:37:43-06:00,2025-08-08,-105.6888434251,39.8624205866,3671.0,,5.0,14.7,0.0,18.7,,1017.0,Sarcodon imbricatus,"Colorado, US",1
7aaa3968-329b-4720-abb0-7299918c677f,305264305,2025-08-08,2025-08-08,-105.7777850702,39.7983193575,3454.0,,5.0,14.7,0.0,18.7,,1017.0,Sarcodon imbricatus,"Empire, CO 80438, USA",2
57ae4218-4a6d-4e7f-9526-dea5fa745e07,305089799,2025-08-09 10:54:53-06:00,2025-08-09,-105.4068829737,36.2004736523,3123.0,,1.9,27.0,0.0,9.5,,1027.7,Sarcodon imbricatus,"Forest Service Road 76, Vadito, NM, US",1
86662a51-bd2b-4560-acb8-0062b9426028,304866772,2025-08-08 09:37:48-06:00,2025-08-08,-106.3931115997,35.9216754997,2908.0,,20.9,32.5,0.8,13.7,,1025.1,Sarcodon imbricatus,"Los Alamos County, NM, USA",2
cf737311-a51a-44f3-9423-414b9cde4e79,304821170,2025-08-06 14:09:29-06:00,2025-08-06,-105.2148048916,39.4259571148,1950.0,,15.0,33.9,0.0,12.3,,1016.0,Sarcodon imbricatus,"Colorado, US",2
2a42ba1f-58f7-4292-b6b4-d84adf8a6083,304155270,2025-08-05 18:59:30-06:00,2025-08-05,-105.6615715465,39.9733917227,3303.0,,4.5,15.8,0.0,17.0,,1020.2,Sarcodon imbricatus,"Colorado, US",1
19fd225a-acde-4a39-9016-9d8ebb43b197,304154631,2025-08-05 18:32:48-06:00,2025-08-05,-105.695180518,39.9659997039,3484.0,,4.5,15.8,0.0,17.0,,1020.2,Sarcodon imbricatus,"Colorado, US",1
1e31855c-d8b2-43ac-b863-5a9be6c8e214,303895297,2025-08-03 12:33:43-06:00,2025-08-03,-105.597175,40.1829133333,3034.0,,4.2,25.5,0.0,9.6,,1031.2,Sarcodon imbricatus,"Rocky Mountain National Park, Ward, CO, US",1
89443497-5614-48cc-9340-f9cb03c784ba,302987609,2025-08-01 15:41:40-06:00,2025-08-01,-105.4990868,39.6908163,3162.0,,0.9,12.6,3.6,11.8,,1026.5,Sarcodon imbricatus,"Idaho Springs, CO 80452, USA",1
f5597f22-41b3-4c56-8d70-2716c86b7dbb,302639027,2025-07-23 14:53:06-06:00,2025-07-23,-105.7186423038,39.6109912077,3299.0,,3.2,12.3,2.8,11.6,,1019.5,Sarcodon imbricatus,"Guanella Pass Rd, Idaho Springs, CO, US",1
e9a45254-414e-4701-907a-09e821287cc4,302602394,2025-07-30 09:41:22-06:00,2025-07-30,-105.5907028,39.6564540997,3212.0,,2.1,13.4,7.8,9.4,,1025.5,Sarcodon imbricatus,"Golden, CO 80439, USA",2
d99ada5d-2f79-402d-9599-8a7a93dec1f6,302459750,2025-07-30 09:41:52-06:00,2025-07-30,-105.5907216667,39.6564416667,3212.0,,2.1,13.4,7.8,9.4,,1025.5,Sarcodon imbricatus,"Captain Mountain Trail, Evergreen, CO, US",1
addecf78-9d2e-47c1-8143-bc149644a89b,302296813,2025-07-27 17:39:21-06:00,2025-07-27,-107.8761916667,37.8226416667,3053.0,,10.0,24.0,0.0,11.2,,1033.0,Sarcodon imbricatus,"Ophir, CO 81426, USA",1
8ed19819-a7de-4676-b483-bcb479105cac,301926441,2025-07-25 10:15:00-06:00,2025-07-25,-105.8004083333,35.7987138889,3208.0,,11.7,31.7,0.0,10.7,,1013.9,Sarcodon imbricatus,"Santa Fe County, NM, USA",1
cc00719e-38e8-4ddd-a870-f3272cb76662,301922517,2025-07-25 10:33:21-06:00,2025-07-25,-105.61893408,39.9517072,2986.0,,1.8,14.6,2.0,10.6,,1020.4,Sarcodon imbricatus,"Boulder County, US-CO, US",1
4e8bede1-1db9-45fd-9414-9d6c79622893,301757732,2025-07-27 16:16:54-06:00,2025-07-27,-105.8722296246,35.7123963841,2545.0,,13.9,33.9,0.0,9.8,,1013.4,Sarcodon imbricatus,"New Mexico, US",1
c028b3da-342b-42b1-bd99-18238c9dee98,301675464,2025-07-27 11:57:51-06:00,2025-07-27,-105.5465081784,40.0541373137,3262.0,,17.0,37.0,0.0,6.7,,1020.3,Sarcodon imbricatus,"Colorado, US",1
7d5763e7-fb46-4e80-bdde-814d20937610,301665480,2025-07-26 10:24:17-06:00,2025-07-26,-105.5981818789,40.0790148349,3433.0,,6.3,26.2,0.1,9.3,,1027.9,Sarcodon imbricatus,"Colorado, US",1
bbae1731-6c8d-42aa-a4f7-03ad227e7e4c,301399551,2025-07-26 11:56:42-06:00,2025-07-26,-105.5905963627,40.1954463521,2826.0,,6.3,26.2,0.1,9.3,,1027.9,Sarcodon imbricatus,"Rocky Mountain, Rocky Mountain National Park, Boulder County, US-CO, US",1
6adff95e-61c3-4834-9485-d70587073c5c,301367967,2025-07-25 16:54:32-06:00,2025-07-25,-105.5234754546,40.1626797669,3006.0,,15.0,33.0,0.1,7.0,,1019.9,Sarcodon imbricatus,"Colorado, US",1
9972d199-2e27-473b-a8d1-4c6a74a27640,301367842,2025-07-25 16:41:52-06:00,2025-07-25,-105.5197594718,40.0826231513,2944.0,,15.0,33.0,0.1,7.0,,1019.9,Sarcodon imbricatus,"Colorado, US",1
1dfdeae7-a9e4-4ab6-93fd-2153893d1a96,301367621,2025-07-25 16:32:39-06:00,2025-07-25,-105.5406885668,40.0092272353,2917.0,,15.0,33.0,0.1,7.0,,1019.9,Sarcodon imbricatus,"Colorado, US",1
b57b2925-2143-4933-aef9-4a5d45510076,300790882,2025-07-23 12:11:19-06:00,2025-07-23,-105.7764830925,39.7994820285,3447.0,,3.2,12.3,2.8,11.6,,1019.5,Sarcodon imbricatus,"Colorado, US",1
2ae5d6a9-fd83-4a2d-827a-38c5969e29d7,300389832,2025-07-22 11:20:08-06:00,2025-07-22,-105.6264764965,39.9789890178,3300.0,,3.9,14.7,11.4,11.1,,1017.4,Sarcodon imbricatus,"Colorado, US",1
e667dc1d-0d5d-4455-8a0c-8d4d3976ba8b,299311593,2025-07-19 11:24:39-06:00,2025-07-19,-105.5520929,40.0713464997,3227.0,,17.0,31.0,0.8,3.5,,1019.1,Sarcodon imbricatus,"Nederland, CO 80466, USA",1
c08fdc98-5dc5-4127-8589-d2df8fbb06d1,299063466,2025-07-18 13:43:51-06:00,2025-07-18,-105.0493310166,37.8736509718,2905.0,,16.0,33.0,0.0,11.4,,1012.5,Sarcodon imbricatus,"Colorado, US",1
cf43b1d0-ce8c-4bea-8f3b-62ebc4207508,298480074,2025-07-15 13:41:25-06:00,2025-07-15,-105.3840033333,39.5656133333,2580.0,,2.6,15.0,0.7,14.6,,1017.9,Sarcodon imbricatus,"Carol Ln, Conifer, CO, US",1
3959c250-c1d3-40cb-a5c2-b6b0a725f3b7,297799900,2025-07-13 16:42:33-06:00,2025-07-13,-105.1614861667,38.9458966667,2790.0,,11.4,30.5,0.0,12.3,,1015.3,Sarcodon imbricatus,"Grandview Dr, Divide, CO, US",2
1b25b77f-1fb7-4da1-aa22-7a94ceae59ac,297524427,2025-07-11 17:39:53-06:00,2025-07-11,-104.8472362288,38.650244475,2036.0,,13.4,29.5,1.6,14.6,,1013.8,Sarcodon imbricatus,"Colorado, US",1
9370852a-88e0-4522-9c1f-6c1e367b24b6,297115028,2025-07-11 13:36:34-06:00,2025-07-11,-105.011905767,39.0468160469,2804.0,,10.3,28.4,2.5,14.6,,1013.1,Sarcodon imbricatus,"El Paso County, US-CO, US",2
27cb0c64-1aa2-43ef-bfa2-baf333420942,296582321,2025-07-09 11:43:19-06:00,2025-07-09,-105.3836966667,39.5685216667,2576.0,,3.3,17.9,0.2,10.3,,1021.7,Sarcodon imbricatus,"Black Mountain Dr, Evergreen, CO, US",2
777e759c-6ebd-4900-9ea7-20afb0aa6812,295507067,2025-07-05 11:47:07-06:00,2025-07-05,-105.52881017,40.13095114,2681.0,,17.0,34.0,3.9,8.9,,1022.5,Sarcodon imbricatus,"Boulder County, US-CO, US",1
f2b270bd-7099-452f-9fe2-6b72bf888d50,291819998,2022-08-05 15:08:55-06:00,2022-08-05,-107.6645058766,37.8119403505,2841.0,,14.0,24.0,2.3,7.2,,1032.0,Sarcodon imbricatus,"Silverton, CO 81433, USA",1
9022126c-93ca-47d4-84f4-9aad92723faa,272497489,2024-08-10 14:30:00-06:00,2024-08-10,-108.0722969832,37.40243744,3190.0,,14.4,26.7,,8.4,,1020.2,Sarcodon imbricatus,"Mancos, CO, US",1
426a59d7-f0a8-4630-a3a1-b85638d26362,267420992,2024-07-20 10:40:04-06:00,2024-07-20,-107.9430166667,37.8002383333,3145.0,,14.0,21.0,2.1,7.5,,1034.4,Sarcodon imbricatus,"San Juan National Forest - Headquarters, Dolores, CO, US",1
4d0a03af-75ab-4466-9f88-248a6ed063f5,267420908,2024-07-20 10:48:40-06:00,2024-07-20,-107.9433883333,37.8002466667,3145.0,,14.0,21.0,2.1,7.5,,1034.4,Sarcodon imbricatus,"San Juan National Forest - Headquarters, Dolores, CO, US",1
3956794d-a7b2-4d19-b855-ab2bd1c21439,267288977,2024-07-20 11:12:50-06:00,2024-07-20,-107.9444283333,37.800555,3181.0,,14.0,21.0,2.1,7.5,,1034.4,Sarcodon imbricatus,"San Juan National Forest - Headquarters, Dolores, CO, US",1
12c60f2f-b56e-4230-bd9f-84459fe19220,267207919,2024-08-27 12:40:43-06:00,2024-08-27,-107.5918583333,38.176645,2836.0,,2.8,21.0,,9.1,,,Sarcodon imbricatus,"Grand Mesa Uncompahgre and Gunnison National Forests, Ridgway, CO, US",1
4331da45-affd-4d4c-885c-3cf676f5243b,261886696,2022-08-07 08:43:05-06:00,2022-08-07,-107.9848649869,39.0396314111,3140.0,,19.0,36.4,0.0,10.0,,1021.5,Sarcodon imbricatus,"Grand Mesa Uncompahgre and Gunnison National Forests, Cedaredge, CO, US",1
2e9009dc-be73-4953-8d03-e81bd77acc61,259725928,2024-08-17 11:00:01-06:00,2024-08-17,-105.67388,39.8837616667,3115.0,,2.2,17.0,0.1,11.0,,1021.7,Sarcodon imbricatus,"South Boulder Creek Trail, Black Hawk, CO, US",1
76c925d5-ef18-44bd-be4c-53c705190533,254216099,2022-08-13 12:33:00-06:00,2022-08-13,-105.1265533467,38.8561495702,3147.0,,16.3,31.3,0.0,6.9,,1015.2,Sarcodon imbricatus,"S of the Craigs CG, Teller County, CO, USA",2
b7d10208-de87-47d5-8d50-0ce413c773fa,254214067,2022-08-13 09:03:00-06:00,2022-08-13,-105.1265533467,38.8561495702,3147.0,,16.3,31.3,0.0,6.9,,1015.2,Sarcodon imbricatus,"S of the Craigs CG, Teller County, CO, USA",2
4b95d745-f75b-4c42-98f3-2b96ca873cf8,247819796,2024-10-17 10:18:39-06:00,2024-10-17,-107.4856465717,40.1664292005,2973.0,,2.2,16.7,,20.5,,1005.0,Sarcodon imbricatus,"Colorado, US",1
dfc28175-b833-42ad-84a7-9918e532146b,246958468,2022-08-19 09:58:48-06:00,2022-08-19,-107.8585666667,37.87978,3275.0,,10.0,17.0,7.5,3.4,,1030.0,Sarcodon imbricatus,"Grand Mesa Uncompahgre and Gunnison National Forests, Ophir, CO, US",2
476a479f-fa8f-44e8-ad9b-e883511688d2,244824154,2024-09-24 09:06:02-06:00,2024-09-24,-106.3293083333,38.3157383333,3176.0,,2.0,12.0,0.0,18.3,,1037.5,Sarcodon imbricatus,"Grand Mesa Uncompahgre and Gunnison National Forests, Saguache, CO, US",1
4bc06ed5-918a-4f12-a799-442db39b6014,244435855,2024-09-27 14:39:05-06:00,2024-09-27,-105.6014033333,40.06815,3253.0,,2.4,22.7,0.0,5.0,,1030.2,Sarcodon imbricatus,"Jean Lunning Trail, Ward, CO, US",2
b846cd01-761c-404e-90cf-3eacf4799242,244429924,2024-09-13 15:49:26-06:00,2024-09-13,-107.9491139722,39.0602129722,3355.0,,11.7,26.9,0.0,13.2,,1010.4,Sarcodon imbricatus,"Cedaredge, CO 81413, USA",1
aa6ae7b5-33b6-4777-8800-a05d5e090a54,244428896,2024-09-11 10:04:06-06:00,2024-09-11,-107.286574,39.9926159722,2877.0,,,,,,,,Sarcodon imbricatus,"Garfield County, US-CO, US",2
fe6d17fd-52fd-4268-96e3-60fb6c0b80f0,244428661,2024-09-11 09:45:57-06:00,2024-09-11,-107.286568,39.992752,2877.0,,,,,,,,Sarcodon imbricatus,"Garfield County, US-CO, US",2
d32c590c-7c06-492d-a699-c1a2e2f208a3,243452335,2024-09-21 10:05:25-06:00,2024-09-21,-106.5798285976,39.5817363116,2446.0,,2.8,22.8,11.3,7.6,,1011.0,Sarcodon imbricatus,"Edwards, CO 81632, USA",1
24af4adc-b6b0-4b04-88e0-6f3329cbd094,242412116,2024-08-16 11:13:58-06:00,2024-08-16,-106.131675,39.5779583333,2939.0,,12.0,19.0,0.5,20.3,,1039.7,Sarcodon imbricatus,"White River National Forest, Silverthorne, CO, US",1
3ab4801c-fcbf-45a1-9394-12ea90e47aaa,242121310,2024-09-15 14:50:40-06:00,2024-09-15,-105.5679380894,39.9495238837,2643.0,,-1.6,11.6,4.9,9.5,,1017.5,Sarcodon imbricatus,"Eldora, CO 80466, USA",3
50f20608-3cab-4ea0-9d2f-c9164c4fd148,241770439,2024-09-14 12:32:37-06:00,2024-09-14,-105.0234709741,38.9955872638,2863.0,,9.7,29.1,0.0,15.2,,1011.1,Sarcodon imbricatus,"Colorado, US",1
b6a1a3c4-0f13-4488-8296-239028614faa,240942098,2024-08-16 11:08:33-06:00,2024-08-16,-107.7072906494,37.725189209,3300.0,,12.0,25.0,0.0,11.9,,1033.2,Sarcodon imbricatus,"San Juan County, US-CO, US",1
d6ec3bf2-e2c4-4b22-96d6-4260842e14db,240876835,2024-09-08 16:41:38-06:00,2024-09-08,-106.30922984,38.88197668,3410.0,,1.2,19.1,1.2,7.2,,1020.7,Sarcodon imbricatus,"Chaffee County, US-CO, US",2
12e2752a-8479-4c22-a65d-7737a39a5836,240858582,2024-09-08 16:05:00-06:00,2024-09-08,-108.0615444444,37.8831416667,2907.0,,10.0,20.0,0.3,8.9,,1032.5,Sarcodon imbricatus,"San Miguel County, CO, USA",3
1bfa0951-138f-484a-8c56-326501d75a92,240779213,2024-09-07 16:00:29-06:00,2024-09-07,-106.363975,39.2407,2947.0,,1.1,21.1,0.0,9.0,,1019.8,Sarcodon imbricatus,"Mt. Massive Golf Club, Leadville, CO, US",1
eef15e3a-264b-43e0-80c7-cf2f88918733,240689309,2024-09-07 18:27:04-06:00,2024-09-07,-105.8949265723,39.4207454375,3172.0,,1.1,21.1,0.0,9.0,,1019.8,Sarcodon imbricatus,"Pike and San Isabel National Forests, Jefferson, CO, US",2
04ca3552-8f64-4aa5-919b-d23ba0be2780,240666885,2024-09-08 12:36:26-06:00,2024-09-08,-107.7364016667,37.8594666667,3506.0,,10.0,20.0,0.3,8.9,,1032.5,Sarcodon imbricatus,"San Juan County, US-CO, US",2
40a6a2b5-c9ce-46bd-9566-ee731d3bd0ec,240183559,2024-09-05 12:09:56-06:00,2024-09-05,-105.778253,39.812285,3333.0,,-2.7,7.1,3.6,11.7,,1032.4,Sarcodon imbricatus,"Winter Park, CO 80482, USA",1
b3c9219b-7326-492d-8649-cdffa93d5f7d,239874032,2024-09-04 11:24:08-06:00,2024-09-04,-105.7881852,39.8089358,3422.0,,0.9,12.8,6.8,9.1,,1025.2,Sarcodon imbricatus,"Winter Park, CO 80482, USA",3
714ed794-1417-4f30-a9f4-3adc9cc5a555,239873515,2024-09-04 10:50:08-06:00,2024-09-04,-105.7850655997,39.8101625997,3391.0,,0.9,12.8,6.8,9.1,,1025.2,Sarcodon imbricatus,"Winter Park, CO 80482, USA",1
ffcdc7e2-ad75-4e40-b5a8-9e5dc9a462ba,239834786,2024-09-04 12:08:27-06:00,2024-09-04,-105.7824728194,39.8098810419,3362.0,,0.9,12.8,6.8,9.1,,1025.2,Sarcodon imbricatus,"Winter Park, CO, US",2
b6db5249-5eab-4332-8d10-2c5677218279,239814620,2024-09-04 10:31:44-06:00,2024-09-04,-105.7844745824,39.8100847151,3391.0,,0.9,12.8,6.8,9.1,,1025.2,Sarcodon imbricatus,"Winter Park, CO, US",3
73d866d3-3704-440a-a276-3c8ce4430516,239603381,2024-09-01 17:58:18-06:00,2024-09-01,-106.821355021,39.5450306271,3074.0,,7.2,29.4,,6.4,,1018.2,Sarcodon imbricatus,"Colorado, US",2
