uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
ff967905-c355-425a-81bd-3b3d001c7979,308846012,2025-08-23 13:17:09-06:00,2025-08-23,-105.4455545917,39.6094258735,2517.0,,0.5,14.1,3.4,10.2,,1024.6,Stropharia rugosoannulata,"Golden, CO 80439, USA",1,
5ac7e699-a5e9-4548-a10e-2eccf05728a5,304071602,2025-08-05 14:58:30-06:00,2025-08-05,-105.2528730778,40.0478210989,1634.0,,17.0,37.0,0.0,8.0,,1019.1,Stropharia rugosoannulata,"Nevis St, Boulder, CO, US",1,
37a4d138-127b-424f-80c6-14b78e52b687,280932960,2025-05-13 11:49:53-06:00,2025-05-13,-104.9679866667,39.6948283333,1631.0,,12.9,28.9,0.0,16.0,,997.1,Stropharia rugosoannulata,"S Gilpin St, Denver, CO, US",2,
e2dcdf5f-8bc5-4ad9-a531-5f2d8ed71618,226004278,2024-06-29 13:09:10-06:00,2024-06-29,-104.9458695297,39.710550299,1625.0,,17.9,27.5,0.0,17.1,,1016.3,Stropharia rugosoannulata,"E Cherry Creek North Dr, Denver, CO, US",1,
b1407b65-33d8-4072-aa05-296250a2ec53,216417788,2024-05-17 11:33:35-06:00,2024-05-17,-105.1258208603,39.7809685102,1652.0,,11.0,26.0,0.0,18.9,,1010.6,Stropharia rugosoannulata,"Fruitdale, Wheat Ridge, CO 80033, USA",1,
bb9821e4-addd-45e4-9f2b-0ef84b649551,165899737,2023-06-06 08:03:03-06:00,2023-06-06,-104.9223333,39.6875385,1658.0,,11.4,23.7,0.8,9.1,,1014.0,Stropharia rugosoannulata,"E Iowa Ave, Denver, CO, US",2,
a680001c-878a-49d7-bad4-27ae94af593f,153188248,2017-05-31,2017-05-31,-103.0030305665,42.837893665,1035.0,,7.2,25.6,0.0,20.1,,1016.2,Stropharia rugosoannulata,"Chadron, NE 69337, USA",2,
9c64aa20-436c-4546-af98-e204fcd3688f,153180153,2018-08-16,2018-08-16,-103.0032531899,42.8379467689,1035.0,,10.6,30.0,0.0,7.9,,1017.5,Stropharia rugosoannulata,"Chadron, NE 69337, USA",1,
a632647d-5636-44f4-89f2-7c5f30b75fb5,131919946,2022-08-22 11:15:07-06:00,2022-08-22,-104.9088745117,39.6880436334,1650.0,,15.3,27.0,0.0,9.7,,1017.2,Stropharia rugosoannulata,"Cook Park Recreation Center, Denver, CO, US",1,
cf0be376-3cb6-450e-8541-0c73a2e3bfa8,362672036,2026-05-14 13:07:17-07:00,2026-05-14,-122.7065883333,45.519805,163.0,,11.7,17.2,0.1,5.1,,1017.0,Stropharia rugosoannulata,"SW Kingston Ave, Portland, OR, US",1,84QVG79V+
53ccd614-e219-4698-b846-af3ec9e4c108,318524266,2025-10-03 17:20:08-07:00,2025-10-03,-122.7306928486,45.4395568126,197.0,,12.0,18.0,0.2,4.2,,1020.9,Stropharia rugosoannulata,PCC Sylvania Campus Bookstore,1,84QVC7Q9+
c6225692-a3e4-443a-b06a-793e6ed038e7,270133643,2025-04-12 13:07:23-07:00,2025-04-12,-122.8179883584,45.4815977731,61.0,,2.8,13.3,0.4,8.8,,1027.3,Stropharia rugosoannulata,"Central Beaverton, Beaverton, OR 97005, USA",2,84QVF5JJ+
a48650d8-b756-4946-b9d0-3a309411f7aa,250580495,2024-11-05 09:19:03-08:00,2024-11-05,-122.4199966667,45.504475,102.0,,5.6,11.7,,4.9,,1027.6,Stropharia rugosoannulata,"NE Division St, Gresham, OR, US",1,84QVGH3J+
135011db-d435-4ecb-bd82-399fe1e0dee8,247000639,2024-10-12 13:30:20-07:00,2024-10-12,-122.6858133333,45.39682,134.0,,7.8,22.8,0.0,2.5,,1018.1,Stropharia rugosoannulata,"Hazelia Field at Luscher Farm, Lake Oswego, OR, US",1,84QV98W7+
a709eab7-87f8-4d0e-b18b-42eccabd5bc3,220787220,2024-06-05 16:56:55-07:00,2024-06-05,-122.6368376365,45.4823830534,26.0,,10.6,23.9,0.0,11.2,,1021.1,Stropharia rugosoannulata,"Reed, Portland, OR 97202, USA",1,84QVF9J7+
41b61fb6-4a89-43af-adcc-b917995c99cc,220599583,2024-06-04 19:04:32-07:00,2024-06-04,-122.82530008,45.4809651,65.0,,11.1,18.3,,16.2,,1016.0,Stropharia rugosoannulata,"Central Beaverton, Beaverton, OR 97005, USA",2,84QVF5JF+
55e7467d-f1e7-4438-b116-8f1385176c5b,213857717,2024-05-03 15:08:02-07:00,2024-05-03,-122.678445,45.6690133333,17.0,,7.8,18.3,,7.5,,1013.5,Stropharia rugosoannulata,"Goss Tracts, Vancouver, WA, US",1,84QVM89C+
58abad42-65bc-4983-b1ab-8307647a0ac2,199073750,2023-11-16 10:54:56-08:00,2023-11-16,-122.68647,45.51242,57.0,,3.9,12.2,0.0,10.1,,1017.9,Stropharia rugosoannulata,"Portland State University, Portland, OR, US",2,84QVG867+
aae87fc6-2459-4641-8370-ad4ae687d93d,190287212,2023-10-18 16:20:01-07:00,2023-10-18,-122.7034706007,45.5212752838,115.0,,8.9,22.8,0.0,3.2,,1018.5,Stropharia rugosoannulata,"Washington Park, Portland, OR, US",2,84QVG7CW+
0c91a61f-ca60-470e-bd6f-f7f377f5c36c,185075419,2023-09-26 16:14:11-07:00,2023-09-26,-122.7059331115,45.5184232628,136.0,,13.3,20.0,1.8,16.6,,1015.5,Stropharia rugosoannulata,"Washington Park, Portland, OR, US",1,84QVG79V+
59744332-4a73-40fa-9ce2-3db8ca708a48,183279576,2023-09-11 16:12:00-07:00,2023-09-11,-122.7052575376,45.5168832931,136.0,,16.7,26.1,0.0,7.2,,1017.8,Stropharia rugosoannulata,"Southwest Portland, Portland, OR, USA",1,84QVG78V+
a0b6c75b-8162-4dac-980d-bdd709d63e83,139995846,2022-10-25 13:05:36-07:00,2022-10-25,-122.7066503617,45.5181405527,177.0,,7.8,13.9,9.4,10.1,,1020.5,Stropharia rugosoannulata,"International Rose Test Garden, Portland, OR 97205, USA",1,84QVG79V+
0b4262fb-823c-42fe-b219-f09537f16150,138022590,2022-10-08 12:49:24-07:00,2022-10-08,-122.7520118138,45.4930351199,108.0,,11.1,30.6,0.0,5.4,,1019.4,Stropharia rugosoannulata,"Oregon, US",2,84QVF6VX+
cb3a49a7-755f-4712-aaaf-147c06a945d0,137867746,2022-10-07 08:43:39-07:00,2022-10-07,-122.715775,45.5251366667,270.0,,11.7,27.8,0.0,4.0,,1020.6,Stropharia rugosoannulata,"Pittock Acres Park, Portland, OR, US",1,84QVG7GM+
8cdb3fcf-025d-4a32-bbd6-8cac133084e3,137698650,2022-10-05 17:31:12-07:00,2022-10-05,-122.716115,45.525015,270.0,,14.4,22.2,0.0,5.8,,1020.2,Stropharia rugosoannulata,"Hillside, Portland, OR 97210, USA",1,84QVG7GM+
791eef0c-c336-47dc-a46e-f3dae78f2b81,122419190,2022-06-18 20:07:27-07:00,2022-06-18,-122.7023273149,45.5210594181,115.0,,10.6,18.9,3.8,5.4,,1016.8,Stropharia rugosoannulata,"Washington Park, Portland, OR, US",3,84QVG7CX+
8fa9c626-166b-4160-a2aa-20c89b0ad975,121033279,2022-06-09 12:11:25-07:00,2022-06-09,-122.6132966667,45.370025,36.0,,12.2,23.3,,8.5,,1014.0,Stropharia rugosoannulata,"Maddax Woods, West Linn, OR, US",1,84QV99CP+
f104d2d8-c3b1-4282-828a-486caabbc081,119495249,2022-05-30 11:07:40-07:00,2022-05-30,-122.5945073569,45.5557367038,57.0,,10.0,18.9,0.3,9.4,,1021.3,Stropharia rugosoannulata,"NE Prescott St, Portland, OR, US",1,84QVHC44+
0e20cc9c-8100-4188-a9e8-11be5f9c31c9,119187244,2022-05-28 18:43:56-07:00,2022-05-28,-122.702106493,45.5189144351,92.0,,11.1,16.1,7.9,9.7,,1007.5,Stropharia rugosoannulata,"Multnomah County, US-OR, US",1,84QVG79X+
97254d07-dee2-4c1b-9684-c3b89eda481c,117517566,2022-05-17 15:58:26-07:00,2022-05-17,-122.6813133333,45.4249416667,108.0,,8.9,19.4,0.0,5.8,,1024.2,Stropharia rugosoannulata,"Atwater Rd, Lake Oswego, OR, US",1,84QVC8F9+
fcf5cba9-79f3-434a-9905-77d0f27c1b80,111263377,2022-04-12 17:46:08-07:00,2022-04-12,-122.706191563,45.5182174694,136.0,,3.3,8.3,10.9,14.0,,1015.8,Stropharia rugosoannulata,"Washington Park, Portland, OR, US",2,84QVG79V+
70384b59-9358-40dc-a6df-c6c5e2ebfc76,110032941,2022-03-31 13:15:04-07:00,2022-03-31,-122.6499033333,45.49937,12.0,,6.1,13.9,0.0,8.3,,1023.9,Stropharia rugosoannulata,"SE 15th Ave, Portland, OR, US",1,84QVF9X2+
a1db4054-b04b-4875-9f9f-945c6c7be412,102336406,2021-11-30 09:45:30+00:00,2021-11-30,-122.8181383333,45.6050716667,215.0,,8.9,14.4,,6.1,,1025.1,Stropharia rugosoannulata,"Forest Park, Portland, OR, US",1,84QVJ54J+
ec9f9a50-09c3-4490-9a21-ecd6c76568e9,99038605,2021-05-11 20:31:46-07:00,2021-05-11,-122.5474379584,45.6468167766,78.0,,8.3,24.4,0.0,9.7,,1021.1,Stropharia rugosoannulata,"Image, Vancouver, WA 98682, USA",1,84QVJFW3+
5f5d148b-aca9-4267-88f6-6e3056b9ebce,98742127,2021-10-18 17:16:37-07:00,2021-10-18,-122.6313608214,45.3802354309,61.0,,9.4,14.4,0.0,3.7,,1015.0,Stropharia rugosoannulata,"Mary S. Young Park, West Linn, OR, US",1,84QV99J9+
7af2f706-0992-49ac-bd7e-12ee80ec9968,96812739,2021-10-01 12:01:01-07:00,2021-10-01,-122.6460492026,45.4614233504,29.0,,10.6,20.6,0.0,8.6,,1024.8,Stropharia rugosoannulata,"SE Sherrett St, Portland, OR, US",1,84QVF963+
8c6c2a16-6137-4509-9488-97653f7a5619,96020296,2019-10-18 09:49:52-04:00,2019-10-18,-122.7417623252,45.4828561152,94.0,,10.0,15.0,0.5,16.6,,1014.1,Stropharia rugosoannulata,"Hayhurst, Portland, OR, USA",2,84QVF7M5+
5149a71d-d847-4f38-a0f8-e2539c0094eb,80333836,2021-05-25 19:49:01-04:00,2021-05-25,-122.6304187998,45.381036924,54.0,,12.2,17.8,,6.8,,1020.3,Stropharia rugosoannulata,Mary S. Young Park,1,84QV99J9+
a6811eca-c4ae-4c01-b496-9617b97a13c9,75997323,2021-04-30 18:19:23-07:00,2021-04-30,-122.6772969404,45.6682087575,17.0,,8.9,20.6,,6.0,,1022.5,Stropharia rugosoannulata,"Goss Tracts, Vancouver, WA, US",2,84QVM89F+
35d38424-946b-4068-9453-b453049dd481,75494267,2021-04-27 17:48:00-07:00,2021-04-27,-122.6772404463,45.668247859,17.0,,5.0,18.9,0.0,3.6,,1021.1,Stropharia rugosoannulata,"Burnt Bridge Creek Greenway Trail, Vancouver, WA, US",2,84QVM89F+
a7d16176-f137-4f25-b95b-a6f893f04504,75468365,2021-04-27 10:16:32-07:00,2021-04-27,-122.7045835462,45.516699763,136.0,,6.1,18.9,0.0,6.8,,1021.3,Stropharia rugosoannulata,"Explore Washington Park, Portland, OR, US",1,84QVG78W+
ca526fd9-54e8-45be-a44b-edd2d93f5af6,65240886,2016-04-07,2016-04-07,-122.6299,45.3836,46.0,,7.2,30.0,,7.8,,1013.2,Stropharia rugosoannulata,"Mary S. Young Park, West Linn, Clackamas Co., Oregon, USA",1,84QV99MC+
2cfa7086-3d45-410d-a52b-3970e9a81250,58815143,2020-04-28 15:22:27-07:00,2020-04-28,-122.7154182994,45.472484557,132.0,,10.0,22.8,0.0,6.5,,1022.6,Stropharia rugosoannulata,"SW Nevada Ct, Portland, OR, US",1,84QVF7CM+
d677c01d-2b5e-43b0-a49f-868ae9164f11,46677911,2020-05-20 17:22:32-07:00,2020-05-20,-122.67441667,45.664605,15.0,,11.1,15.6,,6.6,,1019.8,Stropharia rugosoannulata,"Goss Tracts, Vancouver, WA, US",2,84QVM87G+
86123431-4068-42b4-8892-5e53c089d4b4,46186671,2020-05-16,2020-05-16,-122.6350881432,45.3810835472,76.0,,12.2,20.6,,5.8,,1009.9,Stropharia rugosoannulata,"West Linn, OR, USA",1,84QV99J7+
6e511f68-dd56-4572-838e-8d3a40371ee8,33087561,2019-09-20 12:16:49-07:00,2019-09-20,-122.5343764388,45.4733748129,94.0,,15.0,20.0,0.0,4.7,,1019.5,Stropharia rugosoannulata,"Leach Botanical Garden, Portland, OR, US",1,84QVFFF8+
92ba566f-f89c-4827-8a45-07388e2f533f,24025739,2019-04-29 12:38:55-07:00,2019-04-29,-122.6432800293,45.6502227783,50.0,,5.6,19.4,0.0,8.5,,1017.5,Stropharia rugosoannulata,"2818 NE Cherry Rd, Vancouver, WA 98663, USA",2,84QVM924+
a0357932-2ddf-4b21-83a8-6af5b440d6f7,22590976,2019-04-16 19:42:11-07:00,2019-04-16,-122.7208415141,45.4955249979,150.0,,7.8,16.1,0.8,10.1,,1016.3,Stropharia rugosoannulata,"4220 SW Tunnelwood St, Portland, OR, US",1,84QVF7WH+
06adcccd-c2e6-4e9b-9ae3-77d86a43fc29,12310926,2018-05-09 12:40:00-07:00,2018-05-09,-122.6434140187,45.6500015873,50.0,,13.3,20.0,1.1,9.5,,1018.1,Stropharia rugosoannulata,"West Minnehaha, Vancouver, WA, USA",2,84QVM924+
c8d09e60-b970-4d03-86c9-28d0fd37e583,12195945,2018-05-06 06:57:00-07:00,2018-05-06,-122.6432425249,45.6501336861,50.0,,12.8,21.7,,6.9,,1016.2,Stropharia rugosoannulata,"West Minnehaha, Vancouver, WA, USA",2,84QVM924+
d13310a3-202d-4c13-af79-898c1191e1ce,11465246,2018-04-26 14:27:00-07:00,2018-04-26,-122.644540714,45.6505397055,31.0,,8.9,29.4,0.0,7.0,,1013.1,Stropharia rugosoannulata,"West Minnehaha, Vancouver, WA, USA",2,84QVM924+
