uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
74a5debc-c0a0-4d00-afb9-4d76ad242856,312558203,2025-09-08 15:55:00-06:00,2025-09-08,-104.8936004444,39.6675987222,1678.0,,14.0,29.0,0.0,13.8,,1022.2,Suillus granulatus,"Four Square Mile, CO, USA",1
9610073b-9851-4bfc-bbf2-a5927d59a41a,311143490,2025-07-04 17:22:00-06:00,2025-07-04,-104.8591635534,38.9236300549,2003.0,,16.0,28.1,2.8,13.8,,1009.6,Suillus granulatus,"Northwest Colorado Springs, Colorado Springs, CO, USA",1
3415ab73-bc15-4e39-9957-615c4dc7d31d,243659079,2024-09-23 14:04:50-06:00,2024-09-23,-104.9916381836,39.5812988281,1697.0,,6.7,25.0,0.0,7.2,,1014.3,Suillus granulatus,Littleton,1
fce84442-cdb5-4795-9f53-1488afd52d08,235645540,2024-08-11 11:38:24-06:00,2024-08-11,-105.849715,40.4288401,2857.0,,5.5,20.8,5.1,8.4,,1030.3,Suillus granulatus,"Estes Park, CO 80517, USA",1
97a804df-6003-46f4-926d-085983196b55,234995799,2024-08-10 13:03:03-06:00,2024-08-10,-105.5031151404,36.7775947751,3687.0,,13.9,25.0,,8.0,,1024.1,Suillus granulatus,"Taos County, US-NM, US",1
cd1887b7-ce9e-4353-92f1-e77204ea96a3,130282472,2022-08-10 13:33:52-06:00,2022-08-10,-105.2536879258,39.9841490723,1665.0,,18.0,35.0,0.0,4.9,,1025.6,Suillus granulatus,"Table Mesa Dr, Boulder, CO, US",1
739f5440-8224-49c2-82bd-cdefdbd10aae,123280185,2022-06-24 15:23:00-06:00,2022-06-24,-105.1066027778,40.0031444444,1630.0,,13.3,31.3,0.2,4.5,,1017.1,Suillus granulatus,"Aspen Ridge Dr & Diamond Cir, Lafayette, CO 80026, USA",1
a537933c-8db7-4d2b-b74e-db7c1233bbb3,121808543,2022-06-13 10:15:04-06:00,2022-06-13,-103.4573583333,43.7676083333,1532.0,,12.8,27.8,,12.7,,999.9,Suillus granulatus,"Custer County, US-SD, US",1
1bfbb8f7-6563-417b-95fe-9b194744296c,82100325,2021-06-04 19:48:43-06:00,2021-06-04,-104.0120827687,44.3431215641,1869.0,,18.0,33.0,0.0,7.6,,1011.8,Suillus granulatus,"Black Hills National Forest, Spearfish, SD, US",1
b5fa8ff4-6eee-4936-84f3-bc8f3f2b5fef,81979004,2021-06-05 09:30:26-06:00,2021-06-05,-103.4190616667,43.6490883333,1336.0,,12.8,30.6,0.0,9.1,,1002.9,Suillus granulatus,"Custer State Park, Hermosa, SD, US",1
d38406af-f82f-4a9d-befc-46aed47a3a75,49505600,2020-06-09 18:33:08-06:00,2020-06-09,-103.49786333,44.09898333,1451.0,,6.1,19.4,0.0,35.3,,1013.6,Suillus granulatus,"Black Hills National Forest, Rapid City, SD, US",1
e5c80416-4cb7-4da5-8bdd-145890bcd688,16537534,2018-09-14 14:07:48-06:00,2018-09-14,-105.246155,40.0107222167,1608.0,,13.0,32.0,,6.5,,,Suillus granulatus,"University of Colorado at Boulder - East Campus, Boulder, CO, US",2
9f3223a3-491b-409f-85bf-8c1558732ab9,6685010,2017-06-16 17:06:29-06:00,2017-06-16,-104.88623,38.9491,2162.0,,8.4,32.3,,12.5,,1008.7,Suillus granulatus,"3786–3798 W Woodmen Rd, Colorado Springs, CO, US",1
