uuid,inat_id,timestamp,date,lon,lat,olc,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,genus,location,num_identification_agreements,obscured,geoprivacy,taxon_geoprivacy,positional_accuracy,public_positional_accuracy,location_precision,kingdom,phylum,class,order,family,taxon_id,taxon_rank,taxon_name,common_name
35990078-120a-4b12-8f6f-83354d890157,395534918,2026-08-22 11:06:54-07:00,2026-08-22,-122.1804716667,45.5550216667,84QVHR00+,35.0,,15.6,24.4,0.0,5.2,,1015.4,Trametes versicolor,Trametes,"E Historic Columbia River Hwy, Corbett, OR, US",1,,,,,,,,,,,,,,,
2fef2cb8-937b-488e-ba97-04cb1c12fba2,394316896,2026-08-24 19:19:03-07:00,2026-08-24,-122.3958511353,45.833026886,84QVRJ00+,205.0,,13.3,33.9,0.0,4.3,,,Trametes versicolor,Trametes,"Clark County, US-WA, US",1,,,,,,,,,,,,,,,
9f7f073f-f60b-4966-8627-3055d77c3510,394252110,2026-07-14 08:20:00-07:00,2026-07-14,-122.1157756,45.5761597,84QVHV00+,225.0,,12.2,31.7,0.0,2.7,,,Trametes versicolor,Trametes,"Multnomah Falls, Oregon 97014, USA",1,,,,,,,,,,,,,,,
a67c5366-3a9a-4483-99cd-3920dad32b6f,397291020,2026-09-04 15:19:29-07:00,2026-09-04,-121.9696716667,45.3360883333,84QW8200+,397.0,,,,,,,,Trametes versicolor,Trametes,"Welches, OR, US",1,False,,,3.0,3.0,precise,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,54134.0,species,Trametes versicolor,turkey-tail
0267de3f-0cd0-48f0-a520-01ae01fcdfe7,396799627,2026-09-02 17:35:04-07:00,2026-09-02,-122.6231554551,45.5262583973,84QVG900+,67.0,,14.4,18.3,5.8,8.4,,1016.4,Trametes versicolor,Trametes,"NE 39th Ave, Portland, OR, US",1,False,,,9.0,9.0,precise,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,54134.0,species,Trametes versicolor,turkey-tail
4448d95a-f075-4218-9a5d-4584c835f3f3,337581645,2026-02-04 09:19:03-08:00,2026-02-04,-122.5240348396,45.4153249456,84QVCF00+,93.0,,8.0,12.0,0.0,36.2,,1025.4,Trametes versicolor,Trametes,"Oregon, US",2,True,obscured,,6.0,27158.0,obscured,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,54134.0,species,Trametes versicolor,turkey-tail
301f797b-0824-4880-a41f-dd762dd9b1ed,393981777,2026-08-23 15:48:26-07:00,2026-08-23,-122.5673587997,45.7315645997,84QVPC00+,97.0,,17.8,25.6,0.0,5.3,,,Trametes hirsuta,Trametes,"Brush Prairie, WA, USA",1,False,,,,,unknown,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,116695.0,species,Trametes hirsuta,Hairy Bracket
d124959d-8403-464f-864e-62aad8d64a3f,390205331,2026-08-10 17:18:24-07:00,2026-08-10,-122.6803133333,45.4395216667,84QVC800+,66.0,,14.4,26.7,0.0,5.5,,1015.5,Trametes gibbosa,Trametes,"SW Terwilliger Blvd, Portland, OR, US",2,False,,,13.0,13.0,precise,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,410641.0,species,Trametes gibbosa,Lumpy Bracket
eaf1575e-0805-42cd-bffa-6800b436ebe0,377001699,2026-06-30 10:19:11-07:00,2026-06-30,-122.7383191891,45.4372078818,84QVC700+,152.0,,13.3,18.9,0.0,6.5,,1018.9,Trametes betulina,Trametes,"Oregon, US",1,True,obscured,,194.0,27158.0,obscured,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,786918.0,species,Trametes betulina,Gilled Polypore
f1544e34-d6f9-4a25-96d4-0e69932fee53,376736001,2026-06-27 10:15:18-07:00,2026-06-27,-122.8758055556,45.3465416667,84QV8400+,108.0,,11.7,16.7,3.3,5.7,,,Trametes hirsuta,Trametes,"Sherwood, OR 97140, USA",1,False,,,,,unknown,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,116695.0,species,Trametes hirsuta,Hairy Bracket
0f25ebdf-3a1f-44d3-af3d-e0275edbb785,375720972,2026-06-26 20:49:29-07:00,2026-06-26,-122.5023498535,45.7039299011,84QVPF00+,92.0,,12.8,22.8,1.9,7.0,,,Trametes gibbosa,Trametes,Brush Prairie,1,False,,,3.0,3.0,precise,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,410641.0,species,Trametes gibbosa,Lumpy Bracket
e000a6e1-f5da-4f02-94ca-bb57a0f46e5d,356236866,2026-04-25 13:44:04-07:00,2026-04-25,-122.8423109651,44.6451890236,84PVJ500+,92.0,,2.8,20.0,0.0,11.5,,,Trametes hirsuta,Trametes,"Oregon, US",1,True,obscured,,5.0,27285.0,obscured,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,116695.0,species,Trametes hirsuta,Hairy Bracket
9b9e3ade-afe5-4a4f-bcca-b05d6c201e4f,354683616,2026-04-26 12:48:44-07:00,2026-04-26,-122.7624066174,45.6503040766,84QVM600+,3.0,,3.9,21.7,0.0,3.1,,,Trametes gibbosa,Trametes,"J6XP+C2 Picnic Area B, Portland, OR 97203, USA",1,False,,,18.0,18.0,precise,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,410641.0,species,Trametes gibbosa,Lumpy Bracket
a756b1f5-34b2-435c-a87a-aa4d6035bcf4,348355287,2026-04-08 10:41:23-07:00,2026-04-08,-122.8448668,45.4404773997,84QVC500+,148.0,,2.8,20.0,0.0,2.4,,,Trametes gibbosa,Trametes,"Neighbors Southwest, Beaverton, OR, USA",1,False,,,,,unknown,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,410641.0,species,Trametes gibbosa,Lumpy Bracket
37024b71-42eb-4da2-8ee8-621ad91ff5f7,348098327,2026-04-07 10:05:42-07:00,2026-04-07,-122.5635471845,45.4460707216,84QVCC00+,155.0,,8.3,16.1,0.0,2.0,,1016.2,Trametes hirsuta,Trametes,"SE 99th Dr, Happy Valley, OR, US",1,False,,,3.0,3.0,precise,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,116695.0,species,Trametes hirsuta,Hairy Bracket
55d2562d-c63e-479b-989a-b84577afdde2,347668177,2026-04-05 12:47:13-07:00,2026-04-05,-122.1080538799,45.5719668769,84QVHV00+,398.0,,10.6,23.9,0.0,10.9,,1017.1,Trametes gibbosa,Trametes,"Gorge Trail, Corbett, OR, US",1,False,,,424.0,424.0,precise,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,410641.0,species,Trametes gibbosa,Lumpy Bracket
9ec49a18-a95a-40df-ab31-7d62325505ee,347364913,2026-02-13 15:17:49-08:00,2026-02-13,-122.6773099766,45.4382963928,84QVC800+,81.0,,5.0,10.0,4.8,10.8,,1021.2,Trametes gibbosa,Trametes,"SW Terwilliger Blvd, Portland, OR, US",1,False,,,6.0,6.0,precise,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,410641.0,species,Trametes gibbosa,Lumpy Bracket
d5271ade-a670-4ca7-82d4-660e4d11ecc4,344068510,2026-03-20 15:21:24-07:00,2026-03-20,-122.63982044,45.53451472,84QVG900+,55.0,,9.0,16.0,0.2,8.8,,1020.2,Trametes hirsuta,Trametes,"NE 24th & Broadway, Portland, OR 97212, USA",1,False,,,6.0,6.0,precise,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,116695.0,species,Trametes hirsuta,Hairy Bracket
813abeab-c21c-4ae5-9eb3-6e8216d04e42,343885096,2026-03-19 13:27:19-07:00,2026-03-19,-122.839931,45.5003029,84QVG500+,74.0,,10.0,16.0,2.5,3.3,,1020.2,Trametes betulina,Trametes,"Cooper Mountain - Aloha North, Beaverton, OR, USA",1,False,,,,,unknown,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,786918.0,species,Trametes betulina,Gilled Polypore
fbe58748-27ed-419e-a24a-f44476e82ee0,343532226,2026-03-17 13:48:41-07:00,2026-03-17,-122.6854116667,45.5707533333,84QVH800+,61.0,,8.6,17.0,0.7,5.8,,1018.4,Trametes hirsuta,Trametes,"N Fenwick Ave, Portland, OR, US",1,False,,,3.0,3.0,precise,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,116695.0,species,Trametes hirsuta,Hairy Bracket
35c5a2fb-531b-4f97-9266-52dee32e2a35,342157486,2026-03-09 16:08:47-07:00,2026-03-09,-122.7618493036,45.6489248304,84QVJ600+,24.0,,1.0,9.0,1.4,4.2,,1020.8,Trametes gibbosa,Trametes,"Kelley Point City Park, Portland, OR, US",1,False,,,5.0,5.0,precise,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,410641.0,species,Trametes gibbosa,Lumpy Bracket
2d896f9f-0fba-4605-9541-06a059b5ce73,341925288,2026-03-08 09:35:00-07:00,2026-03-08,-122.5873316667,45.570745,84QVHC00+,4.0,,5.0,14.0,0.1,12.6,,1020.0,Trametes hirsuta,Trametes,"Northeast Portland, Portland, OR, USA",1,False,,,,,unknown,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,116695.0,species,Trametes hirsuta,Hairy Bracket
