uuid,inat_id,timestamp,date,lon,lat,olc,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
071abe2d-ace6-4dd3-817d-b6f026ce0041,348866170,2026-03-09 10:10:00-07:00,2026-03-09,-122.1775141566,45.5098085682,84QVGR5C+,486.0,,2.0,10.0,3.7,5.3,,1020.4,Trichaptum abietinum,"E Donahue Rd, Corbett, OR, US",1
052f2508-9176-40a7-ba84-c551633c10b9,145716286,2020-01-14 01:51:52-08:00,2020-01-14,-122.3736736756,45.2417424172,84QV6JRG+,344.0,,0.0,5.0,,9.3,,1016.5,Trichaptum abietinum,"S Shady Forest Ln, Beavercreek, OR, US",1
728ef0aa-8366-4187-88af-c2aa3dfcdd4d,104778640,2022-01-11 12:09:40+00:00,2022-01-11,-122.3741533333,45.245245,84QV6JWG+,359.0,,5.6,14.4,3.9,6.7,,1025.8,Trichaptum abietinum,"Beavercreek, OR, US",1
37d4f5da-6687-41bd-9d11-2395c2430445,377547015,2026-07-01 19:09:42-06:00,2026-07-01,-107.974555,39.0388916667,85FJ22QG+,3110.0,,10.4,32.2,0.0,7.0,,,Trichaptum abietinum,"Baron Lake Dr, Cedaredge, CO, US",2
fcd63d96-a260-4bea-ace2-ae0e935d52a5,376256154,2026-06-27 13:54:03-06:00,2026-06-27,-107.1228721667,37.4430783333,859JCVVG+,2653.0,,8.0,27.0,1.1,8.9,,,Trichaptum abietinum,"County Road 634, Creede, CO, US",1
76db677a-7809-46c1-a6a0-a3e9b0ddb115,374829714,2026-06-23 15:18:37-06:00,2026-06-23,-105.5446083333,40.133175,85GP4FM4+,2739.0,,15.0,27.0,0.2,3.2,,1016.8,Trichaptum abietinum,"Ward, CO, US",1
93e56ed2-c289-4ee8-9c37-2499512ee5c4,374142111,2026-06-21 17:45:59-06:00,2026-06-21,-105.059425,37.9827033333,859PXWMR+,2615.0,,15.0,34.0,0.0,8.2,,1004.8,Trichaptum abietinum,"Pike and San Isabel National Forests, Rye, CO, US",1
23f8bdde-95c0-4ef4-8881-0704d60162e9,368785525,2026-06-05 12:43:11-06:00,2026-06-05,-107.1362695,37.4454216667,859JCVW7+,2550.0,,5.0,26.0,0.5,4.0,,,Trichaptum abietinum,"Pagosa Springs, CO, US",1
00859222-3e9e-4ab2-a461-7d9f14a14c55,352283600,2025-08-29 12:57:02-06:00,2025-08-29,-105.3749616667,40.2352916667,85GP6JPG+,2114.0,,14.0,30.0,3.4,6.8,,1022.5,Trichaptum abietinum,"Longmont Dam Rd, Lyons, CO, US",1
5119c7bb-e168-4ada-b9f2-9a66950f7326,339250240,2026-02-18 15:34:00-07:00,2026-02-18,-105.3376888,40.0591809,85GP3M56+,1979.0,,0.0,13.0,0.6,14.9,,998.2,Trichaptum abietinum,"Anne U. White Trail, Colorado, USA",1
